date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,97.6203,97.6203,697900
2026-01-02,97.6203,97.6203,97.2307,97.2307,436300
2026-01-05,97.2307,97.7239,97.2307,97.7239,1267500
2026-01-06,97.7239,97.7239,96.0545,96.0545,3005000
2026-01-07,96.0545,96.1805,96.0545,96.1805,2818200
2026-01-08,96.1805,97.5384,96.1805,97.5384,1548500
2026-01-09,97.5384,97.5384,95.8924,95.8924,3479700
2026-01-12,95.8924,95.9223,95.8924,95.9223,4097300
2026-01-13,95.9223,96.1061,95.9223,96.1061,1500600
2026-01-14,96.1061,96.1061,95.6937,95.6937,430600
2026-01-15,95.6937,95.6937,95.5485,95.5485,1046300
2026-01-16,95.5485,97.9545,95.5485,97.9545,61900
2026-01-19,97.9545,98.3169,97.9545,98.3169,1029400
2026-01-20,98.3169,99.4738,98.3169,99.4738,592000
2026-01-21,99.4738,99.4915,99.4738,99.4915,4323700
2026-01-22,99.4915,99.4915,99.0134,99.0134,4373700
2026-01-23,99.0134,99.0134,97.3139,97.3139,4909800
2026-01-26,97.3139,97.3139,97.2435,97.2435,2002600
2026-01-27,97.2435,97.4152,97.2435,97.4152,623400
2026-01-28,97.4152,97.4152,96.2791,96.2791,532000
2026-01-29,96.2791,96.9239,96.2791,96.9239,2530900
2026-01-30,96.9239,96.9239,95.8897,95.8897,855900
2026-02-02,95.8897,96.7786,95.8897,96.7786,32400
2026-02-03,96.7786,96.7786,95.7639,95.7639,3126400
2026-02-04,95.7639,97.2044,95.7639,97.2044,1713800
2026-02-05,97.2044,98.0917,97.2044,98.0917,1973700
2026-02-06,98.0917,98.0917,96.8346,96.8346,4906400
2026-02-09,96.8346,98.4241,96.8346,98.4241,4601100
2026-02-10,98.4241,98.4241,98.0906,98.0906,4489800
2026-02-11,98.0906,98.7210,98.0906,98.7210,1937700
2026-02-12,98.7210,98.7325,98.7210,98.7325,595900
2026-02-13,98.7325,98.7325,97.6469,97.6469,4896700
2026-02-16,97.6469,97.6469,97.4237,97.4237,107700
2026-02-17,97.4237,97.4237,96.8882,96.8882,3791400
2026-02-18,96.8882,98.9044,96.8882,98.9044,218500
2026-02-19,98.9044,101.4789,98.9044,101.4789,4486300
2026-02-20,101.4789,103.6707,101.4789,103.6707,2430800
2026-02-23,103.6707,103.6707,102.8342,102.8342,781400
2026-02-24,102.8342,103.0816,102.8342,103.0816,127900
2026-02-25,103.0816,103.0816,101.5510,101.5510,315700
2026-02-26,101.5510,102.2653,101.5510,102.2653,4629600
2026-02-27,102.2653,104.3510,102.2653,104.3510,2939200
2026-03-02,104.3510,104.8567,104.3510,104.8567,4115300
2026-03-03,104.8567,104.8567,104.7412,104.7412,113700
2026-03-04,104.7412,104.7412,103.9098,103.9098,1144000
2026-03-05,103.9098,105.9703,103.9098,105.9703,965600
2026-03-06,105.9703,108.9365,105.9703,108.9365,868900
2026-03-09,108.9365,110.1991,108.9365,110.1991,2300100
2026-03-10,110.1991,111.2569,110.1991,111.2569,3869500
2026-03-11,111.2569,111.2569,110.1672,110.1672,1381900
2026-03-12,110.1672,110.1672,109.9626,109.9626,3692700
2026-03-13,109.9626,109.9626,108.7047,108.7047,2608100
2026-03-16,108.7047,110.0140,108.7047,110.0140,1363000
2026-03-17,110.0140,110.0140,108.2294,108.2294,3380200
2026-03-18,108.2294,109.1781,108.2294,109.1781,3413100
2026-03-19,109.1781,109.9761,109.1781,109.9761,1393100
2026-03-20,109.9761,111.2043,109.9761,111.2043,742600
2026-03-23,111.2043,111.9207,111.2043,111.9207,4158900
2026-03-24,111.9207,111.9326,111.9207,111.9326,4135600
2026-03-25,111.9326,111.9326,110.0596,110.0596,2689800
2026-03-26,110.0596,110.0596,109.0593,109.0593,882100
2026-03-27,109.0593,109.0593,107.2980,107.2980,3453200
2026-03-30,107.2980,109.3341,107.2980,109.3341,2321500
2026-03-31,109.3341,109.3341,108.6164,108.6164,1289600
2026-04-01,108.6164,108.6289,108.6164,108.6289,4457700
2026-04-02,108.6289,108.9058,108.6289,108.9058,721300
2026-04-03,108.9058,109.3338,108.9058,109.3338,3354900
2026-04-06,109.3338,109.3338,108.2012,108.2012,3370300
2026-04-07,108.2012,108.2239,108.2012,108.2239,3814200
2026-04-08,108.2239,109.3628,108.2239,109.3628,1892500
2026-04-09,109.3628,109.5547,109.3628,109.5547,1639200
2026-04-10,109.5547,109.5547,109.3655,109.3655,2756000
2026-04-13,109.3655,109.7947,109.3655,109.7947,1709100
2026-04-14,109.7947,111.1750,109.7947,111.1750,2558900
2026-04-15,111.1750,111.1750,109.3934,109.3934,2241800
2026-04-16,109.3934,109.3934,108.1475,108.1475,2668700
2026-04-17,108.1475,108.8673,108.1475,108.8673,4163400
2026-04-20,108.8673,108.8673,108.5438,108.5438,2269100
2026-04-21,108.5438,108.5438,105.9715,105.9715,4398800
2026-04-22,105.9715,105.9715,105.2720,105.2720,1492000
2026-04-23,105.2720,105.2720,104.2309,104.2309,1305900
2026-04-24,104.2309,104.2309,103.3938,103.3938,3244300
2026-04-27,103.3938,103.3938,102.0878,102.0878,2467300
2026-04-28,102.0878,102.0878,100.4135,100.4135,2199500
2026-04-29,100.4135,100.9513,100.4135,100.9513,2458700
2026-04-30,100.9513,100.9513,100.2701,100.2701,2967300
2026-05-01,100.2701,100.6205,100.2701,100.6205,545000
2026-05-04,100.6205,100.6205,100.5995,100.5995,3611400
2026-05-05,100.5995,100.5995,100.0091,100.0091,2059400
2026-05-06,100.0091,100.1015,100.0091,100.1015,2548100
2026-05-07,100.1015,100.1015,97.8250,97.8250,2562300
2026-05-08,97.8250,97.8250,96.7796,96.7796,1144100
2026-05-11,96.7796,96.7796,95.3190,95.3190,2813600
2026-05-12,95.3190,95.7980,95.3190,95.7980,2257400
2026-05-13,95.7980,95.7980,94.1152,94.1152,920000
2026-05-14,94.1152,94.8174,94.1152,94.8174,1901800
2026-05-15,94.8174,94.8174,93.3272,93.3272,1862900
2026-05-18,93.3272,94.7538,93.3272,94.7538,2810800
2026-05-19,94.7538,94.7538,93.9962,93.9962,1884600
2026-05-20,93.9962,93.9962,91.8116,91.8116,4891700
2026-05-21,91.8116,91.9668,91.8116,91.9668,4048000
2026-05-22,91.9668,92.4220,91.9668,92.4220,4232100
2026-05-25,92.4220,92.4220,91.6907,91.6907,3780600
2026-05-26,91.6907,91.6907,91.3584,91.3584,3846300
2026-05-27,91.3584,91.8082,91.3584,91.8082,1241300
2026-05-28,91.8082,91.8082,90.6555,90.6555,409800
2026-05-29,90.6555,90.6555,89.2587,89.2587,3500400
2026-06-01,89.2587,90.2604,89.2587,90.2604,4209000
2026-06-02,90.2604,91.5276,90.2604,91.5276,739300
2026-06-03,91.5276,91.5932,91.5276,91.5932,2503000
2026-06-04,91.5932,91.5932,91.5544,91.5544,893800
2026-06-05,91.5544,91.6293,91.5544,91.6293,3064400
2026-06-08,91.6293,91.6293,90.9103,90.9103,1587900
2026-06-09,90.9103,90.9103,90.6951,90.6951,800100
2026-06-10,90.6951,90.6951,90.6376,90.6376,1425000
2026-06-11,90.6376,90.6376,89.6388,89.6388,1200300
2026-06-12,89.6388,90.2946,89.6388,90.2946,281800
2026-06-15,90.2946,90.2946,90.2051,90.2051,105000
2026-06-16,90.2051,90.2051,90.1034,90.1034,4724000
2026-06-17,90.1034,91.7941,90.1034,91.7941,709800
2026-06-18,91.7941,91.7941,91.0598,91.0598,4553800
2026-06-19,91.0598,91.7289,91.0598,91.7289,3921700
2026-06-22,91.7289,91.7289,91.6175,91.6175,1391100
2026-06-23,91.6175,91.6175,89.2715,89.2715,244800
2026-06-24,89.2715,90.1758,89.2715,90.1758,369200
2026-06-25,90.1758,92.8871,90.1758,92.8871,614300
2026-06-26,92.8871,93.7060,92.8871,93.7060,3620300
2026-06-29,93.7060,95.2276,93.7060,95.2276,4365600
2026-06-30,95.2276,95.2276,94.3251,94.3251,2658900
2026-07-01,94.3251,96.6143,94.3251,96.6143,2446700
2026-07-02,96.6143,97.3641,96.6143,97.3641,1152700
2026-07-03,97.3641,97.9996,97.3641,97.9996,4059800
2026-07-06,97.9996,99.1790,97.9996,99.1790,601700
2026-07-07,99.1790,99.5833,99.1790,99.5833,1210900
2026-07-08,99.5833,99.5833,99.4249,99.4249,4077700
2026-07-09,99.4249,99.4249,98.2095,98.2095,2405900
2026-07-10,98.2095,98.2095,97.6375,97.6375,1187800
2026-07-13,97.6375,97.6375,96.5810,96.5810,2787900
2026-07-14,96.5810,96.5810,95.7626,95.7626,1450400
2026-07-15,95.7626,96.2591,95.7626,96.2591,4771200
2026-07-16,96.2591,96.9337,96.2591,96.9337,2357400
2026-07-17,96.9337,97.9255,96.9337,97.9255,1249100
2026-07-20,97.9255,98.4541,97.9255,98.4541,2574700
2026-07-21,98.4541,99.9644,98.4541,99.9644,919500
2026-07-22,99.9644,100.1665,99.9644,100.1665,4113600
2026-07-23,100.1665,100.1665,99.6986,99.6986,1965600
2026-07-24,99.6986,99.8416,99.6986,99.8416,2981400
2026-07-27,99.8416,100.0128,99.8416,100.0128,2491600
2026-07-28,100.0128,100.0128,99.7996,99.7996,2987300
2026-07-29,99.7996,99.7996,99.0675,99.0675,1464000
2026-07-30,99.0675,99.0675,97.9180,97.9180,2489500
2026-07-31,97.9180,97.9180,95.6510,95.6510,4252200
2026-08-03,95.6510,95.6510,95.2443,95.2443,866400
2026-08-04,95.2443,95.2443,94.6306,94.6306,3816500
2026-08-05,94.6306,95.3256,94.6306,95.3256,4998300
2026-08-06,95.3256,95.4089,95.3256,95.4089,4756300
2026-08-07,95.4089,95.5863,95.4089,95.5863,173100
2026-08-10,95.5863,95.5863,95.3273,95.3273,384200
2026-08-11,95.3273,96.6095,95.3273,96.6095,2243400
2026-08-12,96.6095,96.6095,95.1660,95.1660,412800
2026-08-13,95.1660,95.1660,94.2059,94.2059,3351300
2026-08-14,94.2059,94.2059,94.1718,94.1718,2453100
2026-08-17,94.1718,94.3029,94.1718,94.3029,2971000
2026-08-18,94.3029,94.3029,92.8331,92.8331,2013800
2026-08-19,92.8331,92.8331,92.3554,92.3554,2519600
2026-08-20,92.3554,93.0456,92.3554,93.0456,1786800
2026-08-21,93.0456,93.0456,91.9053,91.9053,4147700
2026-08-24,91.9053,91.9053,91.4659,91.4659,308300
2026-08-25,91.4659,91.4659,90.5320,90.5320,4663100
2026-08-26,90.5320,90.5320,89.1873,89.1873,1692800
2026-08-27,89.1873,89.2662,89.1873,89.2662,2797300
2026-08-28,89.2662,90.2716,89.2662,90.2716,4739400
2026-08-31,90.2716,90.2716,89.9825,89.9825,3772200
2026-09-01,89.9825,89.9825,87.6341,87.6341,2433700
2026-09-02,87.6341,87.8426,87.6341,87.8426,3391800
2026-09-03,87.8426,89.5628,87.8426,89.5628,678900
2026-09-04,89.5628,90.1520,89.5628,90.1520,1866200
2026-09-07,90.1520,90.6436,90.1520,90.6436,1405900
2026-09-08,90.6436,90.6436,90.0340,90.0340,1621200
2026-09-09,90.0340,90.4518,90.0340,90.4518,988600
