date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,97.0824,97.0824,1571300
2026-01-02,97.0824,97.0824,96.2415,96.2415,3591500
2026-01-05,96.2415,97.0950,96.2415,97.0950,3148700
2026-01-06,97.0950,97.0950,95.7075,95.7075,2305600
2026-01-07,95.7075,96.3697,95.7075,96.3697,2196900
2026-01-08,96.3697,97.1222,96.3697,97.1222,4103900
2026-01-09,97.1222,97.1222,96.5217,96.5217,4792300
2026-01-12,96.5217,97.8952,96.5217,97.8952,1355600
2026-01-13,97.8952,98.0212,97.8952,98.0212,4754600
2026-01-14,98.0212,98.0212,97.5094,97.5094,3739500
2026-01-15,97.5094,97.5094,96.5843,96.5843,4723900
2026-01-16,96.5843,97.9424,96.5843,97.9424,1679100
2026-01-19,97.9424,97.9424,96.9619,96.9619,4011700
2026-01-20,96.9619,98.4830,96.9619,98.4830,2395600
2026-01-21,98.4830,98.5613,98.4830,98.5613,3793800
2026-01-22,98.5613,98.5613,97.2516,97.2516,1916600
2026-01-23,97.2516,97.2516,96.3332,96.3332,2469100
2026-01-26,96.3332,96.8614,96.3332,96.8614,682900
2026-01-27,96.8614,96.8614,96.4231,96.4231,4114200
2026-01-28,96.4231,96.4231,95.6620,95.6620,176900
2026-01-29,95.6620,96.7431,95.6620,96.7431,401000
2026-01-30,96.7431,96.7431,94.7551,94.7551,3390500
2026-02-02,94.7551,95.7256,94.7551,95.7256,2644200
2026-02-03,95.7256,95.7256,94.5930,94.5930,2054000
2026-02-04,94.5930,95.1879,94.5930,95.1879,4371600
2026-02-05,95.1879,96.5473,95.1879,96.5473,4257400
2026-02-06,96.5473,96.5473,95.8984,95.8984,2100200
2026-02-09,95.8984,98.1692,95.8984,98.1692,830100
2026-02-10,98.1692,98.1692,98.1515,98.1515,2098500
2026-02-11,98.1515,98.6941,98.1515,98.6941,355000
2026-02-12,98.6941,98.6941,98.2291,98.2291,3828200
2026-02-13,98.2291,98.2291,97.5736,97.5736,3575500
2026-02-16,97.5736,97.5736,97.2608,97.2608,46700
2026-02-17,97.2608,97.2608,96.7639,96.7639,3370000
2026-02-18,96.7639,97.9547,96.7639,97.9547,3277200
2026-02-19,97.9547,98.4039,97.9547,98.4039,445800
2026-02-20,98.4039,99.9835,98.4039,99.9835,3387400
2026-02-23,99.9835,99.9835,99.3237,99.3237,3566200
2026-02-24,99.3237,99.3237,99.0468,99.0468,3632300
2026-02-25,99.0468,99.0468,97.8869,97.8869,4387300
2026-02-26,97.8869,99.1486,97.8869,99.1486,3244000
2026-02-27,99.1486,100.4349,99.1486,100.4349,2713600
2026-03-02,100.4349,100.7295,100.4349,100.7295,3841600
2026-03-03,100.7295,100.7295,100.6578,100.6578,2978500
2026-03-04,100.6578,100.6578,100.5419,100.5419,3291800
2026-03-05,100.5419,102.8369,100.5419,102.8369,1957500
2026-03-06,102.8369,106.4223,102.8369,106.4223,908200
2026-03-09,106.4223,109.8031,106.4223,109.8031,2170200
2026-03-10,109.8031,109.8240,109.8031,109.8240,782200
2026-03-11,109.8240,109.9638,109.8240,109.9638,4786100
2026-03-12,109.9638,109.9638,108.5812,108.5812,2152100
2026-03-13,108.5812,108.5812,107.0748,107.0748,2643200
2026-03-16,107.0748,109.4659,107.0748,109.4659,1508200
2026-03-17,109.4659,109.4659,108.0961,108.0961,1978900
2026-03-18,108.0961,108.0961,107.3668,107.3668,2124300
2026-03-19,107.3668,107.3668,106.4856,106.4856,2511400
2026-03-20,106.4856,106.4856,105.6126,105.6126,1193800
