date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.3694,99.3694,2738000
2026-01-02,99.3694,99.3694,98.9003,98.9003,3715300
2026-01-05,98.9003,99.1733,98.9003,99.1733,11100
2026-01-06,99.1733,99.1733,97.6104,97.6104,4312800
2026-01-07,97.6104,97.9715,97.6104,97.9715,4506100
2026-01-08,97.9715,99.6211,97.9715,99.6211,419500
2026-01-09,99.6211,99.6211,98.9572,98.9572,900200
2026-01-12,98.9572,99.4816,98.9572,99.4816,3408200
2026-01-13,99.4816,100.1772,99.4816,100.1772,4845600
2026-01-14,100.1772,100.1772,98.9619,98.9619,2862500
2026-01-15,98.9619,98.9619,98.7581,98.7581,3704700
2026-01-16,98.7581,100.0947,98.7581,100.0947,2664700
2026-01-19,100.0947,100.2595,100.0947,100.2595,2716000
2026-01-20,100.2595,101.1942,100.2595,101.1942,1145900
2026-01-21,101.1942,101.1942,101.1090,101.1090,3696400
2026-01-22,101.1090,101.1090,100.8266,100.8266,2418200
2026-01-23,100.8266,100.8266,98.7546,98.7546,4795200
2026-01-26,98.7546,99.7732,98.7546,99.7732,38400
2026-01-27,99.7732,100.4856,99.7732,100.4856,2280000
2026-01-28,100.4856,100.4856,99.9381,99.9381,3835800
2026-01-29,99.9381,99.9381,99.8874,99.8874,262200
2026-01-30,99.8874,99.8874,98.6111,98.6111,2173400
2026-02-02,98.6111,99.4192,98.6111,99.4192,4967800
2026-02-03,99.4192,99.4192,98.2908,98.2908,3798800
2026-02-04,98.2908,98.2908,98.1993,98.1993,3728900
2026-02-05,98.1993,99.1791,98.1993,99.1791,3225500
2026-02-06,99.1791,99.7457,99.1791,99.7457,430700
2026-02-09,99.7457,101.7251,99.7457,101.7251,4196300
2026-02-10,101.7251,101.7251,100.8759,100.8759,240800
2026-02-11,100.8759,101.7372,100.8759,101.7372,4430900
2026-02-12,101.7372,101.7372,101.1490,101.1490,1052500
2026-02-13,101.1490,101.2224,101.1490,101.2224,3017900
2026-02-16,101.2224,101.2224,101.1272,101.1272,3012900
2026-02-17,101.1272,101.1272,99.9947,99.9947,175600
2026-02-18,99.9947,102.4751,99.9947,102.4751,2421900
2026-02-19,102.4751,102.4751,102.0926,102.0926,562800
2026-02-20,102.0926,104.1838,102.0926,104.1838,4575600
2026-02-23,104.1838,104.1838,103.8125,103.8125,2433000
2026-02-24,103.8125,104.4007,103.8125,104.4007,3734400
2026-02-25,104.4007,104.4826,104.4007,104.4826,2042200
2026-02-26,104.4826,105.0049,104.4826,105.0049,4775600
2026-02-27,105.0049,107.8567,105.0049,107.8567,4327300
2026-03-02,107.8567,109.0767,107.8567,109.0767,1022000
2026-03-03,109.0767,109.1360,109.0767,109.1360,277400
2026-03-04,109.1360,109.1360,108.1042,108.1042,398500
2026-03-05,108.1042,111.0436,108.1042,111.0436,3914900
2026-03-06,111.0436,114.9497,111.0436,114.9497,3893600
2026-03-09,114.9497,116.8560,114.9497,116.8560,2091400
2026-03-10,116.8560,116.8560,115.5151,115.5151,3078500
2026-03-11,115.5151,115.5151,115.1448,115.1448,3763200
2026-03-12,115.1448,115.1448,115.1140,115.1140,3764400
2026-03-13,115.1140,115.1140,113.8046,113.8046,4161700
2026-03-16,113.8046,114.5232,113.8046,114.5232,3942000
2026-03-17,114.5232,114.5232,113.0486,113.0486,4317800
2026-03-18,113.0486,113.0486,111.5757,111.5757,3329400
2026-03-19,111.5757,111.5757,110.3966,110.3966,3753300
2026-03-20,110.3966,110.3966,110.3585,110.3585,4561100
2026-03-23,110.3585,110.9801,110.3585,110.9801,2189900
2026-03-24,110.9801,112.2081,110.9801,112.2081,2642600
2026-03-25,112.2081,112.2081,110.7180,110.7180,3423300
2026-03-26,110.7180,110.8602,110.7180,110.8602,3006900
2026-03-27,110.8602,110.8602,110.1717,110.1717,4764800
2026-03-30,110.1717,111.8611,110.1717,111.8611,638600
2026-03-31,111.8611,111.8611,111.6124,111.6124,2192700
2026-04-01,111.6124,111.9201,111.6124,111.9201,2440100
2026-04-02,111.9201,111.9201,111.3961,111.3961,4343900
2026-04-03,111.3961,113.3234,111.3961,113.3234,366500
2026-04-06,113.3234,113.3234,112.2029,112.2029,3804800
2026-04-07,112.2029,112.2984,112.2029,112.2984,4038400
