date,open,high,low,close,volume
2026-01-01,1000.0000,1023.0700,1000.0000,1023.0700,327200
2026-01-02,1023.0700,1023.0700,1003.8190,1003.8190,2988700
2026-01-03,1003.8190,1013.8875,1003.8190,1013.8875,2247000
2026-01-04,1013.8875,1013.8875,974.4166,974.4166,3034500
2026-01-05,974.4166,1030.7908,974.4166,1030.7908,4695200
2026-01-06,1030.7908,1093.4114,1030.7908,1093.4114,4132300
2026-01-07,1093.4114,1093.4114,1085.4091,1085.4091,3447100
2026-01-08,1085.4091,1085.4091,1067.2263,1067.2263,4605800
2026-01-09,1067.2263,1067.2263,1044.8307,1044.8307,1438200
2026-01-10,1044.8307,1091.0023,1044.8307,1091.0023,3683500
2026-01-11,1091.0023,1094.5254,1091.0023,1094.5254,4456000
2026-01-12,1094.5254,1121.2489,1094.5254,1121.2489,3149000
2026-01-13,1121.2489,1121.2489,1094.1598,1094.1598,1829900
2026-01-14,1094.1598,1094.1598,1070.1351,1070.1351,3693200
2026-01-15,1070.1351,1090.6880,1070.1351,1090.6880,4183700
2026-01-16,1090.6880,1090.6880,1033.5039,1033.5039,2257900
2026-01-17,1033.5039,1070.6277,1033.5039,1070.6277,1825000
2026-01-18,1070.6277,1071.4227,1070.6277,1071.4227,1282500
2026-01-19,1071.4227,1147.8079,1071.4227,1147.8079,4258100
2026-01-20,1147.8079,1215.4851,1147.8079,1215.4851,2399600
2026-01-21,1215.4851,1215.4851,1189.6601,1189.6601,1357400
2026-01-22,1189.6601,1189.6601,1172.2906,1172.2906,4783600
2026-01-23,1172.2906,1196.0816,1172.2906,1196.0816,258100
2026-01-24,1196.0816,1196.0816,1144.0909,1144.0909,1593500
2026-01-25,1144.0909,1146.1539,1144.0909,1146.1539,2448000
2026-01-26,1146.1539,1207.6213,1146.1539,1207.6213,3909500
2026-01-27,1207.6213,1207.6641,1207.6213,1207.6641,2904600
2026-01-28,1207.6641,1207.6641,1131.6598,1131.6598,2345100
