date,open,high,low,close,volume
2026-01-01,40.0000,41.4546,40.0000,41.4546,3734800
2026-01-02,41.4546,41.5860,41.4546,41.5860,1982900
2026-01-03,41.5860,42.3497,41.5860,42.3497,1225600
2026-01-04,42.3497,43.5437,42.3497,43.5437,1864400
2026-01-05,43.5437,43.5437,42.8682,42.8682,681300
2026-01-06,42.8682,43.4599,42.8682,43.4599,2103500
2026-01-07,43.4599,44.0811,43.4599,44.0811,3805400
2026-01-08,44.0811,46.1730,44.0811,46.1730,4756000
2026-01-09,46.1730,46.1730,45.6725,45.6725,4873400
2026-01-10,45.6725,47.0558,45.6725,47.0558,2831200
2026-01-11,47.0558,47.0558,44.7331,44.7331,2908400
2026-01-12,44.7331,44.7331,42.7942,42.7942,4089000
2026-01-13,42.7942,42.7942,41.8960,41.8960,2096800
2026-01-14,41.8960,42.3742,41.8960,42.3742,2559100
2026-01-15,42.3742,42.3742,41.5966,41.5966,2816300
2026-01-16,41.5966,41.8680,41.5966,41.8680,4546000
2026-01-17,41.8680,44.3385,41.8680,44.3385,3630000
2026-01-18,44.3385,45.0121,44.3385,45.0121,1126300
2026-01-19,45.0121,45.0671,45.0121,45.0671,1660600
2026-01-20,45.0671,45.6820,45.0671,45.6820,200100
2026-01-21,45.6820,47.9654,45.6820,47.9654,3487600
2026-01-22,47.9654,49.3608,47.9654,49.3608,4799600
2026-01-23,49.3608,51.2977,49.3608,51.2977,3636300
2026-01-24,51.2977,51.2977,50.9907,50.9907,123900
2026-01-25,50.9907,51.8024,50.9907,51.8024,4999200
2026-01-26,51.8024,51.8024,50.2668,50.2668,4641100
2026-01-27,50.2668,50.2668,48.9561,48.9561,149600
2026-01-28,48.9561,48.9561,48.4938,48.4938,1057600
2026-01-29,48.4938,48.4938,46.1896,46.1896,1932400
2026-01-30,46.1896,46.5433,46.1896,46.5433,4597700
2026-01-31,46.5433,46.5433,46.3120,46.3120,3992500
2026-02-01,46.3120,46.3120,45.3024,45.3024,777200
2026-02-02,45.3024,45.3024,43.9710,43.9710,4416700
2026-02-03,43.9710,44.1910,43.9710,44.1910,43900
2026-02-04,44.1910,45.1015,44.1910,45.1015,523600
2026-02-05,45.1015,47.1071,45.1015,47.1071,1916200
2026-02-06,47.1071,47.1071,46.8691,46.8691,1700600
2026-02-07,46.8691,46.8691,45.5762,45.5762,3549500
2026-02-08,45.5762,45.5762,43.7667,43.7667,4302900
2026-02-09,43.7667,43.7667,42.1650,42.1650,125500
2026-02-10,42.1650,42.4399,42.1650,42.4399,3442100
2026-02-11,42.4399,42.4399,42.2030,42.2030,3721600
2026-02-12,42.2030,42.2030,38.7473,38.7473,4132100
2026-02-13,38.7473,39.0883,38.7473,39.0883,1822600
2026-02-14,39.0883,41.3930,39.0883,41.3930,3239000
2026-02-15,41.3930,41.3930,38.3086,38.3086,3450700
2026-02-16,38.3086,38.5040,38.3086,38.5040,143200
2026-02-17,38.5040,38.5040,37.2978,37.2978,3219700
2026-02-18,37.2978,37.3903,37.2978,37.3903,4545000
2026-02-19,37.3903,38.1389,37.3903,38.1389,1181900
2026-02-20,38.1389,39.6649,38.1389,39.6649,2290800
2026-02-21,39.6649,39.8340,39.6649,39.8340,1834600
2026-02-22,39.8340,40.6740,39.8340,40.6740,1893500
2026-02-23,40.6740,41.8536,40.6740,41.8536,2653000
2026-02-24,41.8536,43.0159,41.8536,43.0159,1359700
2026-02-25,43.0159,43.6043,43.0159,43.6043,789500
2026-02-26,43.6043,43.6043,43.0834,43.0834,3737000
2026-02-27,43.0834,43.5449,43.0834,43.5449,3906500
2026-02-28,43.5449,43.5449,41.3535,41.3535,2450300
2026-03-01,41.3535,41.9167,41.3535,41.9167,4409900
2026-03-02,41.9167,41.9167,41.4387,41.4387,561400
2026-03-03,41.4387,41.4387,41.1101,41.1101,3065300
2026-03-04,41.1101,41.1101,39.1529,39.1529,2934800
2026-03-05,39.1529,39.1529,38.3930,38.3930,4606300
2026-03-06,38.3930,38.6668,38.3930,38.6668,4020700
2026-03-07,38.6668,38.6668,38.5800,38.5800,4021400
2026-03-08,38.5800,39.4046,38.5800,39.4046,2907200
2026-03-09,39.4046,39.4046,36.2984,36.2984,1300400
2026-03-10,36.2984,36.9324,36.2984,36.9324,2844200
2026-03-11,36.9324,38.2438,36.9324,38.2438,3436800
2026-03-12,38.2438,38.2438,38.1771,38.1771,2694000
