date,open,high,low,close,volume
2026-01-01,40.0000,40.7104,40.0000,40.7104,2578700
2026-01-02,40.7104,41.8569,40.7104,41.8569,4201200
2026-01-03,41.8569,42.4594,41.8569,42.4594,1000100
2026-01-04,42.4594,42.4594,42.0271,42.0271,1454900
2026-01-05,42.0271,42.3162,42.0271,42.3162,3793700
2026-01-06,42.3162,42.3162,42.0556,42.0556,4941100
2026-01-07,42.0556,44.4948,42.0556,44.4948,1546500
2026-01-08,44.4948,48.5026,44.4948,48.5026,1624400
2026-01-09,48.5026,49.5533,48.5026,49.5533,1533100
2026-01-10,49.5533,50.9626,49.5533,50.9626,4098700
2026-01-11,50.9626,50.9626,48.7992,48.7992,4556300
2026-01-12,48.7992,48.7992,47.8638,47.8638,4435500
2026-01-13,47.8638,47.8638,45.4316,45.4316,2000300
2026-01-14,45.4316,45.4316,44.6108,44.6108,618100
2026-01-15,44.6108,44.6108,43.2273,43.2273,846700
2026-01-16,43.2273,43.2273,41.5962,41.5962,4557700
2026-01-17,41.5962,42.6311,41.5962,42.6311,2352400
2026-01-18,42.6311,43.2552,42.6311,43.2552,3459700
2026-01-19,43.2552,43.2552,43.0151,43.0151,4332900
2026-01-20,43.0151,43.0151,42.5427,42.5427,2341700
2026-01-21,42.5427,43.8499,42.5427,43.8499,1035400
2026-01-22,43.8499,45.4502,43.8499,45.4502,1799800
2026-01-23,45.4502,48.5109,45.4502,48.5109,898100
2026-01-24,48.5109,50.4321,48.5109,50.4321,3928500
2026-01-25,50.4321,50.4321,50.4054,50.4054,4904600
2026-01-26,50.4054,50.4054,50.3142,50.3142,187900
2026-01-27,50.3142,50.3142,48.9622,48.9622,594700
2026-01-28,48.9622,48.9622,48.1172,48.1172,3189600
2026-01-29,48.1172,48.1172,46.5199,46.5199,4123200
2026-01-30,46.5199,48.6047,46.5199,48.6047,2940700
2026-01-31,48.6047,48.6047,48.2908,48.2908,2614900
2026-02-01,48.2908,48.3515,48.2908,48.3515,3612900
2026-02-02,48.3515,48.3515,46.1498,46.1498,1855900
2026-02-03,46.1498,46.1498,45.5850,45.5850,324100
2026-02-04,45.5850,46.5676,45.5850,46.5676,1384300
2026-02-05,46.5676,48.7166,46.5676,48.7166,37800
2026-02-06,48.7166,49.9663,48.7166,49.9663,2866100
2026-02-07,49.9663,50.9210,49.9663,50.9210,1517100
2026-02-08,50.9210,50.9210,48.6915,48.6915,4126500
2026-02-09,48.6915,48.6915,46.5848,46.5848,4990900
2026-02-10,46.5848,46.5848,46.2729,46.2729,3064900
2026-02-11,46.2729,46.2729,45.7729,45.7729,4380700
2026-02-12,45.7729,45.7729,41.9046,41.9046,2212900
2026-02-13,41.9046,42.8750,41.9046,42.8750,1078700
2026-02-14,42.8750,45.3729,42.8750,45.3729,2397400
2026-02-15,45.3729,45.3729,43.1823,43.1823,4002300
2026-02-16,43.1823,43.1823,42.2846,42.2846,3311500
2026-02-17,42.2846,42.2846,40.3869,40.3869,4183500
2026-02-18,40.3869,40.3869,39.4047,39.4047,148600
2026-02-19,39.4047,39.6191,39.4047,39.6191,3710100
2026-02-20,39.6191,40.1129,39.6191,40.1129,2994600
2026-02-21,40.1129,42.4304,40.1129,42.4304,3515700
2026-02-22,42.4304,43.2530,42.4304,43.2530,3345200
2026-02-23,43.2530,44.8406,43.2530,44.8406,2333200
2026-02-24,44.8406,45.5533,44.8406,45.5533,2895800
2026-02-25,45.5533,46.1887,45.5533,46.1887,3481700
2026-02-26,46.1887,46.1887,46.1294,46.1294,1668100
2026-02-27,46.1294,46.3978,46.1294,46.3978,4104200
2026-02-28,46.3978,46.3978,43.5786,43.5786,4552200
2026-03-01,43.5786,43.5786,43.2672,43.2672,2426600
2026-03-02,43.2672,43.3268,43.2672,43.3268,310000
2026-03-03,43.3268,43.3268,42.9667,42.9667,3170200
2026-03-04,42.9667,42.9667,40.4674,40.4674,2063500
2026-03-05,40.4674,40.4674,40.3821,40.3821,684000
2026-03-06,40.3821,41.4321,40.3821,41.4321,4807900
2026-03-07,41.4321,41.7561,41.4321,41.7561,3699000
2026-03-08,41.7561,42.5397,41.7561,42.5397,4296200
2026-03-09,42.5397,42.5397,40.3449,40.3449,1596000
2026-03-10,40.3449,40.3449,40.0620,40.0620,1251500
2026-03-11,40.0620,41.0927,40.0620,41.0927,663700
2026-03-12,41.0927,41.1879,41.0927,41.1879,3137800
2026-03-13,41.1879,41.1879,38.9969,38.9969,4912900
2026-03-14,38.9969,40.5637,38.9969,40.5637,2204200
2026-03-15,40.5637,41.3042,40.5637,41.3042,3479200
2026-03-16,41.3042,42.7480,41.3042,42.7480,2825200
2026-03-17,42.7480,42.7480,40.9462,40.9462,2949600
2026-03-18,40.9462,42.1617,40.9462,42.1617,1924100
2026-03-19,42.1617,43.5407,42.1617,43.5407,1720900
2026-03-20,43.5407,43.5407,40.4799,40.4799,749600
2026-03-21,40.4799,40.4799,39.6867,39.6867,4898300
2026-03-22,39.6867,40.3551,39.6867,40.3551,2473000
2026-03-23,40.3551,40.3551,39.3423,39.3423,1731600
2026-03-24,39.3423,40.4025,39.3423,40.4025,1626100
2026-03-25,40.4025,40.4025,38.7206,38.7206,2060300
2026-03-26,38.7206,40.2466,38.7206,40.2466,1118400
2026-03-27,40.2466,40.2466,39.2653,39.2653,4724000
2026-03-28,39.2653,40.1115,39.2653,40.1115,3151700
2026-03-29,40.1115,40.1115,39.8386,39.8386,4210900
2026-03-30,39.8386,39.8386,39.2886,39.2886,2191600
2026-03-31,39.2886,39.2886,38.5483,38.5483,1120500
2026-04-01,38.5483,38.5483,36.9206,36.9206,696500
2026-04-02,36.9206,38.3072,36.9206,38.3072,4018100
2026-04-03,38.3072,38.3072,36.2316,36.2316,2897900
2026-04-04,36.2316,36.2316,35.6262,35.6262,560600
2026-04-05,35.6262,35.6262,34.8465,34.8465,4530400
2026-04-06,34.8465,34.8465,33.8173,33.8173,1596500
2026-04-07,33.8173,35.2871,33.8173,35.2871,178000
2026-04-08,35.2871,35.2871,34.9873,34.9873,3198800
2026-04-09,34.9873,34.9873,34.6638,34.6638,1719600
2026-04-10,34.6638,34.6638,34.1986,34.1986,3941000
2026-04-11,34.1986,34.4944,34.1986,34.4944,1034700
2026-04-12,34.4944,36.2417,34.4944,36.2417,470300
2026-04-13,36.2417,37.0075,36.2417,37.0075,2604800
2026-04-14,37.0075,37.0075,36.4190,36.4190,1179100
2026-04-15,36.4190,37.0361,36.4190,37.0361,762100
2026-04-16,37.0361,37.7805,37.0361,37.7805,2872800
2026-04-17,37.7805,39.7079,37.7805,39.7079,839700
2026-04-18,39.7079,39.7079,38.7205,38.7205,2506900
2026-04-19,38.7205,38.7205,38.4681,38.4681,4492500
2026-04-20,38.4681,38.6348,38.4681,38.6348,3224500
2026-04-21,38.6348,38.6348,38.3708,38.3708,306400
2026-04-22,38.3708,38.3708,37.8309,37.8309,4917700
2026-04-23,37.8309,40.3546,37.8309,40.3546,3969800
2026-04-24,40.3546,40.3546,33.0176,33.0176,3781400
2026-04-25,33.0176,33.0176,32.3649,32.3649,713800
2026-04-26,32.3649,32.3649,30.6665,30.6665,2274600
2026-04-27,30.6665,30.6665,29.4289,29.4289,2482600
2026-04-28,29.4289,30.1440,29.4289,30.1440,2937000
2026-04-29,30.1440,30.1440,29.2723,29.2723,4836000
2026-04-30,29.2723,29.2723,27.8753,27.8753,4667800
2026-05-01,27.8753,27.8753,26.8343,26.8343,1356100
2026-05-02,26.8343,27.1971,26.8343,27.1971,2253100
2026-05-03,27.1971,29.1060,27.1971,29.1060,4973300
2026-05-04,29.1060,29.8732,29.1060,29.8732,2264100
2026-05-05,29.8732,29.8732,28.5208,28.5208,3189600
2026-05-06,28.5208,30.2609,28.5208,30.2609,42300
2026-05-07,30.2609,31.0853,30.2609,31.0853,2992900
2026-05-08,31.0853,31.1813,31.0853,31.1813,3831400
2026-05-09,31.1813,31.1813,29.1770,29.1770,2712300
2026-05-10,29.1770,29.1770,28.9229,28.9229,249500
2026-05-11,28.9229,28.9229,28.4011,28.4011,1503700
2026-05-12,28.4011,30.2513,28.4011,30.2513,4877800
2026-05-13,30.2513,31.7891,30.2513,31.7891,116500
2026-05-14,31.7891,32.1590,31.7891,32.1590,1194200
2026-05-15,32.1590,32.2328,32.1590,32.2328,3805500
2026-05-16,32.2328,32.2328,31.8607,31.8607,4256900
2026-05-17,31.8607,32.5832,31.8607,32.5832,37200
2026-05-18,32.5832,32.7425,32.5832,32.7425,2100800
2026-05-19,32.7425,32.7425,32.2357,32.2357,3418300
2026-05-20,32.2357,32.2357,30.6792,30.6792,3173900
2026-05-21,30.6792,30.8534,30.6792,30.8534,4318000
2026-05-22,30.8534,30.8534,30.8399,30.8399,1558700
2026-05-23,30.8399,31.0322,30.8399,31.0322,1921200
2026-05-24,31.0322,31.0322,30.8720,30.8720,4314900
2026-05-25,30.8720,30.8720,30.6320,30.6320,4727200
2026-05-26,30.6320,30.6320,30.0686,30.0686,4501400
2026-05-27,30.0686,30.0686,28.4529,28.4529,1879000
2026-05-28,28.4529,28.4529,28.4033,28.4033,1866800
2026-05-29,28.4033,28.4033,27.2558,27.2558,883500
2026-05-30,27.2558,27.2558,26.4822,26.4822,4133800
2026-05-31,26.4822,26.4822,25.8132,25.8132,1971600
2026-06-01,25.8132,26.1760,25.8132,26.1760,3277200
2026-06-02,26.1760,26.1760,26.0192,26.0192,2404100
