date,open,high,low,close,volume
2026-01-01,40.0000,40.3617,40.0000,40.3617,4845100
2026-01-02,40.3617,40.8831,40.3617,40.8831,996200
2026-01-03,40.8831,42.2905,40.8831,42.2905,218500
2026-01-04,42.2905,43.0940,42.2905,43.0940,4966200
2026-01-05,43.0940,44.6786,43.0940,44.6786,2980600
2026-01-06,44.6786,44.6786,44.5625,44.5625,3135700
2026-01-07,44.5625,45.5088,44.5625,45.5088,4675200
2026-01-08,45.5088,49.1831,45.5088,49.1831,2719500
2026-01-09,49.1831,49.6751,49.1831,49.6751,1265100
2026-01-10,49.6751,53.2621,49.6751,53.2621,4392400
2026-01-11,53.2621,53.2621,50.4798,50.4798,2493600
2026-01-12,50.4798,50.4798,48.6467,48.6467,2709700
2026-01-13,48.6467,48.6467,46.4103,46.4103,2293400
2026-01-14,46.4103,46.5327,46.4103,46.5327,2457000
2026-01-15,46.5327,46.5327,44.7904,44.7904,4547400
2026-01-16,44.7904,44.7904,44.4808,44.4808,1602400
2026-01-17,44.4808,46.8102,44.4808,46.8102,1661800
2026-01-18,46.8102,49.1022,46.8102,49.1022,921400
2026-01-19,49.1022,49.1387,49.1022,49.1387,333600
2026-01-20,49.1387,49.1387,47.9623,47.9623,4463500
2026-01-21,47.9623,49.7154,47.9623,49.7154,3034200
2026-01-22,49.7154,51.4280,49.7154,51.4280,4758900
2026-01-23,51.4280,51.7047,51.4280,51.7047,3714400
2026-01-24,51.7047,51.7047,50.9334,50.9334,4361300
2026-01-25,50.9334,52.9181,50.9334,52.9181,1590700
2026-01-26,52.9181,52.9181,51.9558,51.9558,890600
2026-01-27,51.9558,51.9558,49.9209,49.9209,2111500
2026-01-28,49.9209,49.9209,48.5316,48.5316,4021700
2026-01-29,48.5316,48.5316,46.4918,46.4918,4643300
2026-01-30,46.4918,49.2224,46.4918,49.2224,1404500
2026-01-31,49.2224,49.4770,49.2224,49.4770,4348000
2026-02-01,49.4770,50.5560,49.4770,50.5560,1123300
2026-02-02,50.5560,50.5560,49.2363,49.2363,2054800
2026-02-03,49.2363,49.2363,47.7949,47.7949,3274400
2026-02-04,47.7949,49.6039,47.7949,49.6039,3130000
2026-02-05,49.6039,50.6776,49.6039,50.6776,4750600
