date,open,high,low,close,volume
2026-01-01,40.0000,40.5322,40.0000,40.5322,2188800
2026-01-02,40.5322,40.6771,40.5322,40.6771,4027300
2026-01-03,40.6771,41.8176,40.6771,41.8176,2480900
2026-01-04,41.8176,44.3517,41.8176,44.3517,3291600
2026-01-05,44.3517,45.2600,44.3517,45.2600,192000
2026-01-06,45.2600,45.8264,45.2600,45.8264,2694800
2026-01-07,45.8264,47.0323,45.8264,47.0323,4924500
2026-01-08,47.0323,51.7808,47.0323,51.7808,1375800
2026-01-09,51.7808,51.9118,51.7808,51.9118,3869700
2026-01-10,51.9118,54.2136,51.9118,54.2136,4561600
2026-01-11,54.2136,54.2136,50.4527,50.4527,1132100
2026-01-12,50.4527,50.4527,49.5587,49.5587,3104900
2026-01-13,49.5587,49.5587,47.6959,47.6959,1342800
2026-01-14,47.6959,48.3169,47.6959,48.3169,1105900
2026-01-15,48.3169,48.3169,46.9603,46.9603,3268200
2026-01-16,46.9603,46.9603,44.4175,44.4175,4951200
2026-01-17,44.4175,46.8037,44.4175,46.8037,4205000
2026-01-18,46.8037,47.0858,46.8037,47.0858,551000
2026-01-19,47.0858,47.2052,47.0858,47.2052,3031200
2026-01-20,47.2052,47.2052,46.9180,46.9180,198300
2026-01-21,46.9180,48.2954,46.9180,48.2954,4401000
2026-01-22,48.2954,50.5820,48.2954,50.5820,3736900
2026-01-23,50.5820,51.8014,50.5820,51.8014,2689900
2026-01-24,51.8014,51.8014,51.4213,51.4213,3653600
2026-01-25,51.4213,52.4235,51.4213,52.4235,2956800
2026-01-26,52.4235,52.4235,51.5663,51.5663,55900
2026-01-27,51.5663,51.5663,51.0697,51.0697,4561000
2026-01-28,51.0697,51.0697,50.3792,50.3792,3540100
2026-01-29,50.3792,50.3792,47.8649,47.8649,2986200
2026-01-30,47.8649,49.4775,47.8649,49.4775,2095500
2026-01-31,49.4775,49.4775,49.1258,49.1258,824100
2026-02-01,49.1258,49.1258,48.2158,48.2158,4321600
2026-02-02,48.2158,48.2158,45.6160,45.6160,3790700
2026-02-03,45.6160,45.6160,44.2070,44.2070,805700
2026-02-04,44.2070,45.4127,44.2070,45.4127,4504100
2026-02-05,45.4127,47.8087,45.4127,47.8087,838800
2026-02-06,47.8087,49.0601,47.8087,49.0601,2094900
2026-02-07,49.0601,50.9514,49.0601,50.9514,1954600
2026-02-08,50.9514,50.9514,49.0771,49.0771,763200
2026-02-09,49.0771,49.0771,47.4889,47.4889,1078700
2026-02-10,47.4889,49.5923,47.4889,49.5923,3503100
2026-02-11,49.5923,49.5923,49.3396,49.3396,4151500
2026-02-12,49.3396,49.3396,44.9870,44.9870,1063000
2026-02-13,44.9870,45.6609,44.9870,45.6609,4591600
2026-02-14,45.6609,46.4479,45.6609,46.4479,3693000
2026-02-15,46.4479,46.4479,44.5726,44.5726,4934800
2026-02-16,44.5726,44.9724,44.5726,44.9724,2402100
2026-02-17,44.9724,44.9724,43.0647,43.0647,2533200
2026-02-18,43.0647,43.5131,43.0647,43.5131,1434800
2026-02-19,43.5131,43.8667,43.5131,43.8667,4132800
2026-02-20,43.8667,44.7369,43.8667,44.7369,3232100
2026-02-21,44.7369,46.1877,44.7369,46.1877,991600
2026-02-22,46.1877,47.5710,46.1877,47.5710,770700
2026-02-23,47.5710,48.1376,47.5710,48.1376,4679300
2026-02-24,48.1376,48.2807,48.1376,48.2807,991100
2026-02-25,48.2807,48.2807,47.8325,47.8325,73700
2026-02-26,47.8325,47.8325,47.2251,47.2251,2514000
2026-02-27,47.2251,47.2251,46.8336,46.8336,4247700
2026-02-28,46.8336,46.8336,44.8415,44.8415,3140800
2026-03-01,44.8415,45.2064,44.8415,45.2064,2280300
