date,open,high,low,close,volume
2026-01-01,40.0000,42.4272,40.0000,42.4272,1935600
2026-01-02,42.4272,42.4272,41.6875,41.6875,645500
2026-01-03,41.6875,44.2141,41.6875,44.2141,377800
2026-01-04,44.2141,45.8475,44.2141,45.8475,255500
2026-01-05,45.8475,47.5957,45.8475,47.5957,2256100
2026-01-06,47.5957,47.9858,47.5957,47.9858,4208500
2026-01-07,47.9858,50.7757,47.9858,50.7757,805100
2026-01-08,50.7757,54.8912,50.7757,54.8912,4387600
2026-01-09,54.8912,55.3000,54.8912,55.3000,2159800
2026-01-10,55.3000,57.8240,55.3000,57.8240,2876000
2026-01-11,57.8240,57.8240,54.5593,54.5593,3486800
2026-01-12,54.5593,54.7447,54.5593,54.7447,1765000
2026-01-13,54.7447,54.7447,53.2059,53.2059,1381300
2026-01-14,53.2059,53.2059,51.7696,51.7696,4529900
2026-01-15,51.7696,51.7696,50.8102,50.8102,713400
2026-01-16,50.8102,50.8102,49.3076,49.3076,2294300
2026-01-17,49.3076,51.3662,49.3076,51.3662,576200
2026-01-18,51.3662,53.1872,51.3662,53.1872,2936300
2026-01-19,53.1872,53.1872,51.8230,51.8230,4309600
2026-01-20,51.8230,53.0230,51.8230,53.0230,2425900
2026-01-21,53.0230,55.6588,53.0230,55.6588,1886500
2026-01-22,55.6588,58.4520,55.6588,58.4520,3816400
2026-01-23,58.4520,58.4520,58.3322,58.3322,2640700
2026-01-24,58.3322,58.8418,58.3322,58.8418,1527000
2026-01-25,58.8418,58.9297,58.8418,58.9297,1711200
2026-01-26,58.9297,58.9297,58.3093,58.3093,2757800
2026-01-27,58.3093,58.3093,57.5876,57.5876,1534300
2026-01-28,57.5876,57.5876,57.4891,57.4891,1704700
2026-01-29,57.4891,57.4891,55.9703,55.9703,3213700
2026-01-30,55.9703,56.9256,55.9703,56.9256,2103100
2026-01-31,56.9256,58.0913,56.9256,58.0913,1372200
2026-02-01,58.0913,58.0913,57.3395,57.3395,3297400
2026-02-02,57.3395,57.3395,56.2508,56.2508,468400
2026-02-03,56.2508,56.2508,55.0617,55.0617,1623200
2026-02-04,55.0617,56.3460,55.0617,56.3460,2576900
2026-02-05,56.3460,58.0027,56.3460,58.0027,2077500
2026-02-06,58.0027,58.0027,57.0459,57.0459,4099300
2026-02-07,57.0459,57.4773,57.0459,57.4773,1924500
2026-02-08,57.4773,57.4773,54.1634,54.1634,2650700
2026-02-09,54.1634,54.1634,52.7742,52.7742,4144700
2026-02-10,52.7742,52.7742,52.2281,52.2281,3104700
2026-02-11,52.2281,53.4824,52.2281,53.4824,4851100
2026-02-12,53.4824,53.4824,48.6707,48.6707,1102000
2026-02-13,48.6707,51.4126,48.6707,51.4126,3703800
2026-02-14,51.4126,53.2527,51.4126,53.2527,2391300
2026-02-15,53.2527,53.2527,50.3334,50.3334,2073800
2026-02-16,50.3334,50.3334,49.4264,49.4264,602400
2026-02-17,49.4264,49.4264,48.2959,48.2959,4512200
2026-02-18,48.2959,49.1083,48.2959,49.1083,3966200
2026-02-19,49.1083,49.1083,46.8841,46.8841,4287800
2026-02-20,46.8841,49.1804,46.8841,49.1804,3197500
2026-02-21,49.1804,49.1804,48.8467,48.8467,2785200
2026-02-22,48.8467,51.1180,48.8467,51.1180,1786800
2026-02-23,51.1180,52.4670,51.1180,52.4670,1122100
2026-02-24,52.4670,54.6357,52.4670,54.6357,2575500
2026-02-25,54.6357,54.6357,54.4622,54.4622,1936000
2026-02-26,54.4622,55.0183,54.4622,55.0183,3624800
2026-02-27,55.0183,57.0486,55.0183,57.0486,1244300
2026-02-28,57.0486,57.0486,53.3136,53.3136,269900
2026-03-01,53.3136,53.9498,53.3136,53.9498,3507000
2026-03-02,53.9498,53.9498,53.4024,53.4024,4885100
2026-03-03,53.4024,54.7713,53.4024,54.7713,617700
2026-03-04,54.7713,54.7713,53.0961,53.0961,4267300
2026-03-05,53.0961,53.0961,52.1782,52.1782,47800
2026-03-06,52.1782,52.1782,51.6101,51.6101,455700
2026-03-07,51.6101,51.6101,51.6065,51.6065,1114700
2026-03-08,51.6065,51.6133,51.6065,51.6133,3026300
2026-03-09,51.6133,51.6133,47.7959,47.7959,455600
2026-03-10,47.7959,48.3000,47.7959,48.3000,733900
2026-03-11,48.3000,48.8198,48.3000,48.8198,2225900
2026-03-12,48.8198,49.4562,48.8198,49.4562,3738400
2026-03-13,49.4562,49.4562,46.9065,46.9065,4606900
2026-03-14,46.9065,48.1905,46.9065,48.1905,3840400
2026-03-15,48.1905,49.7480,48.1905,49.7480,572300
2026-03-16,49.7480,51.7400,49.7480,51.7400,1810000
2026-03-17,51.7400,51.7400,49.2290,49.2290,2405100
2026-03-18,49.2290,49.8657,49.2290,49.8657,4160700
2026-03-19,49.8657,50.7792,49.8657,50.7792,3263200
2026-03-20,50.7792,50.7792,48.4673,48.4673,764400
2026-03-21,48.4673,49.0256,48.4673,49.0256,3390300
2026-03-22,49.0256,49.0256,46.5546,46.5546,1033300
2026-03-23,46.5546,46.9883,46.5546,46.9883,4179400
2026-03-24,46.9883,47.4423,46.9883,47.4423,4570700
2026-03-25,47.4423,47.4423,46.4541,46.4541,4475600
2026-03-26,46.4541,46.7828,46.4541,46.7828,3782900
2026-03-27,46.7828,46.7828,46.1686,46.1686,3850500
2026-03-28,46.1686,47.1985,46.1686,47.1985,377100
2026-03-29,47.1985,47.1985,45.9385,45.9385,2213200
2026-03-30,45.9385,46.2991,45.9385,46.2991,2060500
2026-03-31,46.2991,46.2991,46.0742,46.0742,4210200
2026-04-01,46.0742,46.0742,44.8416,44.8416,2610600
2026-04-02,44.8416,47.1957,44.8416,47.1957,510200
2026-04-03,47.1957,47.1957,45.4543,45.4543,3928200
2026-04-04,45.4543,45.4543,45.3407,45.3407,3325200
2026-04-05,45.3407,45.3407,44.1337,44.1337,4520900
2026-04-06,44.1337,44.1337,43.2436,43.2436,644900
2026-04-07,43.2436,45.3902,43.2436,45.3902,1033500
2026-04-08,45.3902,46.5229,45.3902,46.5229,1258100
2026-04-09,46.5229,46.5229,46.3715,46.3715,2632900
2026-04-10,46.3715,46.3715,44.5369,44.5369,4731200
2026-04-11,44.5369,44.5369,43.2110,43.2110,1719700
2026-04-12,43.2110,44.4086,43.2110,44.4086,266800
2026-04-13,44.4086,45.5371,44.4086,45.5371,4217600
2026-04-14,45.5371,45.5371,42.7381,42.7381,2017800
2026-04-15,42.7381,44.6327,42.7381,44.6327,3400600
2026-04-16,44.6327,46.7859,44.6327,46.7859,3835700
2026-04-17,46.7859,50.8161,46.7859,50.8161,1459600
2026-04-18,50.8161,50.8161,50.5111,50.5111,2999200
2026-04-19,50.5111,50.7886,50.5111,50.7886,2181600
2026-04-20,50.7886,50.7886,50.2567,50.2567,680000
2026-04-21,50.2567,50.2567,49.5325,49.5325,4927800
2026-04-22,49.5325,50.9987,49.5325,50.9987,663900
2026-04-23,50.9987,54.5582,50.9987,54.5582,2648800
2026-04-24,54.5582,54.5582,53.6015,53.6015,3255500
2026-04-25,53.6015,53.6500,53.6015,53.6500,87400
2026-04-26,53.6500,53.6500,50.1541,50.1541,4188700
2026-04-27,50.1541,50.8942,50.1541,50.8942,2024900
2026-04-28,50.8942,51.8223,50.8942,51.8223,4843700
2026-04-29,51.8223,51.8223,51.0532,51.0532,3517200
2026-04-30,51.0532,51.0532,50.7642,50.7642,3576800
