date,open,high,low,close,volume
2026-01-01,40.0000,40.9456,40.0000,40.9456,2401500
2026-01-02,40.9456,41.6949,40.9456,41.6949,4447700
2026-01-03,41.6949,42.9589,41.6949,42.9589,2478300
2026-01-04,42.9589,43.3155,42.9589,43.3155,4751900
2026-01-05,43.3155,43.4912,43.3155,43.4912,1952100
2026-01-06,43.4912,43.8475,43.4912,43.8475,4923400
2026-01-07,43.8475,45.1262,43.8475,45.1262,4615100
2026-01-08,45.1262,47.6429,45.1262,47.6429,4025600
2026-01-09,47.6429,47.8312,47.6429,47.8312,1767200
2026-01-10,47.8312,50.4035,47.8312,50.4035,4080300
2026-01-11,50.4035,50.4035,46.5759,46.5759,2404300
2026-01-12,46.5759,46.5759,46.5472,46.5472,711300
2026-01-13,46.5472,46.5472,45.7782,45.7782,4997700
2026-01-14,45.7782,45.7782,45.4885,45.4885,4608600
2026-01-15,45.4885,45.4885,44.6690,44.6690,1166000
2026-01-16,44.6690,44.6690,44.2154,44.2154,1151400
2026-01-17,44.2154,47.8377,44.2154,47.8377,4259900
2026-01-18,47.8377,48.9946,47.8377,48.9946,4265600
2026-01-19,48.9946,48.9946,48.9028,48.9028,4103200
2026-01-20,48.9028,48.9028,47.7705,47.7705,1465100
2026-01-21,47.7705,48.7687,47.7705,48.7687,3779800
2026-01-22,48.7687,50.0842,48.7687,50.0842,1217700
2026-01-23,50.0842,50.1961,50.0842,50.1961,690900
2026-01-24,50.1961,52.3471,50.1961,52.3471,639300
2026-01-25,52.3471,52.3471,51.7636,51.7636,1083000
2026-01-26,51.7636,51.7636,50.8945,50.8945,1400600
2026-01-27,50.8945,50.8945,49.9944,49.9944,4027000
2026-01-28,49.9944,49.9944,49.2641,49.2641,13800
2026-01-29,49.2641,49.2641,46.8097,46.8097,3996700
2026-01-30,46.8097,47.6555,46.8097,47.6555,2242600
2026-01-31,47.6555,47.9908,47.6555,47.9908,3993500
2026-02-01,47.9908,48.2241,47.9908,48.2241,1671800
2026-02-02,48.2241,48.2241,46.4070,46.4070,3835000
2026-02-03,46.4070,46.6655,46.4070,46.6655,3165000
2026-02-04,46.6655,48.2037,46.6655,48.2037,14100
2026-02-05,48.2037,49.4933,48.2037,49.4933,4725400
2026-02-06,49.4933,49.4933,48.9430,48.9430,4347500
2026-02-07,48.9430,50.3404,48.9430,50.3404,655600
2026-02-08,50.3404,50.3404,49.7374,49.7374,2434600
2026-02-09,49.7374,49.7374,47.4550,47.4550,1136600
2026-02-10,47.4550,47.9465,47.4550,47.9465,4243700
2026-02-11,47.9465,48.2490,47.9465,48.2490,1678000
2026-02-12,48.2490,48.2490,43.8530,43.8530,869100
2026-02-13,43.8530,44.7300,43.8530,44.7300,1112100
2026-02-14,44.7300,47.0155,44.7300,47.0155,1832500
2026-02-15,47.0155,47.0155,43.8074,43.8074,4270700
2026-02-16,43.8074,43.8074,43.4014,43.4014,3917600
2026-02-17,43.4014,43.4014,41.2273,41.2273,645400
2026-02-18,41.2273,41.5573,41.2273,41.5573,96300
2026-02-19,41.5573,41.5573,41.1056,41.1056,2467100
2026-02-20,41.1056,41.5011,41.1056,41.5011,2775500
2026-02-21,41.5011,43.1078,41.5011,43.1078,4710700
2026-02-22,43.1078,44.7911,43.1078,44.7911,817400
2026-02-23,44.7911,46.0809,44.7911,46.0809,1166300
2026-02-24,46.0809,46.2117,46.0809,46.2117,4591600
2026-02-25,46.2117,46.2117,45.4343,45.4343,1186100
2026-02-26,45.4343,45.4343,45.3141,45.3141,189400
2026-02-27,45.3141,45.3141,45.2718,45.2718,2126500
2026-02-28,45.2718,45.2718,43.8926,43.8926,4460000
2026-03-01,43.8926,43.8926,43.8022,43.8022,3538200
2026-03-02,43.8022,43.8022,42.5290,42.5290,3413900
2026-03-03,42.5290,42.5290,41.2255,41.2255,2401500
2026-03-04,41.2255,41.2255,40.2540,40.2540,4760500
2026-03-05,40.2540,40.2540,40.2263,40.2263,3736800
2026-03-06,40.2263,41.0102,40.2263,41.0102,358200
2026-03-07,41.0102,42.1681,41.0102,42.1681,2775900
2026-03-08,42.1681,42.2514,42.1681,42.2514,4138600
2026-03-09,42.2514,42.2514,40.0515,40.0515,3653900
2026-03-10,40.0515,40.0515,39.1686,39.1686,1205500
2026-03-11,39.1686,39.1686,38.9785,38.9785,2744000
2026-03-12,38.9785,38.9785,38.6301,38.6301,4939600
2026-03-13,38.6301,38.6301,35.5284,35.5284,867700
2026-03-14,35.5284,36.4178,35.5284,36.4178,4647800
2026-03-15,36.4178,37.4607,36.4178,37.4607,2860500
2026-03-16,37.4607,38.1368,37.4607,38.1368,3044000
2026-03-17,38.1368,38.1368,36.6743,36.6743,358900
2026-03-18,36.6743,37.7008,36.6743,37.7008,3466500
2026-03-19,37.7008,38.0160,37.7008,38.0160,1270500
2026-03-20,38.0160,38.0160,35.7246,35.7246,1583000
2026-03-21,35.7246,35.7246,35.2168,35.2168,3820900
2026-03-22,35.2168,35.3581,35.2168,35.3581,2503400
2026-03-23,35.3581,36.3650,35.3581,36.3650,2149600
2026-03-24,36.3650,36.7327,36.3650,36.7327,58200
2026-03-25,36.7327,36.7327,34.2236,34.2236,107000
2026-03-26,34.2236,35.8379,34.2236,35.8379,3203000
2026-03-27,35.8379,35.8379,34.4484,34.4484,4351000
2026-03-28,34.4484,35.4271,34.4484,35.4271,653100
2026-03-29,35.4271,35.4271,35.0065,35.0065,4592300
2026-03-30,35.0065,35.0065,34.4647,34.4647,729100
2026-03-31,34.4647,34.4647,32.9356,32.9356,2385400
2026-04-01,32.9356,32.9356,32.7527,32.7527,986800
2026-04-02,32.7527,33.3341,32.7527,33.3341,3679900
2026-04-03,33.3341,33.3341,33.0997,33.0997,3555100
2026-04-04,33.0997,33.0997,32.4159,32.4159,2811000
2026-04-05,32.4159,32.4159,31.4934,31.4934,1551100
2026-04-06,31.4934,31.4934,30.8175,30.8175,2150600
2026-04-07,30.8175,32.7284,30.8175,32.7284,1958200
2026-04-08,32.7284,33.4823,32.7284,33.4823,2376100
2026-04-09,33.4823,33.4823,32.9596,32.9596,853400
2026-04-10,32.9596,32.9596,30.9863,30.9863,1982100
2026-04-11,30.9863,30.9863,30.7623,30.7623,3959200
2026-04-12,30.7623,30.9211,30.7623,30.9211,576700
2026-04-13,30.9211,32.4288,30.9211,32.4288,3095300
2026-04-14,32.4288,32.4288,31.0743,31.0743,80500
2026-04-15,31.0743,31.5324,31.0743,31.5324,4505900
2026-04-16,31.5324,35.7174,31.5324,35.7174,3330500
2026-04-17,35.7174,38.8430,35.7174,38.8430,3369700
2026-04-18,38.8430,38.9906,38.8430,38.9906,2825100
2026-04-19,38.9906,38.9906,37.3986,37.3986,49200
2026-04-20,37.3986,37.9425,37.3986,37.9425,657300
2026-04-21,37.9425,38.6462,37.9425,38.6462,4107500
2026-04-22,38.6462,38.7225,38.6462,38.7225,4328700
2026-04-23,38.7225,40.9624,38.7225,40.9624,2504200
2026-04-24,40.9624,40.9624,40.9565,40.9565,1809900
2026-04-25,40.9565,41.0351,40.9565,41.0351,4061600
2026-04-26,41.0351,41.0351,38.2107,38.2107,3173200
2026-04-27,38.2107,38.2107,37.4886,37.4886,4949800
2026-04-28,37.4886,38.5925,37.4886,38.5925,1361300
2026-04-29,38.5925,38.6026,38.5925,38.6026,398200
2026-04-30,38.6026,38.6026,36.2405,36.2405,3928900
2026-05-01,36.2405,36.2405,34.8265,34.8265,1203200
2026-05-02,34.8265,34.9273,34.8265,34.9273,4666000
2026-05-03,34.9273,36.1121,34.9273,36.1121,3431900
2026-05-04,36.1121,37.2211,36.1121,37.2211,2894700
2026-05-05,37.2211,37.2211,35.6642,35.6642,1628400
2026-05-06,35.6642,35.6642,35.6282,35.6282,4105900
2026-05-07,35.6282,35.6282,35.3527,35.3527,3106500
2026-05-08,35.3527,35.3527,35.3308,35.3308,893800
2026-05-09,35.3308,35.3308,33.1519,33.1519,4255400
2026-05-10,33.1519,33.1519,32.7953,32.7953,365600
2026-05-11,32.7953,32.7953,32.7319,32.7319,142800
2026-05-12,32.7319,35.8719,32.7319,35.8719,358300
2026-05-13,35.8719,37.5460,35.8719,37.5460,2572300
2026-05-14,37.5460,37.9781,37.5460,37.9781,1810600
2026-05-15,37.9781,37.9781,36.7567,36.7567,4069200
2026-05-16,36.7567,36.8351,36.7567,36.8351,744500
2026-05-17,36.8351,36.8351,36.7090,36.7090,2071500
2026-05-18,36.7090,37.0086,36.7090,37.0086,2413100
2026-05-19,37.0086,37.0086,34.6794,34.6794,1138600
2026-05-20,34.6794,34.6794,33.0357,33.0357,4955600
2026-05-21,33.0357,33.5279,33.0357,33.5279,3356700
2026-05-22,33.5279,33.6527,33.5279,33.6527,835200
2026-05-23,33.6527,33.8579,33.6527,33.8579,4882100
2026-05-24,33.8579,33.9583,33.8579,33.9583,1018600
