date,open,high,low,close,volume
2026-01-01,40.0000,41.5869,40.0000,41.5869,2005300
2026-01-02,41.5869,41.7598,41.5869,41.7598,4917200
2026-01-03,41.7598,43.7971,41.7598,43.7971,2815500
2026-01-04,43.7971,43.7971,43.6742,43.6742,2292500
2026-01-05,43.6742,43.6742,43.4249,43.4249,3776200
2026-01-06,43.4249,44.7050,43.4249,44.7050,4446000
2026-01-07,44.7050,45.4684,44.7050,45.4684,3228700
2026-01-08,45.4684,49.7019,45.4684,49.7019,1211000
2026-01-09,49.7019,50.5476,49.7019,50.5476,2077900
2026-01-10,50.5476,52.6424,50.5476,52.6424,1512900
2026-01-11,52.6424,52.6424,49.7769,49.7769,4848100
2026-01-12,49.7769,49.7769,49.4033,49.4033,4339100
2026-01-13,49.4033,49.4033,48.0276,48.0276,1818200
2026-01-14,48.0276,48.2159,48.0276,48.2159,2762100
2026-01-15,48.2159,48.2159,45.3153,45.3153,3978900
2026-01-16,45.3153,45.3153,43.9372,43.9372,4845300
2026-01-17,43.9372,45.6952,43.9372,45.6952,2386700
2026-01-18,45.6952,46.0158,45.6952,46.0158,1255000
2026-01-19,46.0158,46.0158,45.0889,45.0889,1397500
2026-01-20,45.0889,45.0889,44.4316,44.4316,2707200
2026-01-21,44.4316,45.5509,44.4316,45.5509,1061600
2026-01-22,45.5509,47.6959,45.5509,47.6959,1066200
2026-01-23,47.6959,50.3931,47.6959,50.3931,4453200
2026-01-24,50.3931,51.3550,50.3931,51.3550,1075300
2026-01-25,51.3550,51.3550,50.8517,50.8517,3828200
2026-01-26,50.8517,50.8517,49.6562,49.6562,3402600
2026-01-27,49.6562,49.6562,48.3354,48.3354,4317400
2026-01-28,48.3354,48.3354,48.1489,48.1489,1722700
2026-01-29,48.1489,48.1489,46.8866,46.8866,1197300
2026-01-30,46.8866,48.0200,46.8866,48.0200,2744900
2026-01-31,48.0200,48.4990,48.0200,48.4990,2369400
2026-02-01,48.4990,48.4990,48.3801,48.3801,4370400
2026-02-02,48.3801,48.3801,47.7873,47.7873,3862000
2026-02-03,47.7873,47.7873,47.2050,47.2050,4013100
2026-02-04,47.2050,47.3589,47.2050,47.3589,2336300
2026-02-05,47.3589,49.7566,47.3589,49.7566,2827100
2026-02-06,49.7566,49.7566,49.1241,49.1241,4172000
2026-02-07,49.1241,49.4209,49.1241,49.4209,1357400
2026-02-08,49.4209,49.4209,47.7255,47.7255,2717000
2026-02-09,47.7255,47.7255,46.5355,46.5355,3754900
2026-02-10,46.5355,46.5355,46.1126,46.1126,2523500
2026-02-11,46.1126,46.1169,46.1126,46.1169,2624200
2026-02-12,46.1169,46.1169,42.5257,42.5257,4815100
2026-02-13,42.5257,43.2435,42.5257,43.2435,1777600
2026-02-14,43.2435,45.0111,43.2435,45.0111,2505700
2026-02-15,45.0111,45.0111,41.9347,41.9347,4453900
2026-02-16,41.9347,42.2244,41.9347,42.2244,1079300
2026-02-17,42.2244,42.2244,39.5516,39.5516,2505700
2026-02-18,39.5516,39.9387,39.5516,39.9387,2421000
2026-02-19,39.9387,39.9387,38.9401,38.9401,3934400
2026-02-20,38.9401,38.9401,38.2465,38.2465,2852500
2026-02-21,38.2465,38.9543,38.2465,38.9543,1011900
2026-02-22,38.9543,39.8809,38.9543,39.8809,731900
