date,open,high,low,close,volume
2026-01-01,40.0000,41.6051,40.0000,41.6051,4477500
2026-01-02,41.6051,41.9266,41.6051,41.9266,1738000
2026-01-03,41.9266,43.7494,41.9266,43.7494,1574500
2026-01-04,43.7494,45.4492,43.7494,45.4492,3428000
2026-01-05,45.4492,45.4492,45.4488,45.4488,3647000
2026-01-06,45.4488,45.4488,44.5626,44.5626,1343000
2026-01-07,44.5626,46.5934,44.5626,46.5934,3771500
2026-01-08,46.5934,50.1291,46.5934,50.1291,619100
2026-01-09,50.1291,50.5051,50.1291,50.5051,1671400
2026-01-10,50.5051,52.5374,50.5051,52.5374,3180500
2026-01-11,52.5374,52.5374,49.0914,49.0914,1948900
2026-01-12,49.0914,50.4983,49.0914,50.4983,4028600
2026-01-13,50.4983,50.4983,50.2525,50.2525,647700
2026-01-14,50.2525,50.2525,49.2513,49.2513,2294000
2026-01-15,49.2513,49.7190,49.2513,49.7190,2631500
2026-01-16,49.7190,49.7190,47.6736,47.6736,4028500
2026-01-17,47.6736,50.0921,47.6736,50.0921,1851700
2026-01-18,50.0921,50.0921,49.9961,49.9961,2906200
2026-01-19,49.9961,49.9961,49.8796,49.8796,2216000
2026-01-20,49.8796,50.8198,49.8796,50.8198,1863700
2026-01-21,50.8198,51.8836,50.8198,51.8836,2787900
2026-01-22,51.8836,54.1176,51.8836,54.1176,4983800
2026-01-23,54.1176,55.1744,54.1176,55.1744,3953800
2026-01-24,55.1744,57.2805,55.1744,57.2805,128500
2026-01-25,57.2805,57.2805,55.6012,55.6012,2290900
2026-01-26,55.6012,55.6012,55.2630,55.2630,3181700
2026-01-27,55.2630,55.2630,54.0386,54.0386,3399200
2026-01-28,54.0386,54.0386,53.6716,53.6716,1073400
2026-01-29,53.6716,53.6716,50.0829,50.0829,130200
2026-01-30,50.0829,50.2998,50.0829,50.2998,2480000
2026-01-31,50.2998,50.6085,50.2998,50.6085,4173300
2026-02-01,50.6085,50.6085,50.0597,50.0597,4091900
2026-02-02,50.0597,50.0597,49.5516,49.5516,2039400
2026-02-03,49.5516,50.1559,49.5516,50.1559,3612800
2026-02-04,50.1559,50.1559,49.6630,49.6630,1072400
2026-02-05,49.6630,51.1048,49.6630,51.1048,3885700
2026-02-06,51.1048,52.3054,51.1048,52.3054,3260800
2026-02-07,52.3054,53.7695,52.3054,53.7695,627200
2026-02-08,53.7695,53.7695,52.7634,52.7634,4238500
2026-02-09,52.7634,53.3029,52.7634,53.3029,4159000
2026-02-10,53.3029,55.6381,53.3029,55.6381,3126300
2026-02-11,55.6381,56.6621,55.6381,56.6621,1346000
2026-02-12,56.6621,56.6621,52.0557,52.0557,2047900
