date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.8114,99.8114,3660400
2026-01-02,99.8114,99.8114,99.6115,99.6115,1816600
2026-01-05,99.6115,99.6115,98.3087,98.3087,1345800
2026-01-06,98.3087,98.3087,97.0310,97.0310,2619300
2026-01-07,97.0310,97.0310,96.4405,96.4405,1114400
2026-01-08,96.4405,96.8831,96.4405,96.8831,2166200
2026-01-09,96.8831,97.7045,96.8831,97.7045,779100
2026-01-12,97.7045,99.1794,97.7045,99.1794,3438900
2026-01-13,99.1794,100.2859,99.1794,100.2859,4047900
2026-01-14,100.2859,100.2859,99.9309,99.9309,384100
2026-01-15,99.9309,99.9309,99.7888,99.7888,4587600
2026-01-16,99.7888,99.7888,98.7393,98.7393,2842400
2026-01-19,98.7393,99.9515,98.7393,99.9515,1099600
2026-01-20,99.9515,100.1892,99.9515,100.1892,3697600
2026-01-21,100.1892,100.1892,99.2670,99.2670,4461000
2026-01-22,99.2670,100.5549,99.2670,100.5549,4001900
2026-01-23,100.5549,100.5549,98.3903,98.3903,4334400
2026-01-26,98.3903,100.0785,98.3903,100.0785,4498700
2026-01-27,100.0785,100.0785,99.9310,99.9310,4036300
2026-01-28,99.9310,101.4305,99.9310,101.4305,4078100
2026-01-29,101.4305,103.3281,101.4305,103.3281,1136900
2026-01-30,103.3281,103.3281,103.1423,103.1423,514600
2026-02-02,103.1423,103.1423,102.0468,102.0468,1147800
2026-02-03,102.0468,102.0468,101.3657,101.3657,2836900
2026-02-04,101.3657,101.3657,101.0191,101.0191,2851900
2026-02-05,101.0191,102.2333,101.0191,102.2333,2547300
2026-02-06,102.2333,102.2333,100.5913,100.5913,722300
2026-02-09,100.5913,102.3276,100.5913,102.3276,1981100
2026-02-10,102.3276,102.3276,101.9284,101.9284,4143400
2026-02-11,101.9284,102.7119,101.9284,102.7119,4271200
2026-02-12,102.7119,103.8963,102.7119,103.8963,1589100
2026-02-13,103.8963,103.8963,103.7751,103.7751,1937200
2026-02-16,103.7751,104.2770,103.7751,104.2770,2611400
2026-02-17,104.2770,106.0261,104.2770,106.0261,3130600
2026-02-18,106.0261,106.8070,106.0261,106.8070,2624300
2026-02-19,106.8070,107.4937,106.8070,107.4937,1567600
2026-02-20,107.4937,108.3737,107.4937,108.3737,631300
2026-02-23,108.3737,108.3737,107.7726,107.7726,4823900
2026-02-24,107.7726,109.1787,107.7726,109.1787,2647600
2026-02-25,109.1787,109.1787,108.5951,108.5951,1865600
