date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.6640,99.6640,2021400
2026-01-02,99.6640,99.6640,99.2351,99.2351,1741300
2026-01-05,99.2351,99.3064,99.2351,99.3064,4980600
2026-01-06,99.3064,99.3064,98.1634,98.1634,736300
2026-01-07,98.1634,98.1863,98.1634,98.1863,4898100
2026-01-08,98.1863,99.1960,98.1863,99.1960,367200
2026-01-09,99.1960,99.6082,99.1960,99.6082,457500
2026-01-12,99.6082,100.4199,99.6082,100.4199,2449200
2026-01-13,100.4199,102.4117,100.4199,102.4117,3545200
2026-01-14,102.4117,102.4117,100.7615,100.7615,4563600
2026-01-15,100.7615,100.7615,98.6762,98.6762,4149500
2026-01-16,98.6762,98.6762,98.1011,98.1011,2590800
2026-01-19,98.1011,98.1011,97.9981,97.9981,4405700
2026-01-20,97.9981,97.9981,97.2327,97.2327,160700
2026-01-21,97.2327,97.2327,96.2807,96.2807,4875300
2026-01-22,96.2807,96.7294,96.2807,96.7294,2559500
2026-01-23,96.7294,96.7294,92.7791,92.7791,3415000
2026-01-26,92.7791,93.8062,92.7791,93.8062,1459300
2026-01-27,93.8062,94.1526,93.8062,94.1526,4333100
2026-01-28,94.1526,94.8725,94.1526,94.8725,4993600
2026-01-29,94.8725,96.7431,94.8725,96.7431,4721600
2026-01-30,96.7431,96.7431,95.2214,95.2214,1766500
2026-02-02,95.2214,95.2214,94.3240,94.3240,4075700
2026-02-03,94.3240,94.3240,92.8723,92.8723,4667600
2026-02-04,92.8723,92.8723,92.0816,92.0816,1564500
2026-02-05,92.0816,92.7589,92.0816,92.7589,4595400
2026-02-06,92.7589,92.7589,91.1707,91.1707,2820800
2026-02-09,91.1707,93.0320,91.1707,93.0320,3067000
2026-02-10,93.0320,93.9932,93.0320,93.9932,4453500
2026-02-11,93.9932,95.0143,93.9932,95.0143,3333100
2026-02-12,95.0143,96.2482,95.0143,96.2482,722800
2026-02-13,96.2482,96.2482,94.7807,94.7807,1293200
2026-02-16,94.7807,95.2349,94.7807,95.2349,4028700
2026-02-17,95.2349,95.8862,95.2349,95.8862,1987600
2026-02-18,95.8862,95.8862,95.1321,95.1321,2899900
2026-02-19,95.1321,95.1321,94.7121,94.7121,3862700
2026-02-20,94.7121,95.6905,94.7121,95.6905,1776300
2026-02-23,95.6905,95.6905,93.6863,93.6863,64200
2026-02-24,93.6863,94.4594,93.6863,94.4594,4935500
2026-02-25,94.4594,94.4594,94.3141,94.3141,3855500
2026-02-26,94.3141,94.3141,94.0119,94.0119,4772100
2026-02-27,94.0119,94.3560,94.0119,94.3560,1757400
2026-03-02,94.3560,94.3560,94.2798,94.2798,3583900
2026-03-03,94.2798,94.3181,94.2798,94.3181,3671900
2026-03-04,94.3181,94.3370,94.3181,94.3370,3080800
2026-03-05,94.3370,95.2889,94.3370,95.2889,2808800
2026-03-06,95.2889,95.3736,95.2889,95.3736,4940700
2026-03-09,95.3736,95.3736,94.7008,94.7008,4478700
2026-03-10,94.7008,94.7008,94.6218,94.6218,1454800
2026-03-11,94.6218,94.7263,94.6218,94.7263,47000
2026-03-12,94.7263,95.6406,94.7263,95.6406,846700
2026-03-13,95.6406,95.8416,95.6406,95.8416,4191500
2026-03-16,95.8416,95.8416,95.5194,95.5194,3936500
2026-03-17,95.5194,96.3967,95.5194,96.3967,745800
2026-03-18,96.3967,96.3967,94.5744,94.5744,3354000
2026-03-19,94.5744,96.8153,94.5744,96.8153,2245500
2026-03-20,96.8153,97.7622,96.8153,97.7622,3521000
2026-03-23,97.7622,97.7622,97.3443,97.3443,1727100
