date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.2963,99.2963,2578000
2026-01-02,99.2963,99.4580,99.2963,99.4580,4453500
2026-01-05,99.4580,99.4580,98.3780,98.3780,4233500
2026-01-06,98.3780,98.3780,97.1235,97.1235,402200
2026-01-07,97.1235,97.1235,97.1028,97.1028,216300
2026-01-08,97.1028,97.8239,97.1028,97.8239,1244700
2026-01-09,97.8239,98.2435,97.8239,98.2435,4326300
2026-01-12,98.2435,99.5172,98.2435,99.5172,2388900
2026-01-13,99.5172,100.7344,99.5172,100.7344,3245700
2026-01-14,100.7344,101.4984,100.7344,101.4984,4405200
2026-01-15,101.4984,101.4984,100.7041,100.7041,862300
2026-01-16,100.7041,100.7041,100.2141,100.2141,4794500
2026-01-19,100.2141,100.2141,99.3952,99.3952,848100
2026-01-20,99.3952,99.3952,99.2947,99.2947,3462300
2026-01-21,99.2947,99.2947,96.8519,96.8519,2840100
2026-01-22,96.8519,97.8330,96.8519,97.8330,3600700
2026-01-23,97.8330,97.8330,96.2041,96.2041,3175400
2026-01-26,96.2041,97.3266,96.2041,97.3266,1099900
2026-01-27,97.3266,97.3266,97.2309,97.2309,4174000
2026-01-28,97.2309,98.2693,97.2309,98.2693,3917200
2026-01-29,98.2693,99.3186,98.2693,99.3186,4199300
2026-01-30,99.3186,99.3186,97.5182,97.5182,1875800
2026-02-02,97.5182,97.5182,96.7922,96.7922,2425400
2026-02-03,96.7922,96.7922,95.3086,95.3086,950900
2026-02-04,95.3086,95.3086,95.1564,95.1564,2158000
2026-02-05,95.1564,95.6482,95.1564,95.6482,872400
2026-02-06,95.6482,95.6482,94.3046,94.3046,3467700
2026-02-09,94.3046,95.3765,94.3046,95.3765,2456800
2026-02-10,95.3765,95.3765,95.3166,95.3166,2270900
2026-02-11,95.3166,95.8787,95.3166,95.8787,4905800
2026-02-12,95.8787,96.3308,95.8787,96.3308,328700
2026-02-13,96.3308,96.3308,95.7269,95.7269,102000
2026-02-16,95.7269,96.0796,95.7269,96.0796,3808000
2026-02-17,96.0796,96.3327,96.0796,96.3327,4894300
2026-02-18,96.3327,96.3327,95.8802,95.8802,4876600
2026-02-19,95.8802,96.3114,95.8802,96.3114,4887300
2026-02-20,96.3114,97.7679,96.3114,97.7679,4651700
2026-02-23,97.7679,98.4795,97.7679,98.4795,268400
2026-02-24,98.4795,99.5336,98.4795,99.5336,4911300
2026-02-25,99.5336,99.7523,99.5336,99.7523,1696100
2026-02-26,99.7523,99.7523,99.0806,99.0806,3162700
2026-02-27,99.0806,100.4939,99.0806,100.4939,4349100
2026-03-02,100.4939,100.4939,100.3955,100.3955,4542000
2026-03-03,100.3955,100.3955,100.2856,100.2856,3295400
2026-03-04,100.2856,101.0934,100.2856,101.0934,2023500
2026-03-05,101.0934,101.6203,101.0934,101.6203,4897400
2026-03-06,101.6203,101.6203,100.4271,100.4271,2683100
2026-03-09,100.4271,100.4271,98.8674,98.8674,1630100
2026-03-10,98.8674,98.8674,97.8850,97.8850,1594300
2026-03-11,97.8850,97.8850,96.7211,96.7211,4813600
2026-03-12,96.7211,97.2387,96.7211,97.2387,1181800
2026-03-13,97.2387,99.2312,97.2387,99.2312,4901500
2026-03-16,99.2312,99.2312,98.9750,98.9750,2355800
2026-03-17,98.9750,99.5458,98.9750,99.5458,3781500
2026-03-18,99.5458,99.5458,97.8900,97.8900,4469100
2026-03-19,97.8900,100.0327,97.8900,100.0327,909200
2026-03-20,100.0327,100.0327,98.9628,98.9628,239600
2026-03-23,98.9628,99.4842,98.9628,99.4842,3199700
2026-03-24,99.4842,99.5460,99.4842,99.5460,4890800
2026-03-25,99.5460,100.9791,99.5460,100.9791,1674200
2026-03-26,100.9791,102.2437,100.9791,102.2437,2876900
2026-03-27,102.2437,102.5019,102.2437,102.5019,1307000
2026-03-30,102.5019,102.5019,101.7805,101.7805,2495500
2026-03-31,101.7805,101.9828,101.7805,101.9828,76300
2026-04-01,101.9828,101.9828,99.7180,99.7180,586500
2026-04-02,99.7180,100.2047,99.7180,100.2047,4963800
2026-04-03,100.2047,100.2047,99.8374,99.8374,4157800
2026-04-06,99.8374,100.3127,99.8374,100.3127,2621200
2026-04-07,100.3127,100.3127,98.6915,98.6915,4347300
2026-04-08,98.6915,100.1007,98.6915,100.1007,2514000
2026-04-09,100.1007,100.3015,100.1007,100.3015,839400
2026-04-10,100.3015,100.3015,99.4409,99.4409,2016700
