date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.4112,99.4112,4871500
2026-01-02,99.4112,99.7143,99.4112,99.7143,1289300
2026-01-05,99.7143,99.7188,99.7143,99.7188,4131600
2026-01-06,99.7188,99.7188,99.4174,99.4174,3785600
2026-01-07,99.4174,99.4174,98.6463,98.6463,746700
2026-01-08,98.6463,98.9595,98.6463,98.9595,2169200
2026-01-09,98.9595,99.8659,98.9595,99.8659,625400
2026-01-12,99.8659,100.6648,99.8659,100.6648,925300
2026-01-13,100.6648,102.0902,100.6648,102.0902,216000
2026-01-14,102.0902,103.2090,102.0902,103.2090,1724900
2026-01-15,103.2090,103.2090,102.0490,102.0490,3077500
2026-01-16,102.0490,102.0490,101.2124,101.2124,4323400
2026-01-19,101.2124,101.5670,101.2124,101.5670,3440800
2026-01-20,101.5670,102.7052,101.5670,102.7052,1462900
2026-01-21,102.7052,102.7052,102.1428,102.1428,2646200
2026-01-22,102.1428,102.5768,102.1428,102.5768,913600
2026-01-23,102.5768,102.5768,99.9285,99.9285,3212100
2026-01-26,99.9285,101.4587,99.9285,101.4587,725700
2026-01-27,101.4587,102.2556,101.4587,102.2556,1091100
2026-01-28,102.2556,104.1317,102.2556,104.1317,1267700
2026-01-29,104.1317,104.6080,104.1317,104.6080,603200
2026-01-30,104.6080,104.6080,104.0488,104.0488,4788800
2026-02-02,104.0488,104.5357,104.0488,104.5357,1932000
2026-02-03,104.5357,104.5357,104.4981,104.4981,3045700
2026-02-04,104.4981,104.9576,104.4981,104.9576,3122600
2026-02-05,104.9576,105.6581,104.9576,105.6581,3151800
2026-02-06,105.6581,105.6581,105.5551,105.5551,4652800
2026-02-09,105.5551,107.3513,105.5551,107.3513,914200
2026-02-10,107.3513,108.7963,107.3513,108.7963,3006200
2026-02-11,108.7963,109.7520,108.7963,109.7520,4225900
2026-02-12,109.7520,110.9474,109.7520,110.9474,3851600
2026-02-13,110.9474,110.9474,109.7291,109.7291,420000
2026-02-16,109.7291,109.7291,109.4801,109.4801,478900
2026-02-17,109.4801,111.3082,109.4801,111.3082,1790700
2026-02-18,111.3082,111.6280,111.3082,111.6280,1207500
2026-02-19,111.6280,111.6280,110.1091,110.1091,1286700
2026-02-20,110.1091,110.7894,110.1091,110.7894,642200
2026-02-23,110.7894,110.7894,110.6578,110.6578,2254300
2026-02-24,110.6578,112.0111,110.6578,112.0111,3050000
2026-02-25,112.0111,112.0111,111.6438,111.6438,1055300
2026-02-26,111.6438,111.6438,111.3133,111.3133,1850500
2026-02-27,111.3133,112.1014,111.3133,112.1014,71100
2026-03-02,112.1014,112.1014,110.9965,110.9965,1874200
2026-03-03,110.9965,110.9965,109.7301,109.7301,2617300
