date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,98.7605,98.7605,831100
2026-01-02,98.7605,98.7605,98.2627,98.2627,460300
2026-01-05,98.2627,98.2784,98.2627,98.2784,4906800
2026-01-06,98.2784,98.2784,96.8196,96.8196,4385900
2026-01-07,96.8196,97.4284,96.8196,97.4284,677800
2026-01-08,97.4284,97.9486,97.4284,97.9486,4068600
2026-01-09,97.9486,98.2945,97.9486,98.2945,544700
2026-01-12,98.2945,98.3179,98.2945,98.3179,4424900
2026-01-13,98.3179,99.8103,98.3179,99.8103,1179900
2026-01-14,99.8103,99.8103,99.4515,99.4515,2183600
2026-01-15,99.4515,99.4515,98.6144,98.6144,1172400
2026-01-16,98.6144,99.0567,98.6144,99.0567,3694700
2026-01-19,99.0567,99.1183,99.0567,99.1183,4256400
2026-01-20,99.1183,99.1183,98.8452,98.8452,4791400
2026-01-21,98.8452,98.8452,98.0852,98.0852,794100
2026-01-22,98.0852,98.0852,97.6523,97.6523,4406700
2026-01-23,97.6523,97.6523,95.6481,95.6481,2383000
2026-01-26,95.6481,97.1346,95.6481,97.1346,1606800
2026-01-27,97.1346,97.1346,96.7513,96.7513,58700
2026-01-28,96.7513,97.5632,96.7513,97.5632,2590300
2026-01-29,97.5632,98.3353,97.5632,98.3353,3761200
2026-01-30,98.3353,98.3353,97.8579,97.8579,100700
2026-02-02,97.8579,97.8579,97.5247,97.5247,3253400
2026-02-03,97.5247,97.5247,97.3595,97.3595,937400
2026-02-04,97.3595,97.3595,96.0757,96.0757,634800
2026-02-05,96.0757,96.6453,96.0757,96.6453,829800
2026-02-06,96.6453,96.6453,94.5104,94.5104,59100
2026-02-09,94.5104,95.5643,94.5104,95.5643,3045600
2026-02-10,95.5643,95.5643,95.2209,95.2209,2076400
2026-02-11,95.2209,95.8611,95.2209,95.8611,4951800
2026-02-12,95.8611,97.2732,95.8611,97.2732,1363500
2026-02-13,97.2732,97.2732,96.3410,96.3410,2333900
2026-02-16,96.3410,97.2266,96.3410,97.2266,296900
2026-02-17,97.2266,98.4703,97.2266,98.4703,2670100
2026-02-18,98.4703,98.4703,98.2976,98.2976,4494400
2026-02-19,98.2976,98.3938,98.2976,98.3938,176800
2026-02-20,98.3938,99.1022,98.3938,99.1022,4689000
2026-02-23,99.1022,99.1022,97.7728,97.7728,2437700
2026-02-24,97.7728,98.0520,97.7728,98.0520,1791400
2026-02-25,98.0520,98.0520,97.1750,97.1750,4326800
2026-02-26,97.1750,97.5145,97.1750,97.5145,4258400
2026-02-27,97.5145,98.0010,97.5145,98.0010,3092700
2026-03-02,98.0010,98.0010,97.9222,97.9222,679700
2026-03-03,97.9222,97.9222,97.8298,97.8298,445000
2026-03-04,97.8298,98.6765,97.8298,98.6765,992500
