date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,98.3501,98.3501,1154300
2026-01-02,98.3501,98.3781,98.3501,98.3781,2111700
2026-01-05,98.3781,98.3781,98.2383,98.2383,4404300
2026-01-06,98.2383,98.2383,97.2983,97.2983,2008900
2026-01-07,97.2983,97.2983,96.6378,96.6378,4572400
2026-01-08,96.6378,98.4443,96.6378,98.4443,4385200
2026-01-09,98.4443,98.4443,97.9991,97.9991,2300400
2026-01-12,97.9991,98.4148,97.9991,98.4148,3855300
2026-01-13,98.4148,99.6190,98.4148,99.6190,3771500
2026-01-14,99.6190,100.4545,99.6190,100.4545,1361800
2026-01-15,100.4545,100.4545,99.4761,99.4761,2839300
2026-01-16,99.4761,99.4761,98.2028,98.2028,425200
2026-01-19,98.2028,98.6934,98.2028,98.6934,4768700
2026-01-20,98.6934,98.6934,98.4276,98.4276,3423000
2026-01-21,98.4276,98.4276,98.2412,98.2412,1613800
2026-01-22,98.2412,98.8059,98.2412,98.8059,524600
2026-01-23,98.8059,98.8059,95.4739,95.4739,3957000
2026-01-26,95.4739,95.7167,95.4739,95.7167,3439000
2026-01-27,95.7167,95.7167,95.4969,95.4969,3826100
2026-01-28,95.4969,96.0924,95.4969,96.0924,4671000
2026-01-29,96.0924,97.1126,96.0924,97.1126,1058100
2026-01-30,97.1126,97.1126,95.6479,95.6479,1985900
2026-02-02,95.6479,95.6479,94.9928,94.9928,2070400
2026-02-03,94.9928,94.9928,94.8358,94.8358,3009900
2026-02-04,94.8358,94.8358,94.5296,94.5296,4671500
2026-02-05,94.5296,94.9346,94.5296,94.9346,4489500
2026-02-06,94.9346,94.9346,94.3259,94.3259,2442800
2026-02-09,94.3259,95.0590,94.3259,95.0590,3452700
2026-02-10,95.0590,95.6231,95.0590,95.6231,2006000
2026-02-11,95.6231,95.9233,95.6231,95.9233,4337900
2026-02-12,95.9233,97.5867,95.9233,97.5867,4575900
2026-02-13,97.5867,97.5867,97.3978,97.3978,3454900
2026-02-16,97.3978,97.6518,97.3978,97.6518,3929200
2026-02-17,97.6518,98.7613,97.6518,98.7613,473200
2026-02-18,98.7613,98.7936,98.7613,98.7936,1216500
2026-02-19,98.7936,98.7936,98.5046,98.5046,2416300
2026-02-20,98.5046,99.0100,98.5046,99.0100,3322400
2026-02-23,99.0100,99.0100,97.7492,97.7492,4755600
2026-02-24,97.7492,98.5823,97.7492,98.5823,2807900
2026-02-25,98.5823,99.2441,98.5823,99.2441,415600
2026-02-26,99.2441,99.2441,99.1493,99.1493,3121700
2026-02-27,99.1493,99.1493,99.0463,99.0463,2477800
2026-03-02,99.0463,99.0463,98.0066,98.0066,3725200
2026-03-03,98.0066,98.0066,97.2433,97.2433,3626000
2026-03-04,97.2433,97.2433,96.7712,96.7712,2132500
2026-03-05,96.7712,97.3240,96.7712,97.3240,4991200
2026-03-06,97.3240,97.3240,96.5612,96.5612,3228300
2026-03-09,96.5612,96.5612,95.6371,95.6371,1577800
2026-03-10,95.6371,95.6371,95.0709,95.0709,3809300
2026-03-11,95.0709,95.0709,94.3361,94.3361,4784400
2026-03-12,94.3361,94.9369,94.3361,94.9369,2503800
2026-03-13,94.9369,95.7445,94.9369,95.7445,838300
2026-03-16,95.7445,95.8375,95.7445,95.8375,3470900
2026-03-17,95.8375,96.4636,95.8375,96.4636,3856000
2026-03-18,96.4636,96.4636,96.2393,96.2393,3697700
