date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,98.8974,98.8974,127700
2026-01-02,98.8974,99.7057,98.8974,99.7057,153700
2026-01-05,99.7057,99.7933,99.7057,99.7933,1448400
2026-01-06,99.7933,99.7933,98.0152,98.0152,4906900
2026-01-07,98.0152,98.0152,96.9816,96.9816,4102300
2026-01-08,96.9816,97.6153,96.9816,97.6153,2436600
2026-01-09,97.6153,97.6153,97.1274,97.1274,506200
2026-01-12,97.1274,97.1746,97.1274,97.1746,4829300
2026-01-13,97.1746,99.0733,97.1746,99.0733,880700
2026-01-14,99.0733,99.0733,98.8536,98.8536,417300
2026-01-15,98.8536,98.9975,98.8536,98.9975,3839400
2026-01-16,98.9975,98.9975,97.3405,97.3405,751900
2026-01-19,97.3405,98.7097,97.3405,98.7097,3750800
2026-01-20,98.7097,98.7097,97.8182,97.8182,4311200
2026-01-21,97.8182,97.8182,96.9575,96.9575,715800
2026-01-22,96.9575,97.2268,96.9575,97.2268,1730000
2026-01-23,97.2268,97.2268,94.2087,94.2087,192600
2026-01-26,94.2087,94.7268,94.2087,94.7268,4664500
2026-01-27,94.7268,95.0886,94.7268,95.0886,519000
2026-01-28,95.0886,95.7163,95.0886,95.7163,1853800
2026-01-29,95.7163,98.1330,95.7163,98.1330,4873100
2026-01-30,98.1330,98.1330,96.6170,96.6170,2078700
2026-02-02,96.6170,96.6170,95.9328,95.9328,4558600
2026-02-03,95.9328,95.9328,95.4449,95.4449,3916600
2026-02-04,95.4449,95.5568,95.4449,95.5568,3743900
2026-02-05,95.5568,96.1434,95.5568,96.1434,430900
2026-02-06,96.1434,96.1434,94.9403,94.9403,4321600
2026-02-09,94.9403,96.3327,94.9403,96.3327,3874300
2026-02-10,96.3327,97.5083,96.3327,97.5083,1021700
2026-02-11,97.5083,98.7959,97.5083,98.7959,4628100
2026-02-12,98.7959,99.9589,98.7959,99.9589,4173300
2026-02-13,99.9589,99.9589,99.5477,99.5477,2136400
2026-02-16,99.5477,99.5477,99.4877,99.4877,2937000
2026-02-17,99.4877,101.3784,99.4877,101.3784,336100
2026-02-18,101.3784,101.3784,101.2043,101.2043,1277900
2026-02-19,101.2043,101.2043,101.1922,101.1922,301500
2026-02-20,101.1922,102.3099,101.1922,102.3099,4597900
2026-02-23,102.3099,102.5823,102.3099,102.5823,3808400
2026-02-24,102.5823,102.9721,102.5823,102.9721,3742400
2026-02-25,102.9721,104.3062,102.9721,104.3062,1102500
2026-02-26,104.3062,104.4951,104.3062,104.4951,4109200
2026-02-27,104.4951,104.4951,104.4147,104.4147,3822400
2026-03-02,104.4147,104.4147,102.3878,102.3878,2548300
2026-03-03,102.3878,102.8075,102.3878,102.8075,385200
2026-03-04,102.8075,102.8075,101.3958,101.3958,1721300
2026-03-05,101.3958,102.2347,101.3958,102.2347,4741800
2026-03-06,102.2347,102.4340,102.2347,102.4340,3914300
2026-03-09,102.4340,102.4340,101.7888,101.7888,930100
2026-03-10,101.7888,101.7888,100.6154,100.6154,2473500
2026-03-11,100.6154,100.6154,100.3537,100.3537,2037100
2026-03-12,100.3537,100.3537,100.2877,100.2877,1468100
2026-03-13,100.2877,102.0290,100.2877,102.0290,1326400
2026-03-16,102.0290,102.1735,102.0290,102.1735,3013000
2026-03-17,102.1735,102.1735,102.1229,102.1229,484900
2026-03-18,102.1229,102.1229,100.9974,100.9974,1414300
2026-03-19,100.9974,104.1080,100.9974,104.1080,3778000
2026-03-20,104.1080,104.1080,102.8532,102.8532,2460900
2026-03-23,102.8532,102.8532,102.2559,102.2559,723900
2026-03-24,102.2559,104.5706,102.2559,104.5706,1286400
2026-03-25,104.5706,105.3084,104.5706,105.3084,2168200
2026-03-26,105.3084,105.6734,105.3084,105.6734,184100
2026-03-27,105.6734,106.7796,105.6734,106.7796,4925600
2026-03-30,106.7796,106.8710,106.7796,106.8710,41200
2026-03-31,106.8710,107.8860,106.8710,107.8860,966100
2026-04-01,107.8860,107.8860,107.0515,107.0515,2841200
2026-04-02,107.0515,107.5583,107.0515,107.5583,1651600
2026-04-03,107.5583,107.5583,106.1672,106.1672,3066200
2026-04-06,106.1672,106.3276,106.1672,106.3276,1863600
2026-04-07,106.3276,106.3276,104.0936,104.0936,931900
2026-04-08,104.0936,105.3527,104.0936,105.3527,1716300
2026-04-09,105.3527,105.4440,105.3527,105.4440,1205800
2026-04-10,105.4440,105.4440,103.0758,103.0758,1607100
2026-04-13,103.0758,104.1557,103.0758,104.1557,2715800
2026-04-14,104.1557,104.1557,103.6423,103.6423,3807200
2026-04-15,103.6423,103.6423,103.5208,103.5208,3921800
2026-04-16,103.5208,106.3580,103.5208,106.3580,1433600
2026-04-17,106.3580,106.3580,104.6305,104.6305,3620000
2026-04-20,104.6305,105.5198,104.6305,105.5198,4774500
2026-04-21,105.5198,106.8844,105.5198,106.8844,3916600
2026-04-22,106.8844,106.8844,105.1982,105.1982,3438100
2026-04-23,105.1982,105.1982,105.0372,105.0372,974000
2026-04-24,105.0372,106.5525,105.0372,106.5525,2321500
2026-04-27,106.5525,106.5525,105.7700,105.7700,4207500
2026-04-28,105.7700,107.0728,105.7700,107.0728,2936200
2026-04-29,107.0728,107.0728,105.0102,105.0102,2821200
2026-04-30,105.0102,106.3912,105.0102,106.3912,3995000
2026-05-01,106.3912,106.3912,106.0675,106.0675,4741600
2026-05-04,106.0675,110.3621,106.0675,110.3621,686800
2026-05-05,110.3621,110.3621,107.6295,107.6295,232900
2026-05-06,107.6295,107.6295,106.1512,106.1512,4442100
2026-05-07,106.1512,106.1512,106.1215,106.1215,4598200
