date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.1147,99.1147,2341000
2026-01-02,99.1147,99.2205,99.1147,99.2205,3972600
2026-01-05,99.2205,99.2205,98.9939,98.9939,1779000
2026-01-06,98.9939,98.9939,97.6041,97.6041,1991500
2026-01-07,97.6041,98.3930,97.6041,98.3930,1034500
2026-01-08,98.3930,98.5336,98.3930,98.5336,4939000
2026-01-09,98.5336,99.4441,98.5336,99.4441,3953300
2026-01-12,99.4441,100.2379,99.4441,100.2379,2888300
2026-01-13,100.2379,102.6727,100.2379,102.6727,2439300
2026-01-14,102.6727,102.6727,102.1061,102.1061,2322300
2026-01-15,102.1061,102.6164,102.1061,102.6164,2045400
2026-01-16,102.6164,102.6164,102.1795,102.1795,3948500
2026-01-19,102.1795,102.4717,102.1795,102.4717,1400000
2026-01-20,102.4717,102.4717,102.2015,102.2015,3558600
2026-01-21,102.2015,102.2015,101.4374,101.4374,1613200
2026-01-22,101.4374,101.4374,101.4370,101.4370,4250600
2026-01-23,101.4370,101.4370,98.0124,98.0124,2487500
2026-01-26,98.0124,99.0263,98.0124,99.0263,394200
2026-01-27,99.0263,99.0486,99.0263,99.0486,3584200
2026-01-28,99.0486,99.8852,99.0486,99.8852,3057900
2026-01-29,99.8852,102.0266,99.8852,102.0266,818000
2026-01-30,102.0266,102.0266,100.4727,100.4727,148000
2026-02-02,100.4727,100.4727,99.5093,99.5093,2194200
2026-02-03,99.5093,99.5093,98.4745,98.4745,2205800
2026-02-04,98.4745,98.6095,98.4745,98.6095,4504300
2026-02-05,98.6095,99.6424,98.6095,99.6424,2159400
2026-02-06,99.6424,99.6424,97.9899,97.9899,3172200
2026-02-09,97.9899,100.2924,97.9899,100.2924,4748300
2026-02-10,100.2924,100.3767,100.2924,100.3767,3684100
2026-02-11,100.3767,101.3927,100.3767,101.3927,4636600
2026-02-12,101.3927,102.7472,101.3927,102.7472,3831000
2026-02-13,102.7472,102.7472,101.5423,101.5423,314100
2026-02-16,101.5423,101.5423,100.7249,100.7249,3213800
2026-02-17,100.7249,102.5168,100.7249,102.5168,4315000
2026-02-18,102.5168,102.9952,102.5168,102.9952,2438100
2026-02-19,102.9952,102.9952,102.9865,102.9865,3624600
2026-02-20,102.9865,103.4789,102.9865,103.4789,2429400
2026-02-23,103.4789,103.4789,103.0992,103.0992,4900800
2026-02-24,103.0992,103.9010,103.0992,103.9010,640700
2026-02-25,103.9010,103.9010,103.7477,103.7477,3895300
2026-02-26,103.7477,103.7477,103.1061,103.1061,4566700
2026-02-27,103.1061,103.5687,103.1061,103.5687,3933300
2026-03-02,103.5687,103.5687,102.6941,102.6941,2910600
2026-03-03,102.6941,103.5049,102.6941,103.5049,4519000
2026-03-04,103.5049,103.5049,103.3196,103.3196,2259500
2026-03-05,103.3196,104.3190,103.3196,104.3190,2984000
2026-03-06,104.3190,104.3190,101.8728,101.8728,1121700
2026-03-09,101.8728,101.8728,100.2611,100.2611,3137300
2026-03-10,100.2611,100.2611,100.2073,100.2073,615500
2026-03-11,100.2073,100.2073,100.0935,100.0935,3534400
2026-03-12,100.0935,100.5062,100.0935,100.5062,2447500
2026-03-13,100.5062,101.5179,100.5062,101.5179,1158300
2026-03-16,101.5179,101.8247,101.5179,101.8247,2956200
2026-03-17,101.8247,103.0899,101.8247,103.0899,3580400
2026-03-18,103.0899,103.0899,102.3265,102.3265,3753000
2026-03-19,102.3265,105.4035,102.3265,105.4035,3570000
2026-03-20,105.4035,105.4035,105.1342,105.1342,4895500
2026-03-23,105.1342,105.2686,105.1342,105.2686,4282100
2026-03-24,105.2686,105.2686,105.1071,105.1071,449100
2026-03-25,105.1071,107.4106,105.1071,107.4106,3430700
2026-03-26,107.4106,109.8030,107.4106,109.8030,171100
2026-03-27,109.8030,110.0612,109.8030,110.0612,772400
2026-03-30,110.0612,110.9427,110.0612,110.9427,413300
2026-03-31,110.9427,112.5139,110.9427,112.5139,4721600
2026-04-01,112.5139,112.5139,111.2793,111.2793,1718300
2026-04-02,111.2793,113.0911,111.2793,113.0911,4749300
2026-04-03,113.0911,113.0911,111.9611,111.9611,3498600
2026-04-06,111.9611,111.9611,111.3462,111.3462,2857400
2026-04-07,111.3462,111.3462,109.5830,109.5830,3321100
2026-04-08,109.5830,109.5830,109.3370,109.3370,2291300
2026-04-09,109.3370,109.3370,108.9418,108.9418,387600
2026-04-10,108.9418,108.9418,107.1187,107.1187,2894100
2026-04-13,107.1187,107.2530,107.1187,107.2530,3782500
2026-04-14,107.2530,107.2530,106.3443,106.3443,2062700
2026-04-15,106.3443,106.6555,106.3443,106.6555,2030700
2026-04-16,106.6555,108.8559,106.6555,108.8559,2297900
2026-04-17,108.8559,108.8559,106.8728,106.8728,3213900
2026-04-20,106.8728,109.8402,106.8728,109.8402,71800
2026-04-21,109.8402,111.6914,109.8402,111.6914,2746800
2026-04-22,111.6914,111.6914,109.2979,109.2979,4680800
2026-04-23,109.2979,110.5544,109.2979,110.5544,3832600
2026-04-24,110.5544,110.7460,110.5544,110.7460,214600
2026-04-27,110.7460,110.7460,109.2330,109.2330,1803200
2026-04-28,109.2330,109.2330,109.0962,109.0962,2247500
2026-04-29,109.0962,109.0962,108.3825,108.3825,4364400
2026-04-30,108.3825,108.5118,108.3825,108.5118,4361400
2026-05-01,108.5118,108.5118,107.1770,107.1770,2054900
2026-05-04,107.1770,107.7347,107.1770,107.7347,4772700
2026-05-05,107.7347,107.7347,103.7566,103.7566,4082700
2026-05-06,103.7566,103.7566,101.5292,101.5292,1355500
2026-05-07,101.5292,101.5292,101.0316,101.0316,1102900
2026-05-08,101.0316,101.0316,100.1293,100.1293,4236800
2026-05-11,100.1293,101.7011,100.1293,101.7011,2405200
2026-05-12,101.7011,103.9594,101.7011,103.9594,719200
2026-05-13,103.9594,103.9594,102.6137,102.6137,1497100
2026-05-14,102.6137,102.9597,102.6137,102.9597,3198800
2026-05-15,102.9597,103.4240,102.9597,103.4240,3571800
2026-05-18,103.4240,105.4632,103.4240,105.4632,4255700
2026-05-19,105.4632,105.8382,105.4632,105.8382,352400
2026-05-20,105.8382,105.8382,104.6424,104.6424,4149000
2026-05-21,104.6424,108.0814,104.6424,108.0814,939600
2026-05-22,108.0814,108.0814,106.9991,106.9991,4911200
2026-05-25,106.9991,107.7328,106.9991,107.7328,1306900
2026-05-26,107.7328,108.4634,107.7328,108.4634,752200
2026-05-27,108.4634,108.4634,107.8072,107.8072,187500
2026-05-28,107.8072,108.5657,107.8072,108.5657,4417800
2026-05-29,108.5657,108.5657,106.2446,106.2446,4427500
2026-06-01,106.2446,106.2446,106.1838,106.1838,836700
2026-06-02,106.1838,106.1838,104.1765,104.1765,4233200
2026-06-03,104.1765,104.1765,102.5486,102.5486,3883400
2026-06-04,102.5486,102.5486,100.7827,100.7827,1301900
2026-06-05,100.7827,102.3835,100.7827,102.3835,1265300
2026-06-08,102.3835,102.3835,100.6219,100.6219,4079300
2026-06-09,100.6219,101.2765,100.6219,101.2765,4778300
2026-06-10,101.2765,101.2765,100.5047,100.5047,803700
2026-06-11,100.5047,100.5047,99.2748,99.2748,2033400
