date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,98.8382,98.8382,2978900
2026-01-02,98.8382,98.8382,98.6903,98.6903,4539900
2026-01-05,98.6903,98.6903,97.3633,97.3633,2089700
2026-01-06,97.3633,97.3633,96.7034,96.7034,1699000
2026-01-07,96.7034,96.7034,96.4545,96.4545,742400
2026-01-08,96.4545,97.0520,96.4545,97.0520,2711300
2026-01-09,97.0520,97.1391,97.0520,97.1391,2273700
2026-01-12,97.1391,97.6308,97.1391,97.6308,3772200
2026-01-13,97.6308,98.1548,97.6308,98.1548,2121100
2026-01-14,98.1548,98.1548,97.8459,97.8459,3689700
2026-01-15,97.8459,97.8459,97.0575,97.0575,4958600
2026-01-16,97.0575,97.0575,97.0281,97.0281,3972300
2026-01-19,97.0281,97.0281,96.9620,96.9620,3456200
2026-01-20,96.9620,96.9620,96.2816,96.2816,1711900
2026-01-21,96.2816,96.2816,94.6288,94.6288,2499000
2026-01-22,94.6288,95.9737,94.6288,95.9737,3702600
2026-01-23,95.9737,95.9737,93.1254,93.1254,3886300
2026-01-26,93.1254,94.0754,93.1254,94.0754,876400
2026-01-27,94.0754,94.1847,94.0754,94.1847,1286900
2026-01-28,94.1847,94.1847,94.0009,94.0009,3477200
2026-01-29,94.0009,95.9582,94.0009,95.9582,746400
2026-01-30,95.9582,95.9657,95.9582,95.9657,3711000
2026-02-02,95.9657,95.9657,95.6682,95.6682,3250500
2026-02-03,95.6682,95.6682,95.0270,95.0270,2767400
2026-02-04,95.0270,95.0270,94.3266,94.3266,3260900
2026-02-05,94.3266,94.9717,94.3266,94.9717,3016300
2026-02-06,94.9717,94.9717,93.0350,93.0350,2558400
2026-02-09,93.0350,94.4538,93.0350,94.4538,2682100
2026-02-10,94.4538,95.2868,94.4538,95.2868,4869700
2026-02-11,95.2868,95.8732,95.2868,95.8732,3863000
2026-02-12,95.8732,97.1602,95.8732,97.1602,2025900
2026-02-13,97.1602,97.1602,96.5635,96.5635,443200
2026-02-16,96.5635,97.0305,96.5635,97.0305,2269500
2026-02-17,97.0305,97.8756,97.0305,97.8756,4382400
2026-02-18,97.8756,97.8756,97.5305,97.5305,1239100
2026-02-19,97.5305,97.5305,97.0397,97.0397,4374100
2026-02-20,97.0397,97.3667,97.0397,97.3667,604400
2026-02-23,97.3667,97.3667,95.9677,95.9677,410400
2026-02-24,95.9677,95.9677,95.9338,95.9338,65900
2026-02-25,95.9338,95.9338,95.5546,95.5546,415900
2026-02-26,95.5546,95.5546,95.1364,95.1364,2570500
2026-02-27,95.1364,95.1364,95.0252,95.0252,4780000
2026-03-02,95.0252,95.0252,94.9592,94.9592,3160400
2026-03-03,94.9592,95.6670,94.9592,95.6670,3693100
2026-03-04,95.6670,95.6670,95.1176,95.1176,4698400
2026-03-05,95.1176,96.7939,95.1176,96.7939,4960400
2026-03-06,96.7939,96.7939,96.1070,96.1070,4013800
2026-03-09,96.1070,96.1070,94.3684,94.3684,2002700
2026-03-10,94.3684,94.3684,94.2685,94.2685,4502800
2026-03-11,94.2685,94.2685,92.9739,92.9739,667100
2026-03-12,92.9739,93.4358,92.9739,93.4358,819100
