date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,98.9169,98.9169,2515900
2026-01-02,98.9169,100.1618,98.9169,100.1618,405200
2026-01-05,100.1618,100.5162,100.1618,100.5162,1170100
2026-01-06,100.5162,100.5162,99.2753,99.2753,4196800
2026-01-07,99.2753,99.2753,99.1887,99.1887,3775600
2026-01-08,99.1887,100.7231,99.1887,100.7231,413600
2026-01-09,100.7231,100.7231,100.6304,100.6304,1406600
2026-01-12,100.6304,101.7048,100.6304,101.7048,244900
2026-01-13,101.7048,103.8758,101.7048,103.8758,694700
2026-01-14,103.8758,103.9368,103.8758,103.9368,4783000
2026-01-15,103.9368,103.9368,103.6268,103.6268,1221500
2026-01-16,103.6268,103.6268,102.4374,102.4374,4294300
2026-01-19,102.4374,102.4374,102.2188,102.2188,381400
2026-01-20,102.2188,102.2188,100.8856,100.8856,617200
2026-01-21,100.8856,100.8856,100.0597,100.0597,4347000
2026-01-22,100.0597,101.5758,100.0597,101.5758,1616200
2026-01-23,101.5758,101.5758,98.9254,98.9254,2773300
2026-01-26,98.9254,99.9290,98.9254,99.9290,4997700
2026-01-27,99.9290,100.2054,99.9290,100.2054,2716300
2026-01-28,100.2054,101.1429,100.2054,101.1429,1568400
2026-01-29,101.1429,101.9906,101.1429,101.9906,644800
2026-01-30,101.9906,101.9906,100.3919,100.3919,2498100
2026-02-02,100.3919,100.3919,100.0465,100.0465,712200
2026-02-03,100.0465,100.0465,99.4271,99.4271,1565300
2026-02-04,99.4271,99.4271,98.9658,98.9658,4961900
2026-02-05,98.9658,100.0489,98.9658,100.0489,3027700
2026-02-06,100.0489,100.0489,99.6037,99.6037,1839200
2026-02-09,99.6037,100.8286,99.6037,100.8286,3752300
2026-02-10,100.8286,100.8286,100.8183,100.8183,1967600
2026-02-11,100.8183,101.6243,100.8183,101.6243,3123700
2026-02-12,101.6243,101.9183,101.6243,101.9183,2307800
2026-02-13,101.9183,101.9183,101.4105,101.4105,4365400
2026-02-16,101.4105,101.4340,101.4105,101.4340,3285800
2026-02-17,101.4340,102.2669,101.4340,102.2669,1015500
2026-02-18,102.2669,102.6011,102.2669,102.6011,934200
2026-02-19,102.6011,102.6011,101.6613,101.6613,379100
2026-02-20,101.6613,102.0163,101.6613,102.0163,3600100
2026-02-23,102.0163,102.0163,99.9498,99.9498,4701700
2026-02-24,99.9498,99.9498,99.2743,99.2743,2896800
2026-02-25,99.2743,99.7633,99.2743,99.7633,2646400
2026-02-26,99.7633,99.7633,98.5712,98.5712,2772600
2026-02-27,98.5712,98.8899,98.5712,98.8899,4073500
2026-03-02,98.8899,98.8899,98.4103,98.4103,3272000
2026-03-03,98.4103,98.7397,98.4103,98.7397,4561200
2026-03-04,98.7397,98.7397,98.4634,98.4634,1170300
2026-03-05,98.4634,100.6646,98.4634,100.6646,2401300
2026-03-06,100.6646,100.6646,99.7731,99.7731,2749300
2026-03-09,99.7731,99.7731,98.0036,98.0036,2415500
2026-03-10,98.0036,98.2353,98.0036,98.2353,2930200
2026-03-11,98.2353,98.2353,97.2843,97.2843,2401700
2026-03-12,97.2843,97.5543,97.2843,97.5543,2584400
2026-03-13,97.5543,98.3312,97.5543,98.3312,118400
2026-03-16,98.3312,98.3312,98.2820,98.2820,4525200
2026-03-17,98.2820,98.2820,98.2320,98.2320,3760000
2026-03-18,98.2320,98.2320,96.7485,96.7485,2705100
2026-03-19,96.7485,99.5023,96.7485,99.5023,1953700
2026-03-20,99.5023,99.5023,98.9506,98.9506,3692300
2026-03-23,98.9506,98.9506,97.3886,97.3886,3879300
2026-03-24,97.3886,99.2610,97.3886,99.2610,3989300
2026-03-25,99.2610,100.8357,99.2610,100.8357,4393600
2026-03-26,100.8357,101.0544,100.8357,101.0544,4298500
2026-03-27,101.0544,102.3981,101.0544,102.3981,2677900
2026-03-30,102.3981,102.3981,102.3146,102.3146,143200
2026-03-31,102.3146,103.5029,102.3146,103.5029,2698400
2026-04-01,103.5029,103.5029,101.1389,101.1389,1162800
2026-04-02,101.1389,101.5982,101.1389,101.5982,4324000
2026-04-03,101.5982,101.6218,101.5982,101.6218,3099000
2026-04-06,101.6218,101.6218,100.2631,100.2631,3840100
2026-04-07,100.2631,100.2631,99.3940,99.3940,1157000
2026-04-08,99.3940,99.3940,99.3462,99.3462,4443000
2026-04-09,99.3462,99.3462,99.1773,99.1773,2823200
2026-04-10,99.1773,99.1773,97.3046,97.3046,143500
2026-04-13,97.3046,97.3046,96.6445,96.6445,2972600
2026-04-14,96.6445,96.6445,95.2661,95.2661,705600
2026-04-15,95.2661,95.7420,95.2661,95.7420,3951800
2026-04-16,95.7420,98.3638,95.7420,98.3638,4650200
2026-04-17,98.3638,98.3638,97.5332,97.5332,4964500
2026-04-20,97.5332,98.1260,97.5332,98.1260,425500
2026-04-21,98.1260,98.8214,98.1260,98.8214,438100
2026-04-22,98.8214,98.8214,97.7478,97.7478,4892900
2026-04-23,97.7478,97.9358,97.7478,97.9358,3762500
2026-04-24,97.9358,99.2008,97.9358,99.2008,4676600
2026-04-27,99.2008,100.0175,99.2008,100.0175,341500
2026-04-28,100.0175,101.6035,100.0175,101.6035,690000
2026-04-29,101.6035,101.6035,100.7091,100.7091,705900
2026-04-30,100.7091,100.7091,100.6883,100.6883,200400
2026-05-01,100.6883,100.6883,100.5987,100.5987,2307900
2026-05-04,100.5987,100.7137,100.5987,100.7137,992500
2026-05-05,100.7137,100.7137,98.7171,98.7171,4088600
2026-05-06,98.7171,98.7171,98.0919,98.0919,945100
2026-05-07,98.0919,98.2340,98.0919,98.2340,133000
2026-05-08,98.2340,98.2340,97.3061,97.3061,3428800
2026-05-11,97.3061,97.8300,97.3061,97.8300,4464000
2026-05-12,97.8300,98.8067,97.8300,98.8067,1932000
2026-05-13,98.8067,98.8067,97.6701,97.6701,4330100
2026-05-14,97.6701,97.6701,97.6229,97.6229,4957800
2026-05-15,97.6229,98.5960,97.6229,98.5960,4569300
2026-05-18,98.5960,100.5441,98.5960,100.5441,2901400
2026-05-19,100.5441,100.5441,100.3661,100.3661,1648000
2026-05-20,100.3661,100.3661,99.3776,99.3776,2126300
2026-05-21,99.3776,102.4333,99.3776,102.4333,1644900
2026-05-22,102.4333,102.4333,102.0818,102.0818,241500
2026-05-25,102.0818,103.5763,102.0818,103.5763,1832900
2026-05-26,103.5763,105.0110,103.5763,105.0110,1409100
2026-05-27,105.0110,105.0110,104.0286,104.0286,3079200
2026-05-28,104.0286,104.0569,104.0286,104.0569,3017100
2026-05-29,104.0569,104.2630,104.0569,104.2630,1273000
2026-06-01,104.2630,105.6216,104.2630,105.6216,4347300
2026-06-02,105.6216,105.6216,104.1227,104.1227,4002400
2026-06-03,104.1227,104.2625,104.1227,104.2625,256800
2026-06-04,104.2625,104.2625,103.8690,103.8690,3216400
2026-06-05,103.8690,105.3606,103.8690,105.3606,1837900
2026-06-08,105.3606,105.3606,104.0439,104.0439,4504900
2026-06-09,104.0439,104.2783,104.0439,104.2783,3223900
2026-06-10,104.2783,104.2783,103.6715,103.6715,3496600
2026-06-11,103.6715,103.6715,102.4820,102.4820,1148900
2026-06-12,102.4820,102.4820,102.0383,102.0383,143500
2026-06-15,102.0383,102.8639,102.0383,102.8639,2254000
2026-06-16,102.8639,104.1536,102.8639,104.1536,1993500
2026-06-17,104.1536,106.1770,104.1536,106.1770,2712500
2026-06-18,106.1770,107.6292,106.1770,107.6292,1358700
2026-06-19,107.6292,108.0056,107.6292,108.0056,3937800
2026-06-22,108.0056,108.0056,104.7140,104.7140,2300500
2026-06-23,104.7140,104.7140,104.4589,104.4589,3709900
2026-06-24,104.4589,105.1318,104.4589,105.1318,3895000
2026-06-25,105.1318,105.1318,102.5213,102.5213,4757400
2026-06-26,102.5213,102.5213,102.0257,102.0257,797600
2026-06-29,102.0257,102.0257,101.4764,101.4764,2918100
2026-06-30,101.4764,102.4010,101.4764,102.4010,4067600
2026-07-01,102.4010,102.5424,102.4010,102.5424,699700
2026-07-02,102.5424,103.4603,102.5424,103.4603,3536400
2026-07-03,103.4603,103.4603,103.0863,103.0863,4582100
2026-07-06,103.0863,103.1581,103.0863,103.1581,3818100
2026-07-07,103.1581,104.7075,103.1581,104.7075,2137200
2026-07-08,104.7075,104.7075,104.6830,104.6830,4068000
