date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,98.5152,98.5152,2903500
2026-01-02,98.5152,98.8087,98.5152,98.8087,826300
2026-01-05,98.8087,99.5476,98.8087,99.5476,2423800
2026-01-06,99.5476,99.5476,98.8794,98.8794,2362000
2026-01-07,98.8794,98.9486,98.8794,98.9486,2491100
2026-01-08,98.9486,99.1866,98.9486,99.1866,572600
2026-01-09,99.1866,99.1866,98.6698,98.6698,4115700
2026-01-12,98.6698,99.0943,98.6698,99.0943,3694000
2026-01-13,99.0943,100.2686,99.0943,100.2686,2654900
2026-01-14,100.2686,100.2686,99.1880,99.1880,2991700
2026-01-15,99.1880,99.1880,98.7733,98.7733,4317500
2026-01-16,98.7733,99.0412,98.7733,99.0412,4095000
2026-01-19,99.0412,99.1162,99.0412,99.1162,4445500
2026-01-20,99.1162,99.9594,99.1162,99.9594,443900
2026-01-21,99.9594,99.9594,99.0669,99.0669,2955500
2026-01-22,99.0669,100.0779,99.0669,100.0779,3726800
2026-01-23,100.0779,100.0779,97.3040,97.3040,1909800
2026-01-26,97.3040,98.0464,97.3040,98.0464,521000
2026-01-27,98.0464,98.2835,98.0464,98.2835,2603000
2026-01-28,98.2835,98.7380,98.2835,98.7380,4613200
2026-01-29,98.7380,100.0176,98.7380,100.0176,942300
2026-01-30,100.0176,100.0176,99.2043,99.2043,4915800
2026-02-02,99.2043,99.2043,97.7363,97.7363,2692700
2026-02-03,97.7363,97.7363,97.5837,97.5837,2448500
2026-02-04,97.5837,98.0985,97.5837,98.0985,1554800
2026-02-05,98.0985,98.0985,97.7216,97.7216,1435800
2026-02-06,97.7216,97.7216,97.3173,97.3173,1511000
2026-02-09,97.3173,98.7963,97.3173,98.7963,2634200
2026-02-10,98.7963,98.8876,98.7963,98.8876,1030300
2026-02-11,98.8876,99.6151,98.8876,99.6151,461900
2026-02-12,99.6151,100.2634,99.6151,100.2634,363800
2026-02-13,100.2634,100.2634,99.8222,99.8222,590100
