date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.3724,99.3724,4949600
2026-01-02,99.3724,100.2877,99.3724,100.2877,2338800
2026-01-05,100.2877,100.2877,99.3357,99.3357,2546800
2026-01-06,99.3357,99.3357,96.7968,96.7968,4878600
2026-01-07,96.7968,96.7968,96.4188,96.4188,836700
2026-01-08,96.4188,96.4188,96.3952,96.3952,270400
2026-01-09,96.3952,96.6266,96.3952,96.6266,513000
2026-01-12,96.6266,97.9181,96.6266,97.9181,1055700
2026-01-13,97.9181,99.3456,97.9181,99.3456,1230400
2026-01-14,99.3456,99.3456,98.3566,98.3566,256000
2026-01-15,98.3566,98.3566,98.1045,98.1045,565400
2026-01-16,98.1045,98.1326,98.1045,98.1326,3185700
2026-01-19,98.1326,98.1326,97.8974,97.8974,1755400
2026-01-20,97.8974,97.8974,97.7985,97.7985,611200
2026-01-21,97.7985,97.7985,96.2570,96.2570,446800
2026-01-22,96.2570,97.0325,96.2570,97.0325,3876900
2026-01-23,97.0325,97.0325,94.0820,94.0820,3357000
2026-01-26,94.0820,95.5798,94.0820,95.5798,682400
2026-01-27,95.5798,95.5798,95.0956,95.0956,3247000
2026-01-28,95.0956,96.4861,95.0956,96.4861,417900
2026-01-29,96.4861,99.1697,96.4861,99.1697,1169200
2026-01-30,99.1697,99.1697,97.3225,97.3225,2756200
2026-02-02,97.3225,97.3225,96.3197,96.3197,672000
2026-02-03,96.3197,96.3330,96.3197,96.3330,3109500
2026-02-04,96.3330,96.5150,96.3330,96.5150,247800
2026-02-05,96.5150,97.4023,96.5150,97.4023,831400
2026-02-06,97.4023,97.4023,96.7782,96.7782,873900
2026-02-09,96.7782,98.5766,96.7782,98.5766,4206300
2026-02-10,98.5766,99.2550,98.5766,99.2550,1423600
2026-02-11,99.2550,99.2550,99.1897,99.1897,3092900
2026-02-12,99.1897,100.3176,99.1897,100.3176,3784200
2026-02-13,100.3176,100.3176,99.0682,99.0682,541000
2026-02-16,99.0682,99.2212,99.0682,99.2212,587500
2026-02-17,99.2212,101.3209,99.2212,101.3209,193800
2026-02-18,101.3209,101.3209,100.3755,100.3755,4577900
2026-02-19,100.3755,100.4392,100.3755,100.4392,427000
2026-02-20,100.4392,101.0753,100.4392,101.0753,4429800
2026-02-23,101.0753,101.0753,99.9907,99.9907,4580200
2026-02-24,99.9907,100.0008,99.9907,100.0008,3126200
2026-02-25,100.0008,100.0008,99.8593,99.8593,2963000
2026-02-26,99.8593,99.8593,99.1875,99.1875,4412700
2026-02-27,99.1875,100.1841,99.1875,100.1841,3853700
2026-03-02,100.1841,100.1841,98.4226,98.4226,2785900
2026-03-03,98.4226,99.6378,98.4226,99.6378,2202100
2026-03-04,99.6378,99.6378,98.7075,98.7075,738300
2026-03-05,98.7075,100.9467,98.7075,100.9467,4659100
2026-03-06,100.9467,100.9467,99.7468,99.7468,2906800
2026-03-09,99.7468,99.7468,98.1539,98.1539,3413100
2026-03-10,98.1539,98.1539,97.3680,97.3680,3902700
2026-03-11,97.3680,97.3680,96.7448,96.7448,3939100
2026-03-12,96.7448,97.2041,96.7448,97.2041,3788400
2026-03-13,97.2041,98.5570,97.2041,98.5570,2275800
2026-03-16,98.5570,98.6878,98.5570,98.6878,4753800
2026-03-17,98.6878,98.6878,98.4687,98.4687,4380500
2026-03-18,98.4687,98.4687,97.1119,97.1119,1374100
2026-03-19,97.1119,98.6618,97.1119,98.6618,4906700
2026-03-20,98.6618,98.6618,98.0862,98.0862,4158300
2026-03-23,98.0862,98.2157,98.0862,98.2157,298000
2026-03-24,98.2157,99.9975,98.2157,99.9975,3726800
2026-03-25,99.9975,101.7692,99.9975,101.7692,3559100
2026-03-26,101.7692,102.4038,101.7692,102.4038,1416100
2026-03-27,102.4038,103.9219,102.4038,103.9219,1278900
2026-03-30,103.9219,104.5823,103.9219,104.5823,182700
2026-03-31,104.5823,105.4468,104.5823,105.4468,4202900
2026-04-01,105.4468,105.4468,102.8947,102.8947,4606000
2026-04-02,102.8947,103.6119,102.8947,103.6119,4348100
2026-04-03,103.6119,103.6119,103.5818,103.5818,1627200
2026-04-06,103.5818,103.5818,102.8610,102.8610,1975300
2026-04-07,102.8610,102.8610,100.2385,100.2385,4267500
2026-04-08,100.2385,101.0132,100.2385,101.0132,10700
2026-04-09,101.0132,101.2592,101.0132,101.2592,1798800
2026-04-10,101.2592,101.2592,99.2178,99.2178,4047200
2026-04-13,99.2178,99.2178,99.0611,99.0611,3256000
2026-04-14,99.0611,99.0611,99.0417,99.0417,4899900
2026-04-15,99.0417,99.0417,98.4762,98.4762,1550700
2026-04-16,98.4762,99.1597,98.4762,99.1597,2090800
2026-04-17,99.1597,99.1597,98.9851,98.9851,1972000
2026-04-20,98.9851,99.4019,98.9851,99.4019,1462900
2026-04-21,99.4019,99.5178,99.4019,99.5178,454200
2026-04-22,99.5178,99.5178,99.4859,99.4859,4703500
2026-04-23,99.4859,100.3975,99.4859,100.3975,2393800
2026-04-24,100.3975,101.9651,100.3975,101.9651,3246000
2026-04-27,101.9651,102.9040,101.9651,102.9040,2131200
2026-04-28,102.9040,102.9120,102.9040,102.9120,4677300
2026-04-29,102.9120,102.9120,100.0294,100.0294,821900
2026-04-30,100.0294,100.6841,100.0294,100.6841,4507300
2026-05-01,100.6841,100.6841,99.4885,99.4885,3557500
2026-05-04,99.4885,99.4885,99.0153,99.0153,1026100
2026-05-05,99.0153,99.0153,95.5207,95.5207,1172900
2026-05-06,95.5207,95.5207,93.9548,93.9548,3993700
2026-05-07,93.9548,93.9548,93.2880,93.2880,448700
2026-05-08,93.2880,93.5720,93.2880,93.5720,1539100
2026-05-11,93.5720,93.5720,93.5164,93.5164,4455200
2026-05-12,93.5164,94.8972,93.5164,94.8972,2914100
2026-05-13,94.8972,94.8972,93.9696,93.9696,972700
2026-05-14,93.9696,95.1721,93.9696,95.1721,289200
2026-05-15,95.1721,95.7313,95.1721,95.7313,353800
2026-05-18,95.7313,96.3642,95.7313,96.3642,1548600
