date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.4332,99.4332,4153700
2026-01-02,99.4332,99.5088,99.4332,99.5088,404700
2026-01-05,99.5088,99.5088,98.4071,98.4071,1002800
2026-01-06,98.4071,98.4071,96.6800,96.6800,984300
2026-01-07,96.6800,97.3631,96.6800,97.3631,3227900
2026-01-08,97.3631,97.8199,97.3631,97.8199,1148000
2026-01-09,97.8199,99.0574,97.8199,99.0574,653600
2026-01-12,99.0574,100.6109,99.0574,100.6109,4847600
2026-01-13,100.6109,101.3018,100.6109,101.3018,17100
2026-01-14,101.3018,101.3018,101.2624,101.2624,3085000
2026-01-15,101.2624,101.2624,99.9402,99.9402,2461700
2026-01-16,99.9402,99.9402,98.9460,98.9460,4352700
2026-01-19,98.9460,98.9460,98.5507,98.5507,2845400
2026-01-20,98.5507,98.5507,97.9289,97.9289,2006500
2026-01-21,97.9289,97.9289,97.2667,97.2667,1905100
2026-01-22,97.2667,99.1621,97.2667,99.1621,2702100
2026-01-23,99.1621,99.1621,98.0416,98.0416,3218400
2026-01-26,98.0416,98.6732,98.0416,98.6732,221200
2026-01-27,98.6732,98.7086,98.6732,98.7086,1195100
2026-01-28,98.7086,98.8675,98.7086,98.8675,4027700
2026-01-29,98.8675,99.4184,98.8675,99.4184,4901400
2026-01-30,99.4184,99.4184,98.1716,98.1716,266200
2026-02-02,98.1716,98.6041,98.1716,98.6041,1574800
2026-02-03,98.6041,98.6041,97.4263,97.4263,487800
2026-02-04,97.4263,97.4263,96.6402,96.6402,1748400
2026-02-05,96.6402,96.8502,96.6402,96.8502,3104400
2026-02-06,96.8502,96.8502,94.3796,94.3796,3402800
2026-02-09,94.3796,96.4010,94.3796,96.4010,1423800
2026-02-10,96.4010,96.4504,96.4010,96.4504,4680500
2026-02-11,96.4504,96.4590,96.4504,96.4590,2689900
2026-02-12,96.4590,97.5378,96.4590,97.5378,1332400
2026-02-13,97.5378,97.5378,96.5842,96.5842,2129300
2026-02-16,96.5842,96.5842,96.3391,96.3391,3487100
2026-02-17,96.3391,97.6241,96.3391,97.6241,4123900
2026-02-18,97.6241,97.6241,96.6735,96.6735,401500
2026-02-19,96.6735,96.6735,95.1696,95.1696,4820700
2026-02-20,95.1696,96.1409,95.1696,96.1409,3748100
2026-02-23,96.1409,96.1409,95.9133,95.9133,837200
2026-02-24,95.9133,96.9170,95.9133,96.9170,4871100
2026-02-25,96.9170,96.9382,96.9170,96.9382,4815700
2026-02-26,96.9382,96.9382,96.6460,96.6460,3090500
2026-02-27,96.6460,97.7353,96.6460,97.7353,4259000
2026-03-02,97.7353,97.7353,96.6897,96.6897,947100
2026-03-03,96.6897,96.6897,95.7434,95.7434,1999700
2026-03-04,95.7434,95.9916,95.7434,95.9916,3224300
2026-03-05,95.9916,97.6215,95.9916,97.6215,241600
2026-03-06,97.6215,97.6215,96.0116,96.0116,29000
2026-03-09,96.0116,96.0116,94.7290,94.7290,4253900
2026-03-10,94.7290,94.7290,94.3069,94.3069,2488200
2026-03-11,94.3069,94.3262,94.3069,94.3262,670800
2026-03-12,94.3262,95.2244,94.3262,95.2244,2027400
2026-03-13,95.2244,96.3828,95.2244,96.3828,3228000
2026-03-16,96.3828,96.3828,96.0711,96.0711,2923600
2026-03-17,96.0711,97.0415,96.0711,97.0415,4661600
2026-03-18,97.0415,97.0415,95.0380,95.0380,1784100
2026-03-19,95.0380,97.3267,95.0380,97.3267,3675000
2026-03-20,97.3267,97.3267,96.3373,96.3373,4308200
2026-03-23,96.3373,96.3373,96.0701,96.0701,4809600
2026-03-24,96.0701,96.0701,96.0113,96.0113,4969500
2026-03-25,96.0113,97.4533,96.0113,97.4533,2314400
2026-03-26,97.4533,99.6385,97.4533,99.6385,1010900
2026-03-27,99.6385,100.3468,99.6385,100.3468,3715100
2026-03-30,100.3468,100.7295,100.3468,100.7295,3948300
2026-03-31,100.7295,102.4444,100.7295,102.4444,1655700
2026-04-01,102.4444,102.4444,100.6561,100.6561,936600
2026-04-02,100.6561,101.3860,100.6561,101.3860,4116400
2026-04-03,101.3860,101.3860,101.2309,101.2309,2388300
2026-04-06,101.2309,101.8684,101.2309,101.8684,689700
2026-04-07,101.8684,101.8684,100.1801,100.1801,4091300
2026-04-08,100.1801,101.2016,100.1801,101.2016,4444900
2026-04-09,101.2016,101.5017,101.2016,101.5017,1617300
2026-04-10,101.5017,101.5017,100.0735,100.0735,1468700
2026-04-13,100.0735,100.5509,100.0735,100.5509,4240600
2026-04-14,100.5509,100.5509,100.2506,100.2506,3975700
2026-04-15,100.2506,100.2506,99.8610,99.8610,422000
2026-04-16,99.8610,101.4618,99.8610,101.4618,72400
2026-04-17,101.4618,101.4618,101.2460,101.2460,3612700
2026-04-20,101.2460,102.0981,101.2460,102.0981,4533600
2026-04-21,102.0981,102.0981,102.0396,102.0396,2251100
2026-04-22,102.0396,102.0396,101.9129,101.9129,3001700
2026-04-23,101.9129,101.9129,101.5822,101.5822,1178700
2026-04-24,101.5822,101.5822,100.9732,100.9732,2650400
2026-04-27,100.9732,100.9920,100.9732,100.9920,4429900
2026-04-28,100.9920,102.1588,100.9920,102.1588,1706600
2026-04-29,102.1588,102.1588,100.8390,100.8390,1807500
2026-04-30,100.8390,101.0187,100.8390,101.0187,1738700
2026-05-01,101.0187,101.0187,100.5114,100.5114,1553300
