date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.2686,99.2686,3563600
2026-01-02,99.2686,99.2686,98.5236,98.5236,3470600
2026-01-05,98.5236,98.5236,97.3282,97.3282,3766000
2026-01-06,97.3282,97.3282,95.7067,95.7067,3776700
2026-01-07,95.7067,95.7067,95.5935,95.5935,637000
2026-01-08,95.5935,95.8971,95.5935,95.8971,251200
2026-01-09,95.8971,95.9613,95.8971,95.9613,3424700
2026-01-12,95.9613,96.2145,95.9613,96.2145,4224000
2026-01-13,96.2145,97.5303,96.2145,97.5303,2240900
2026-01-14,97.5303,98.2727,97.5303,98.2727,3850500
2026-01-15,98.2727,98.2727,97.9853,97.9853,1601400
2026-01-16,97.9853,97.9853,97.8339,97.8339,319200
2026-01-19,97.8339,99.1639,97.8339,99.1639,1143100
2026-01-20,99.1639,99.1639,98.7412,98.7412,2493100
2026-01-21,98.7412,98.7412,96.9891,96.9891,4068200
2026-01-22,96.9891,98.8274,96.9891,98.8274,3568900
2026-01-23,98.8274,98.8274,96.2273,96.2273,2548200
2026-01-26,96.2273,96.4379,96.2273,96.4379,2395000
2026-01-27,96.4379,97.3011,96.4379,97.3011,693000
2026-01-28,97.3011,98.7913,97.3011,98.7913,1515500
2026-01-29,98.7913,100.3582,98.7913,100.3582,262200
2026-01-30,100.3582,100.3582,98.9007,98.9007,4270100
2026-02-02,98.9007,99.0437,98.9007,99.0437,4897900
2026-02-03,99.0437,99.0437,98.4965,98.4965,4556900
2026-02-04,98.4965,98.4965,97.4617,97.4617,2119600
2026-02-05,97.4617,97.4965,97.4617,97.4965,3681600
2026-02-06,97.4965,97.4965,96.2433,96.2433,279000
2026-02-09,96.2433,97.0087,96.2433,97.0087,3227000
2026-02-10,97.0087,97.0087,96.2708,96.2708,4549300
2026-02-11,96.2708,96.2708,96.1864,96.1864,3364200
2026-02-12,96.1864,96.3605,96.1864,96.3605,1419500
2026-02-13,96.3605,96.3605,95.2788,95.2788,3975200
2026-02-16,95.2788,95.2788,94.9365,94.9365,512800
2026-02-17,94.9365,96.6477,94.9365,96.6477,1826800
2026-02-18,96.6477,96.6477,96.5538,96.5538,4933600
2026-02-19,96.5538,96.5538,96.4333,96.4333,536100
2026-02-20,96.4333,98.7131,96.4333,98.7131,2691100
2026-02-23,98.7131,98.7131,97.3711,97.3711,1603300
2026-02-24,97.3711,97.6315,97.3711,97.6315,861100
2026-02-25,97.6315,98.2163,97.6315,98.2163,454000
2026-02-26,98.2163,98.2833,98.2163,98.2833,1089800
2026-02-27,98.2833,98.4151,98.2833,98.4151,1663800
2026-03-02,98.4151,98.4151,98.1433,98.1433,4452600
2026-03-03,98.1433,98.5030,98.1433,98.5030,392100
2026-03-04,98.5030,98.6744,98.5030,98.6744,1151000
2026-03-05,98.6744,99.6947,98.6744,99.6947,752100
2026-03-06,99.6947,99.6947,99.0281,99.0281,2257900
2026-03-09,99.0281,99.0281,98.1094,98.1094,4521000
2026-03-10,98.1094,98.1094,97.6328,97.6328,4881800
2026-03-11,97.6328,97.6328,97.0908,97.0908,1612400
2026-03-12,97.0908,97.4282,97.0908,97.4282,2567100
2026-03-13,97.4282,98.7485,97.4282,98.7485,3240400
2026-03-16,98.7485,99.1136,98.7485,99.1136,3520400
2026-03-17,99.1136,99.1136,98.8405,98.8405,4108500
2026-03-18,98.8405,98.8405,96.8798,96.8798,3781900
2026-03-19,96.8798,99.4918,96.8798,99.4918,2990100
2026-03-20,99.4918,99.4918,98.9029,98.9029,1658300
2026-03-23,98.9029,98.9029,98.1179,98.1179,4201900
2026-03-24,98.1179,98.1179,98.0192,98.0192,4272300
2026-03-25,98.0192,98.3119,98.0192,98.3119,2333600
2026-03-26,98.3119,99.4316,98.3119,99.4316,579000
2026-03-27,99.4316,101.0793,99.4316,101.0793,2254400
2026-03-30,101.0793,101.3008,101.0793,101.3008,2694600
2026-03-31,101.3008,103.2431,101.3008,103.2431,2787600
2026-04-01,103.2431,103.2431,101.5166,101.5166,4869400
2026-04-02,101.5166,101.8210,101.5166,101.8210,86600
2026-04-03,101.8210,101.8210,101.1823,101.1823,3540000
2026-04-06,101.1823,101.1823,99.8123,99.8123,3165800
2026-04-07,99.8123,99.8123,98.2511,98.2511,898000
2026-04-08,98.2511,98.6930,98.2511,98.6930,698600
2026-04-09,98.6930,99.5428,98.6930,99.5428,4309800
2026-04-10,99.5428,99.5428,98.7592,98.7592,3823100
2026-04-13,98.7592,99.1481,98.7592,99.1481,2194600
2026-04-14,99.1481,99.1481,98.3106,98.3106,368400
2026-04-15,98.3106,98.5083,98.3106,98.5083,3925900
2026-04-16,98.5083,99.7464,98.5083,99.7464,4159600
