date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.0034,99.0034,478300
2026-01-02,99.0034,99.6571,99.0034,99.6571,828900
2026-01-05,99.6571,99.6571,99.5779,99.5779,734200
2026-01-06,99.5779,99.6851,99.5779,99.6851,1879200
2026-01-07,99.6851,100.1224,99.6851,100.1224,1116100
2026-01-08,100.1224,100.2222,100.1224,100.2222,2627700
2026-01-09,100.2222,100.2222,99.5805,99.5805,2726000
2026-01-12,99.5805,100.7097,99.5805,100.7097,4699200
2026-01-13,100.7097,102.0954,100.7097,102.0954,1532900
2026-01-14,102.0954,102.0954,102.0477,102.0477,3230000
2026-01-15,102.0477,102.0477,100.9464,100.9464,2439300
2026-01-16,100.9464,101.1819,100.9464,101.1819,1400200
2026-01-19,101.1819,101.6901,101.1819,101.6901,2710900
2026-01-20,101.6901,101.7095,101.6901,101.7095,4785100
2026-01-21,101.7095,101.7095,100.8400,100.8400,3458200
2026-01-22,100.8400,102.1097,100.8400,102.1097,4302400
2026-01-23,102.1097,102.1097,98.9946,98.9946,394900
2026-01-26,98.9946,99.8218,98.9946,99.8218,3550900
2026-01-27,99.8218,99.8218,99.7788,99.7788,816100
2026-01-28,99.7788,101.2002,99.7788,101.2002,726500
2026-01-29,101.2002,101.4609,101.2002,101.4609,2736100
2026-01-30,101.4609,101.4609,100.3064,100.3064,2988700
2026-02-02,100.3064,100.3064,99.4149,99.4149,3074400
2026-02-03,99.4149,99.4149,98.7223,98.7223,1404100
2026-02-04,98.7223,99.1646,98.7223,99.1646,1822000
2026-02-05,99.1646,99.9984,99.1646,99.9984,4197100
2026-02-06,99.9984,99.9984,98.6075,98.6075,2471100
2026-02-09,98.6075,101.0161,98.6075,101.0161,2875000
2026-02-10,101.0161,101.3459,101.0161,101.3459,2590400
2026-02-11,101.3459,101.3459,101.2512,101.2512,1939300
2026-02-12,101.2512,103.0570,101.2512,103.0570,1929400
2026-02-13,103.0570,103.0570,101.8771,101.8771,592100
2026-02-16,101.8771,101.8771,100.9145,100.9145,4128500
2026-02-17,100.9145,101.8236,100.9145,101.8236,3795500
