date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.9228,99.9228,42500
2026-01-02,99.9228,99.9228,99.7757,99.7757,3729900
2026-01-05,99.7757,99.7757,98.1473,98.1473,376400
2026-01-06,98.1473,98.1473,97.3364,97.3364,1029800
2026-01-07,97.3364,97.6323,97.3364,97.6323,134200
2026-01-08,97.6323,98.4958,97.6323,98.4958,4705500
2026-01-09,98.4958,98.4958,97.7556,97.7556,1907200
2026-01-12,97.7556,97.9376,97.7556,97.9376,4192200
2026-01-13,97.9376,100.0362,97.9376,100.0362,4273200
2026-01-14,100.0362,100.0362,98.8211,98.8211,1684300
2026-01-15,98.8211,98.8211,98.1366,98.1366,4830400
2026-01-16,98.1366,98.1366,97.3512,97.3512,3645700
2026-01-19,97.3512,97.3512,96.6544,96.6544,4066000
2026-01-20,96.6544,96.6544,96.1822,96.1822,566900
2026-01-21,96.1822,96.1822,95.7194,95.7194,966100
2026-01-22,95.7194,95.7194,95.4358,95.4358,850600
2026-01-23,95.4358,95.4358,93.1831,93.1831,3095100
2026-01-26,93.1831,94.8378,93.1831,94.8378,1162900
2026-01-27,94.8378,94.8378,94.4846,94.4846,1097200
2026-01-28,94.4846,95.3075,94.4846,95.3075,590300
2026-01-29,95.3075,97.2736,95.3075,97.2736,4149200
2026-01-30,97.2736,97.2736,96.4839,96.4839,1323900
2026-02-02,96.4839,96.6359,96.4839,96.6359,45400
2026-02-03,96.6359,96.6359,96.4955,96.4955,3170200
2026-02-04,96.4955,96.4955,95.8021,95.8021,4915700
2026-02-05,95.8021,96.6325,95.8021,96.6325,2170600
2026-02-06,96.6325,96.6325,96.0903,96.0903,1732000
2026-02-09,96.0903,98.8631,96.0903,98.8631,1935500
2026-02-10,98.8631,98.9536,98.8631,98.9536,1394400
2026-02-11,98.9536,99.1415,98.9536,99.1415,3606900
2026-02-12,99.1415,101.0378,99.1415,101.0378,1737500
2026-02-13,101.0378,101.0378,100.8261,100.8261,1403000
2026-02-16,100.8261,101.1635,100.8261,101.1635,4556700
2026-02-17,101.1635,103.0872,101.1635,103.0872,4163700
2026-02-18,103.0872,103.7288,103.0872,103.7288,1034400
2026-02-19,103.7288,103.7288,102.6220,102.6220,1321600
2026-02-20,102.6220,102.6220,102.3177,102.3177,2748700
2026-02-23,102.3177,102.3177,102.0504,102.0504,268700
2026-02-24,102.0504,102.9544,102.0504,102.9544,1635200
2026-02-25,102.9544,102.9544,101.2802,101.2802,4888100
2026-02-26,101.2802,101.2802,100.4814,100.4814,1927400
2026-02-27,100.4814,100.4814,100.0065,100.0065,1368600
2026-03-02,100.0065,100.0988,100.0065,100.0988,1280400
2026-03-03,100.0988,100.0988,99.6592,99.6592,3662800
2026-03-04,99.6592,99.6592,98.8967,98.8967,1452400
2026-03-05,98.8967,98.8967,98.7870,98.7870,874000
2026-03-06,98.7870,98.7870,97.7928,97.7928,4676200
2026-03-09,97.7928,97.7928,97.0044,97.0044,2440100
2026-03-10,97.0044,97.0044,96.8953,96.8953,294500
2026-03-11,96.8953,96.8953,96.4938,96.4938,2090200
2026-03-12,96.4938,96.4938,96.3688,96.3688,1944200
2026-03-13,96.3688,97.7858,96.3688,97.7858,743800
2026-03-16,97.7858,97.7858,97.7523,97.7523,2903300
2026-03-17,97.7523,97.7523,97.2000,97.2000,2273100
2026-03-18,97.2000,97.2000,95.6201,95.6201,796100
2026-03-19,95.6201,97.7794,95.6201,97.7794,2252500
2026-03-20,97.7794,98.4214,97.7794,98.4214,3634500
2026-03-23,98.4214,98.4902,98.4214,98.4902,3955200
2026-03-24,98.4902,100.0186,98.4902,100.0186,2964400
2026-03-25,100.0186,102.0962,100.0186,102.0962,40300
2026-03-26,102.0962,102.9747,102.0962,102.9747,1805400
2026-03-27,102.9747,104.0691,102.9747,104.0691,2764800
2026-03-30,104.0691,104.1162,104.0691,104.1162,2582400
2026-03-31,104.1162,105.5852,104.1162,105.5852,1569000
2026-04-01,105.5852,105.5852,103.5040,103.5040,200800
2026-04-02,103.5040,103.5040,102.9350,102.9350,4065300
2026-04-03,102.9350,102.9350,102.6502,102.6502,2766800
2026-04-06,102.6502,102.6502,102.4737,102.4737,4261400
2026-04-07,102.4737,102.4737,101.1327,101.1327,1540400
2026-04-08,101.1327,102.3487,101.1327,102.3487,3994500
2026-04-09,102.3487,102.3487,102.2176,102.2176,1845400
2026-04-10,102.2176,102.2176,101.1399,101.1399,3757800
2026-04-13,101.1399,101.1399,100.7761,100.7761,219000
2026-04-14,100.7761,100.7761,100.3498,100.3498,2193100
2026-04-15,100.3498,100.3498,98.5389,98.5389,2587800
2026-04-16,98.5389,99.8288,98.5389,99.8288,2511800
2026-04-17,99.8288,99.9460,99.8288,99.9460,2603500
2026-04-20,99.9460,101.1697,99.9460,101.1697,3416200
2026-04-21,101.1697,102.0090,101.1697,102.0090,3016900
2026-04-22,102.0090,102.0090,101.3729,101.3729,455400
2026-04-23,101.3729,103.1619,101.3729,103.1619,923900
2026-04-24,103.1619,104.2287,103.1619,104.2287,1760900
2026-04-27,104.2287,104.2287,103.9174,103.9174,2526700
2026-04-28,103.9174,105.9600,103.9174,105.9600,1754900
2026-04-29,105.9600,105.9600,105.0206,105.0206,3881700
2026-04-30,105.0206,105.0206,105.0115,105.0115,1990100
2026-05-01,105.0115,105.0115,104.0107,104.0107,3371100
2026-05-04,104.0107,104.0107,103.3464,103.3464,4010200
2026-05-05,103.3464,103.3464,100.6627,100.6627,1274800
2026-05-06,100.6627,100.6627,98.7961,98.7961,1463900
2026-05-07,98.7961,99.2097,98.7961,99.2097,3840200
2026-05-08,99.2097,99.2097,98.8532,98.8532,3720600
2026-05-11,98.8532,100.5626,98.8532,100.5626,2521200
2026-05-12,100.5626,101.7118,100.5626,101.7118,1893600
2026-05-13,101.7118,101.7118,101.2415,101.2415,1592700
2026-05-14,101.2415,101.2415,100.5131,100.5131,160200
2026-05-15,100.5131,100.5131,100.1294,100.1294,3120900
2026-05-18,100.1294,100.1294,99.9767,99.9767,1008900
2026-05-19,99.9767,101.2911,99.9767,101.2911,563700
2026-05-20,101.2911,101.6681,101.2911,101.6681,969800
2026-05-21,101.6681,104.2169,101.6681,104.2169,2814300
2026-05-22,104.2169,104.2169,103.3477,103.3477,2624100
2026-05-25,103.3477,103.3477,103.3102,103.3102,515000
2026-05-26,103.3102,104.4013,103.3102,104.4013,4165800
2026-05-27,104.4013,104.4013,102.2396,102.2396,1239900
2026-05-28,102.2396,102.9413,102.2396,102.9413,1190400
2026-05-29,102.9413,103.1020,102.9413,103.1020,1608600
2026-06-01,103.1020,103.8954,103.1020,103.8954,1504900
2026-06-02,103.8954,103.8954,102.0620,102.0620,1557500
2026-06-03,102.0620,102.5092,102.0620,102.5092,3491900
2026-06-04,102.5092,102.5092,102.2413,102.2413,3535600
2026-06-05,102.2413,104.4434,102.2413,104.4434,3855700
2026-06-08,104.4434,104.4434,102.2704,102.2704,2659700
2026-06-09,102.2704,103.1287,102.2704,103.1287,499800
2026-06-10,103.1287,103.1287,102.9492,102.9492,1353000
2026-06-11,102.9492,102.9492,102.3926,102.3926,2481500
2026-06-12,102.3926,102.7402,102.3926,102.7402,3213700
2026-06-15,102.7402,103.5621,102.7402,103.5621,1181200
2026-06-16,103.5621,104.9460,103.5621,104.9460,1499200
2026-06-17,104.9460,105.3348,104.9460,105.3348,144400
2026-06-18,105.3348,108.3117,105.3348,108.3117,1438000
2026-06-19,108.3117,108.3117,108.3012,108.3012,146400
2026-06-22,108.3012,108.3012,105.3501,105.3501,524300
2026-06-23,105.3501,106.0268,105.3501,106.0268,1412500
2026-06-24,106.0268,106.0268,105.4418,105.4418,3573800
2026-06-25,105.4418,105.4418,103.8670,103.8670,4882300
2026-06-26,103.8670,103.8670,102.7480,102.7480,2830900
2026-06-29,102.7480,102.7480,102.2565,102.2565,2883100
2026-06-30,102.2565,102.3922,102.2565,102.3922,1806100
2026-07-01,102.3922,102.7936,102.3922,102.7936,4135400
2026-07-02,102.7936,103.0517,102.7936,103.0517,2326600
2026-07-03,103.0517,103.0517,102.5384,102.5384,681600
2026-07-06,102.5384,102.5384,101.9798,101.9798,4212900
2026-07-07,101.9798,102.4400,101.9798,102.4400,4952600
2026-07-08,102.4400,102.4400,101.0300,101.0300,2736300
2026-07-09,101.0300,101.0300,100.8993,100.8993,2496800
2026-07-10,100.8993,100.8993,100.8167,100.8167,2883900
2026-07-13,100.8167,100.9005,100.8167,100.9005,1355600
2026-07-14,100.9005,101.6495,100.9005,101.6495,3716000
2026-07-15,101.6495,101.6495,99.7040,99.7040,1860200
2026-07-16,99.7040,100.4226,99.7040,100.4226,3031100
2026-07-17,100.4226,100.4226,98.3150,98.3150,1923100
2026-07-20,98.3150,98.3150,97.6220,97.6220,2046700
2026-07-21,97.6220,97.6220,97.4476,97.4476,4734600
2026-07-22,97.4476,97.4476,95.1410,95.1410,4894700
2026-07-23,95.1410,97.0656,95.1410,97.0656,1393600
2026-07-24,97.0656,98.0394,97.0656,98.0394,1563500
2026-07-27,98.0394,98.0394,97.6504,97.6504,3237000
2026-07-28,97.6504,97.6504,97.4087,97.4087,3703800
2026-07-29,97.4087,98.3487,97.4087,98.3487,2926400
2026-07-30,98.3487,98.3487,95.8086,95.8086,2460500
2026-07-31,95.8086,95.8086,93.6082,93.6082,926300
2026-08-03,93.6082,93.9581,93.6082,93.9581,3142200
2026-08-04,93.9581,93.9581,93.8290,93.8290,1558400
2026-08-05,93.8290,93.9596,93.8290,93.9596,144000
2026-08-06,93.9596,93.9596,92.7793,92.7793,3439000
2026-08-07,92.7793,94.0490,92.7793,94.0490,4980900
2026-08-10,94.0490,94.7962,94.0490,94.7962,2263100
2026-08-11,94.7962,94.7962,94.7420,94.7420,3095200
2026-08-12,94.7420,94.7420,94.3963,94.3963,3813400
2026-08-13,94.3963,95.8794,94.3963,95.8794,684200
2026-08-14,95.8794,95.8794,94.9956,94.9956,2757800
2026-08-17,94.9956,94.9956,93.8749,93.8749,424100
2026-08-18,93.8749,93.9449,93.8749,93.9449,1174900
2026-08-19,93.9449,93.9449,92.7676,92.7676,3333300
2026-08-20,92.7676,93.7558,92.7676,93.7558,2922100
2026-08-21,93.7558,94.7308,93.7558,94.7308,4868800
2026-08-24,94.7308,94.7308,94.3989,94.3989,1168200
2026-08-25,94.3989,94.3989,94.3214,94.3214,3708500
2026-08-26,94.3214,95.7076,94.3214,95.7076,4388300
2026-08-27,95.7076,95.7076,95.2415,95.2415,3581300
2026-08-28,95.2415,95.2415,94.8477,94.8477,1683100
2026-08-31,94.8477,95.6297,94.8477,95.6297,1154100
2026-09-01,95.6297,96.1484,95.6297,96.1484,94100
2026-09-02,96.1484,98.1568,96.1484,98.1568,2211000
2026-09-03,98.1568,98.5577,98.1568,98.5577,2034100
2026-09-04,98.5577,98.5577,97.7360,97.7360,3645000
2026-09-07,97.7360,97.8422,97.7360,97.8422,2388600
2026-09-08,97.8422,101.2910,97.8422,101.2910,2263900
2026-09-09,101.2910,101.7817,101.2910,101.7817,3733300
