date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.1725,99.1725,1102300
2026-01-02,99.1725,99.7119,99.1725,99.7119,4004900
2026-01-05,99.7119,99.9476,99.7119,99.9476,1806500
2026-01-06,99.9476,99.9476,99.3020,99.3020,3397300
2026-01-07,99.3020,99.3020,98.3179,98.3179,3464300
2026-01-08,98.3179,98.8412,98.3179,98.8412,2634000
2026-01-09,98.8412,98.8412,98.7688,98.7688,1317700
2026-01-12,98.7688,98.9489,98.7688,98.9489,520600
2026-01-13,98.9489,100.7091,98.9489,100.7091,300600
2026-01-14,100.7091,101.0495,100.7091,101.0495,2260700
2026-01-15,101.0495,101.0495,100.7292,100.7292,2912300
2026-01-16,100.7292,100.7292,100.7080,100.7080,2967200
2026-01-19,100.7080,100.7080,100.5328,100.5328,3430400
2026-01-20,100.5328,100.5328,100.0759,100.0759,2893600
2026-01-21,100.0759,100.0759,99.5624,99.5624,4642300
2026-01-22,99.5624,101.7250,99.5624,101.7250,4596400
2026-01-23,101.7250,101.7250,99.2458,99.2458,1123900
2026-01-26,99.2458,100.1932,99.2458,100.1932,1020300
2026-01-27,100.1932,100.9429,100.1932,100.9429,1018300
2026-01-28,100.9429,101.9083,100.9429,101.9083,3300500
2026-01-29,101.9083,103.2820,101.9083,103.2820,2508000
2026-01-30,103.2820,103.2820,101.2463,101.2463,1646200
2026-02-02,101.2463,101.2463,101.0681,101.0681,64900
2026-02-03,101.0681,101.0681,100.9358,100.9358,549200
2026-02-04,100.9358,100.9358,100.0573,100.0573,2753000
2026-02-05,100.0573,101.0797,100.0573,101.0797,2449000
2026-02-06,101.0797,101.1273,101.0797,101.1273,4938500
2026-02-09,101.1273,102.2810,101.1273,102.2810,574600
2026-02-10,102.2810,102.2810,101.1795,101.1795,1493100
2026-02-11,101.1795,101.6390,101.1795,101.6390,4391800
2026-02-12,101.6390,102.3241,101.6390,102.3241,1964400
2026-02-13,102.3241,102.3241,101.2577,101.2577,4499700
2026-02-16,101.2577,101.2577,101.1877,101.1877,935200
2026-02-17,101.1877,102.1197,101.1877,102.1197,2047500
2026-02-18,102.1197,102.7153,102.1197,102.7153,3350600
2026-02-19,102.7153,102.7153,101.7592,101.7592,2128000
2026-02-20,101.7592,103.1703,101.7592,103.1703,1776400
2026-02-23,103.1703,103.1703,102.5264,102.5264,2946200
2026-02-24,102.5264,103.0592,102.5264,103.0592,904500
2026-02-25,103.0592,103.0592,103.0109,103.0109,2813400
2026-02-26,103.0109,103.0458,103.0109,103.0458,2613700
2026-02-27,103.0458,103.0458,102.9345,102.9345,2136800
2026-03-02,102.9345,102.9345,102.7291,102.7291,989700
2026-03-03,102.7291,104.0630,102.7291,104.0630,3106300
2026-03-04,104.0630,104.6495,104.0630,104.6495,4786800
2026-03-05,104.6495,106.2151,104.6495,106.2151,4135900
2026-03-06,106.2151,106.2151,105.3862,105.3862,3827500
2026-03-09,105.3862,105.3862,105.2907,105.2907,1186500
2026-03-10,105.2907,105.2907,105.1571,105.1571,3113900
2026-03-11,105.1571,105.1571,104.1959,104.1959,3127200
2026-03-12,104.1959,104.8906,104.1959,104.8906,1273700
2026-03-13,104.8906,105.9472,104.8906,105.9472,3328200
2026-03-16,105.9472,105.9472,105.5889,105.5889,505400
2026-03-17,105.5889,105.7961,105.5889,105.7961,1364600
2026-03-18,105.7961,105.7961,104.5262,104.5262,142700
2026-03-19,104.5262,106.3759,104.5262,106.3759,1426600
2026-03-20,106.3759,107.0292,106.3759,107.0292,4811200
2026-03-23,107.0292,107.0292,106.1629,106.1629,75000
2026-03-24,106.1629,106.1629,105.9896,105.9896,904900
2026-03-25,105.9896,108.9340,105.9896,108.9340,1931000
2026-03-26,108.9340,109.3234,108.9340,109.3234,2393100
2026-03-27,109.3234,110.6547,109.3234,110.6547,3374200
2026-03-30,110.6547,111.2687,110.6547,111.2687,4623000
2026-03-31,111.2687,111.9965,111.2687,111.9965,4176500
2026-04-01,111.9965,111.9965,110.4922,110.4922,4205800
2026-04-02,110.4922,110.7394,110.4922,110.7394,2518900
2026-04-03,110.7394,110.7394,110.1128,110.1128,1644900
2026-04-06,110.1128,110.1128,109.0965,109.0965,2920100
2026-04-07,109.0965,109.0965,106.4086,106.4086,2463700
2026-04-08,106.4086,106.4866,106.4086,106.4866,3833400
2026-04-09,106.4866,107.3648,106.4866,107.3648,4134900
2026-04-10,107.3648,107.3648,105.8671,105.8671,908100
2026-04-13,105.8671,106.5274,105.8671,106.5274,4617700
2026-04-14,106.5274,106.5274,105.8630,105.8630,513700
2026-04-15,105.8630,105.8630,105.2916,105.2916,235100
2026-04-16,105.2916,106.4119,105.2916,106.4119,302800
2026-04-17,106.4119,106.4119,106.3218,106.3218,653300
2026-04-20,106.3218,106.6017,106.3218,106.6017,1457600
2026-04-21,106.6017,107.4087,106.6017,107.4087,2717000
2026-04-22,107.4087,107.4087,107.3929,107.3929,1089100
2026-04-23,107.3929,108.3500,107.3929,108.3500,1276300
2026-04-24,108.3500,110.7418,108.3500,110.7418,1294500
2026-04-27,110.7418,112.0979,110.7418,112.0979,3590200
2026-04-28,112.0979,117.6154,112.0979,117.6154,2331200
2026-04-29,117.6154,117.6154,113.5462,113.5462,4871200
2026-04-30,113.5462,114.6611,113.5462,114.6611,2664600
2026-05-01,114.6611,114.7812,114.6611,114.7812,1285900
2026-05-04,114.7812,114.7812,114.3910,114.3910,3322300
2026-05-05,114.3910,114.3910,111.3064,111.3064,1392000
2026-05-06,111.3064,111.3064,109.9361,109.9361,2974500
2026-05-07,109.9361,110.2953,109.9361,110.2953,4670000
2026-05-08,110.2953,110.7916,110.2953,110.7916,1885100
2026-05-11,110.7916,110.7916,110.5880,110.5880,2375800
2026-05-12,110.5880,112.6942,110.5880,112.6942,1915700
2026-05-13,112.6942,112.7069,112.6942,112.7069,844400
2026-05-14,112.7069,112.8491,112.7069,112.8491,2026800
2026-05-15,112.8491,112.8491,111.4826,111.4826,1656300
2026-05-18,111.4826,112.6256,111.4826,112.6256,70700
2026-05-19,112.6256,112.8214,112.6256,112.8214,3066800
2026-05-20,112.8214,112.8214,112.1254,112.1254,1290700
2026-05-21,112.1254,114.9436,112.1254,114.9436,2309900
2026-05-22,114.9436,114.9436,114.4911,114.4911,465900
2026-05-25,114.4911,116.9928,114.4911,116.9928,4259400
2026-05-26,116.9928,118.3851,116.9928,118.3851,2785000
2026-05-27,118.3851,118.3851,117.0853,117.0853,3446100
2026-05-28,117.0853,117.2998,117.0853,117.2998,4732200
2026-05-29,117.2998,117.2998,116.6574,116.6574,1879700
2026-06-01,116.6574,117.0986,116.6574,117.0986,2103600
2026-06-02,117.0986,117.0986,115.0818,115.0818,1534700
2026-06-03,115.0818,115.9901,115.0818,115.9901,1350300
2026-06-04,115.9901,115.9901,114.2653,114.2653,3178400
2026-06-05,114.2653,114.2653,114.1314,114.1314,3036700
2026-06-08,114.1314,114.1314,111.1746,111.1746,4421300
2026-06-09,111.1746,111.1746,111.1670,111.1670,799200
2026-06-10,111.1670,111.1788,111.1670,111.1788,406600
2026-06-11,111.1788,111.1788,109.9180,109.9180,1471200
2026-06-12,109.9180,109.9180,109.8601,109.8601,2825400
2026-06-15,109.8601,110.3003,109.8601,110.3003,270800
2026-06-16,110.3003,110.8485,110.3003,110.8485,1419200
2026-06-17,110.8485,112.4975,110.8485,112.4975,1952600
2026-06-18,112.4975,115.8193,112.4975,115.8193,1051800
2026-06-19,115.8193,115.8193,115.4251,115.4251,351800
2026-06-22,115.4251,115.4251,113.4491,113.4491,4134500
2026-06-23,113.4491,113.4491,112.5278,112.5278,3662200
2026-06-24,112.5278,112.5278,112.2868,112.2868,730300
2026-06-25,112.2868,112.2868,110.8207,110.8207,2077400
2026-06-26,110.8207,110.8207,109.1010,109.1010,2528800
2026-06-29,109.1010,109.1010,107.5228,107.5228,4970800
2026-06-30,107.5228,107.7782,107.5228,107.7782,2275500
2026-07-01,107.7782,107.8824,107.7782,107.8824,1087900
2026-07-02,107.8824,108.1869,107.8824,108.1869,4355000
2026-07-03,108.1869,108.1869,108.0088,108.0088,3406300
2026-07-06,108.0088,108.0394,108.0088,108.0394,2033600
2026-07-07,108.0394,109.2892,108.0394,109.2892,4498100
2026-07-08,109.2892,109.2892,107.5377,107.5377,3029400
2026-07-09,107.5377,107.5377,107.2546,107.2546,3080700
2026-07-10,107.2546,107.8027,107.2546,107.8027,3997200
2026-07-13,107.8027,107.8027,105.9690,105.9690,1676900
2026-07-14,105.9690,106.3575,105.9690,106.3575,3040000
2026-07-15,106.3575,106.3575,105.7561,105.7561,4232600
2026-07-16,105.7561,107.1439,105.7561,107.1439,898000
2026-07-17,107.1439,107.1439,104.0755,104.0755,4939600
2026-07-20,104.0755,104.0755,102.6337,102.6337,1685200
2026-07-21,102.6337,102.6337,102.3548,102.3548,3933100
2026-07-22,102.3548,102.3548,101.4232,101.4232,551900
2026-07-23,101.4232,102.0152,101.4232,102.0152,1259400
2026-07-24,102.0152,102.0899,102.0152,102.0899,564500
2026-07-27,102.0899,102.5452,102.0899,102.5452,3085900
2026-07-28,102.5452,102.5452,101.4633,101.4633,1235300
2026-07-29,101.4633,101.4633,101.1631,101.1631,1007300
2026-07-30,101.1631,101.1631,98.2360,98.2360,3845800
2026-07-31,98.2360,98.2360,96.4255,96.4255,1627500
2026-08-03,96.4255,96.8671,96.4255,96.8671,3697400
2026-08-04,96.8671,97.1283,96.8671,97.1283,3236800
2026-08-05,97.1283,97.8401,97.1283,97.8401,709900
2026-08-06,97.8401,97.8401,96.5496,96.5496,4128400
2026-08-07,96.5496,97.4278,96.5496,97.4278,2274800
2026-08-10,97.4278,97.4278,96.8859,96.8859,3739500
2026-08-11,96.8859,97.9004,96.8859,97.9004,175700
2026-08-12,97.9004,97.9004,97.3290,97.3290,806000
2026-08-13,97.3290,97.6427,97.3290,97.6427,1996200
2026-08-14,97.6427,98.4551,97.6427,98.4551,2846000
2026-08-17,98.4551,98.4551,96.9605,96.9605,723400
2026-08-18,96.9605,97.9435,96.9605,97.9435,1536500
2026-08-19,97.9435,97.9435,96.3682,96.3682,1476100
2026-08-20,96.3682,96.6450,96.3682,96.6450,3873100
2026-08-21,96.6450,97.4280,96.6450,97.4280,3126000
2026-08-24,97.4280,98.5763,97.4280,98.5763,3621800
2026-08-25,98.5763,98.5763,97.1422,97.1422,4601800
2026-08-26,97.1422,98.8080,97.1422,98.8080,4722800
2026-08-27,98.8080,98.8080,97.7683,97.7683,4128700
2026-08-28,97.7683,97.7683,96.8327,96.8327,4134500
2026-08-31,96.8327,96.8327,96.0826,96.0826,2274800
2026-09-01,96.0826,96.7010,96.0826,96.7010,4578300
2026-09-02,96.7010,97.9852,96.7010,97.9852,3376100
2026-09-03,97.9852,97.9852,97.8659,97.8659,3937800
2026-09-04,97.8659,97.8659,97.2532,97.2532,1115700
2026-09-07,97.2532,98.4798,97.2532,98.4798,1600400
2026-09-08,98.4798,99.8337,98.4798,99.8337,2869200
2026-09-09,99.8337,101.1547,99.8337,101.1547,1500000
