date,open,high,low,close,volume
2026-01-01,100.0000,100.0124,100.0000,100.0124,4842000
2026-01-02,100.0124,100.2522,100.0124,100.2522,4456200
2026-01-05,100.2522,100.2522,100.2309,100.2309,2402000
2026-01-06,100.2309,100.2309,99.0375,99.0375,3436300
2026-01-07,99.0375,99.3875,99.0375,99.3875,3039700
2026-01-08,99.3875,99.9271,99.3875,99.9271,3505000
2026-01-09,99.9271,99.9271,99.1426,99.1426,4750200
2026-01-12,99.1426,99.6686,99.1426,99.6686,4378900
2026-01-13,99.6686,102.1814,99.6686,102.1814,3451600
2026-01-14,102.1814,102.8575,102.1814,102.8575,2061800
2026-01-15,102.8575,102.8575,102.8454,102.8454,2098300
2026-01-16,102.8454,102.8454,102.5671,102.5671,3570400
2026-01-19,102.5671,103.3846,102.5671,103.3846,837200
2026-01-20,103.3846,103.3846,103.3106,103.3106,980000
2026-01-21,103.3106,103.3106,102.3246,102.3246,845300
2026-01-22,102.3246,103.7498,102.3246,103.7498,2965200
2026-01-23,103.7498,103.7498,99.3159,99.3159,2189200
2026-01-26,99.3159,100.5649,99.3159,100.5649,16700
2026-01-27,100.5649,101.1413,100.5649,101.1413,1687500
2026-01-28,101.1413,101.8092,101.1413,101.8092,2456400
2026-01-29,101.8092,103.5885,101.8092,103.5885,3252100
2026-01-30,103.5885,103.5885,102.5363,102.5363,4918100
2026-02-02,102.5363,102.5363,102.0258,102.0258,4715200
2026-02-03,102.0258,102.4965,102.0258,102.4965,113200
2026-02-04,102.4965,102.4965,101.7217,101.7217,1657700
2026-02-05,101.7217,102.6020,101.7217,102.6020,2923200
2026-02-06,102.6020,102.6020,100.9177,100.9177,4535700
2026-02-09,100.9177,103.0088,100.9177,103.0088,4579700
2026-02-10,103.0088,103.5957,103.0088,103.5957,2453800
2026-02-11,103.5957,104.8974,103.5957,104.8974,1376800
2026-02-12,104.8974,106.0641,104.8974,106.0641,2389500
2026-02-13,106.0641,106.0641,104.6381,104.6381,1187600
2026-02-16,104.6381,104.6381,103.7678,103.7678,3893800
2026-02-17,103.7678,105.3613,103.7678,105.3613,200700
2026-02-18,105.3613,105.3613,104.8284,104.8284,2619400
2026-02-19,104.8284,104.8284,102.9678,102.9678,4138300
2026-02-20,102.9678,104.7455,102.9678,104.7455,1917900
2026-02-23,104.7455,104.7455,104.1837,104.1837,4267300
2026-02-24,104.1837,104.5586,104.1837,104.5586,4356800
2026-02-25,104.5586,104.8489,104.5586,104.8489,2346600
2026-02-26,104.8489,104.8489,104.4071,104.4071,2059200
2026-02-27,104.4071,104.9161,104.4071,104.9161,2583800
2026-03-02,104.9161,104.9161,104.1605,104.1605,4667900
2026-03-03,104.1605,104.1605,103.6287,103.6287,3087100
2026-03-04,103.6287,103.6287,103.5787,103.5787,4406400
2026-03-05,103.5787,105.9312,103.5787,105.9312,2418000
2026-03-06,105.9312,105.9312,104.1235,104.1235,1960500
2026-03-09,104.1235,104.1235,103.2544,103.2544,1410700
2026-03-10,103.2544,103.2891,103.2544,103.2891,2339600
2026-03-11,103.2891,103.6570,103.2891,103.6570,2169600
2026-03-12,103.6570,103.6570,103.5922,103.5922,1158300
2026-03-13,103.5922,103.9957,103.5922,103.9957,4120600
2026-03-16,103.9957,104.5786,103.9957,104.5786,2284900
2026-03-17,104.5786,104.5786,104.0117,104.0117,4369400
2026-03-18,104.0117,104.0117,103.0301,103.0301,599900
2026-03-19,103.0301,104.9453,103.0301,104.9453,4176400
2026-03-20,104.9453,104.9453,104.2008,104.2008,1596200
2026-03-23,104.2008,104.2008,102.4047,102.4047,1781700
2026-03-24,102.4047,102.7897,102.4047,102.7897,2819300
2026-03-25,102.7897,103.5027,102.7897,103.5027,1847400
2026-03-26,103.5027,103.7857,103.5027,103.7857,4479200
2026-03-27,103.7857,104.8874,103.7857,104.8874,2462700
2026-03-30,104.8874,105.5698,104.8874,105.5698,3142100
2026-03-31,105.5698,106.4298,105.5698,106.4298,3200200
2026-04-01,106.4298,106.4298,105.5819,105.5819,520400
2026-04-02,105.5819,106.9125,105.5819,106.9125,2060700
2026-04-03,106.9125,106.9125,105.8679,105.8679,3291600
2026-04-06,105.8679,105.8679,104.5584,104.5584,465000
2026-04-07,104.5584,104.5584,103.0494,103.0494,967700
2026-04-08,103.0494,103.5601,103.0494,103.5601,3884400
2026-04-09,103.5601,103.5601,103.1226,103.1226,4347000
2026-04-10,103.1226,103.1226,101.0511,101.0511,1391600
2026-04-13,101.0511,101.0511,100.7001,100.7001,4246000
2026-04-14,100.7001,100.7001,99.0596,99.0596,4851000
2026-04-15,99.0596,99.2874,99.0596,99.2874,3456700
2026-04-16,99.2874,99.7010,99.2874,99.7010,395700
2026-04-17,99.7010,99.7010,98.6537,98.6537,4988000
2026-04-20,98.6537,99.6127,98.6537,99.6127,2845600
2026-04-21,99.6127,101.3443,99.6127,101.3443,828000
2026-04-22,101.3443,101.3443,100.5136,100.5136,2446200
2026-04-23,100.5136,101.1535,100.5136,101.1535,3666100
2026-04-24,101.1535,101.4733,101.1535,101.4733,2098200
2026-04-27,101.4733,101.4733,101.1679,101.1679,2729400
2026-04-28,101.1679,103.3086,101.1679,103.3086,4047900
2026-04-29,103.3086,103.3086,101.6531,101.6531,4860800
2026-04-30,101.6531,101.6531,101.2999,101.2999,1374600
2026-05-01,101.2999,101.2999,100.5966,100.5966,3832500
2026-05-04,100.5966,100.5966,100.3851,100.3851,2179600
2026-05-05,100.3851,100.3851,97.1470,97.1470,3603900
2026-05-06,97.1470,97.1470,96.6482,96.6482,1661900
2026-05-07,96.6482,97.0141,96.6482,97.0141,4165900
2026-05-08,97.0141,97.4019,97.0141,97.4019,1107500
2026-05-11,97.4019,98.4788,97.4019,98.4788,2488500
2026-05-12,98.4788,100.0182,98.4788,100.0182,4063000
2026-05-13,100.0182,100.0182,98.3885,98.3885,309900
