date,open,high,low,close,volume
2026-01-01,1000.0000,1000.0000,993.5643,993.5643,730600
2026-01-02,993.5643,993.5643,992.6518,992.6518,2396100
2026-01-05,992.6518,992.6518,987.9952,987.9952,2448800
2026-01-06,987.9952,987.9952,977.6291,977.6291,4806300
2026-01-07,977.6291,978.8222,977.6291,978.8222,4533100
2026-01-08,978.8222,983.3472,978.8222,983.3472,1270900
2026-01-09,983.3472,984.0583,983.3472,984.0583,1763400
2026-01-12,984.0583,991.8917,984.0583,991.8917,173600
2026-01-13,991.8917,1006.7574,991.8917,1006.7574,1175200
2026-01-14,1006.7574,1006.7574,1005.7133,1005.7133,1202400
2026-01-15,1005.7133,1005.7133,1000.4535,1000.4535,317800
2026-01-16,1000.4535,1000.4535,994.5880,994.5880,982500
2026-01-19,994.5880,997.2730,994.5880,997.2730,3475900
2026-01-20,997.2730,997.2730,996.1024,996.1024,3265100
2026-01-21,996.1024,996.1024,987.9112,987.9112,663700
2026-01-22,987.9112,996.8337,987.9112,996.8337,1076300
2026-01-23,996.8337,996.8337,968.5265,968.5265,3752600
2026-01-26,968.5265,978.6048,968.5265,978.6048,4610300
2026-01-27,978.6048,978.6048,978.4899,978.4899,3374100
2026-01-28,978.4899,984.0756,978.4899,984.0756,3745500
2026-01-29,984.0756,999.5614,984.0756,999.5614,4755700
2026-01-30,999.5614,999.5614,988.9983,988.9983,1350500
2026-02-02,988.9983,988.9983,985.2528,985.2528,2983800
2026-02-03,985.2528,985.2528,981.1696,981.1696,3615500
2026-02-04,981.1696,981.1696,975.0496,975.0496,1580200
2026-02-05,975.0496,980.8576,975.0496,980.8576,662800
2026-02-06,980.8576,980.8576,970.6900,970.6900,4135500
2026-02-09,970.6900,986.5468,970.6900,986.5468,4378900
2026-02-10,986.5468,987.0797,986.5468,987.0797,1125800
2026-02-11,987.0797,992.1541,987.0797,992.1541,3949700
2026-02-12,992.1541,1005.9525,992.1541,1005.9525,447800
2026-02-13,1005.9525,1005.9525,999.6623,999.6623,1347300
2026-02-16,999.6623,1000.2242,999.6623,1000.2242,3636300
2026-02-17,1000.2242,1012.0973,1000.2242,1012.0973,174500
2026-02-18,1012.0973,1012.0973,1010.6954,1010.6954,1096300
2026-02-19,1010.6954,1010.6954,1007.5891,1007.5891,4260900
2026-02-20,1007.5891,1018.2853,1007.5891,1018.2853,353900
2026-02-23,1018.2853,1018.2853,1011.2206,1011.2206,2037900
2026-02-24,1011.2206,1018.5613,1011.2206,1018.5613,3207800
2026-02-25,1018.5613,1018.5613,1018.0827,1018.0827,3057100
2026-02-26,1018.0827,1018.0827,1012.6117,1012.6117,4636900
2026-02-27,1012.6117,1016.1053,1012.6117,1016.1053,3370500
2026-03-02,1016.1053,1016.1053,1008.4415,1008.4415,3445600
2026-03-03,1008.4415,1009.4945,1008.4415,1009.4945,3218700
2026-03-04,1009.4945,1009.4945,1007.9481,1007.9481,1475800
2026-03-05,1007.9481,1018.8528,1007.9481,1018.8528,3405900
2026-03-06,1018.8528,1018.8528,1006.2503,1006.2503,2692900
2026-03-09,1006.2503,1006.2503,994.6593,994.6593,617100
2026-03-10,994.6593,994.6593,992.3076,992.3076,1022300
2026-03-11,992.3076,992.3076,988.8803,988.8803,2484400
2026-03-12,988.8803,992.7710,988.8803,992.7710,1860900
2026-03-13,992.7710,1006.6860,992.7710,1006.6860,4637600
2026-03-16,1006.6860,1006.6860,1005.1476,1005.1476,1163400
2026-03-17,1005.1476,1007.6186,1005.1476,1007.6186,2955100
2026-03-18,1007.6186,1007.6186,994.4074,994.4074,830700
2026-03-19,994.4074,1016.9264,994.4074,1016.9264,537500
2026-03-20,1016.9264,1016.9264,1013.8841,1013.8841,2253300
2026-03-23,1013.8841,1013.8841,1011.0614,1011.0614,2484200
2026-03-24,1011.0614,1017.2901,1011.0614,1017.2901,1076000
2026-03-25,1017.2901,1034.7718,1017.2901,1034.7718,4853900
2026-03-26,1034.7718,1042.5655,1034.7718,1042.5655,309700
2026-03-27,1042.5655,1049.6086,1042.5655,1049.6086,1091200
2026-03-30,1049.6086,1054.7793,1049.6086,1054.7793,3111900
2026-03-31,1054.7793,1064.0788,1054.7793,1064.0788,4584900
2026-04-01,1064.0788,1064.0788,1047.2010,1047.2010,2523100
2026-04-02,1047.2010,1050.9532,1047.2010,1050.9532,3523300
2026-04-03,1050.9532,1050.9532,1043.0117,1043.0117,326000
2026-04-06,1043.0117,1043.0117,1037.5436,1037.5436,4500800
2026-04-07,1037.5436,1037.5436,1022.8714,1022.8714,389700
2026-04-08,1022.8714,1032.0297,1022.8714,1032.0297,4246300
2026-04-09,1032.0297,1034.6299,1032.0297,1034.6299,1807300
2026-04-10,1034.6299,1034.6299,1019.9694,1019.9694,2575700
2026-04-13,1019.9694,1021.3847,1019.9694,1021.3847,1489500
2026-04-14,1021.3847,1021.3847,1015.6540,1015.6540,3392600
2026-04-15,1015.6540,1015.6540,1015.2723,1015.2723,1141200
2026-04-16,1015.2723,1027.9663,1015.2723,1027.9663,173400
2026-04-17,1027.9663,1027.9663,1021.5801,1021.5801,930800
2026-04-20,1021.5801,1034.7322,1021.5801,1034.7322,4611100
2026-04-21,1034.7322,1041.5081,1034.7322,1041.5081,1792300
2026-04-22,1041.5081,1041.5081,1034.9355,1034.9355,974200
2026-04-23,1034.9355,1041.1082,1034.9355,1041.1082,3117700
2026-04-24,1041.1082,1050.0238,1041.1082,1050.0238,1264800
2026-04-27,1050.0238,1050.2869,1050.0238,1050.2869,3776100
2026-04-28,1050.2869,1063.1841,1050.2869,1063.1841,2874800
2026-04-29,1063.1841,1063.1841,1046.1304,1046.1304,3817100
2026-04-30,1046.1304,1047.8292,1046.1304,1047.8292,3859900
2026-05-01,1047.8292,1047.8292,1043.9736,1043.9736,3855200
2026-05-04,1043.9736,1043.9736,1041.1582,1041.1582,126000
2026-05-05,1041.1582,1041.1582,1009.9964,1009.9964,1069500
2026-05-06,1009.9964,1009.9964,994.9762,994.9762,1936200
2026-05-07,994.9762,994.9762,992.7861,992.7861,927000
2026-05-08,992.7861,992.7861,992.6538,992.6538,3465400
2026-05-11,992.6538,996.9550,992.6538,996.9550,2030000
2026-05-12,996.9550,1011.7773,996.9550,1011.7773,933400
2026-05-13,1011.7773,1011.7773,1003.1800,1003.1800,1943100
2026-05-14,1003.1800,1005.0996,1003.1800,1005.0996,2324600
2026-05-15,1005.0996,1005.1663,1005.0996,1005.1663,1627200
2026-05-18,1005.1663,1018.1292,1005.1663,1018.1292,3324900
2026-05-19,1018.1292,1025.3095,1018.1292,1025.3095,4631500
2026-05-20,1025.3095,1025.3095,1020.7183,1020.7183,1343900
2026-05-21,1020.7183,1043.3575,1020.7183,1043.3575,2018700
2026-05-22,1043.3575,1043.3575,1038.1131,1038.1131,2323000
2026-05-25,1038.1131,1048.8462,1038.1131,1048.8462,3374800
