date,open,high,low,close,volume
2026-01-01,40.0000,40.0000,39.1943,39.1943,4245400
2026-01-02,39.1943,39.1943,36.7976,36.7976,2878200
2026-01-03,36.7976,36.7976,36.2063,36.2063,4711400
2026-01-04,36.2063,36.2063,35.2852,35.2852,934200
2026-01-05,35.2852,35.2852,34.8652,34.8652,553100
2026-01-06,34.8652,35.0696,34.8652,35.0696,2713100
2026-01-07,35.0696,35.0696,33.4624,33.4624,2796100
2026-01-08,33.4624,33.4624,32.7387,32.7387,2596600
2026-01-09,32.7387,32.7387,31.0164,31.0164,4469700
2026-01-10,31.0164,31.0164,30.2119,30.2119,3131500
2026-01-11,30.2119,30.2119,29.6987,29.6987,82400
2026-01-12,29.6987,30.8819,29.6987,30.8819,400500
2026-01-13,30.8819,31.6980,30.8819,31.6980,2043900
2026-01-14,31.6980,31.6980,31.1945,31.1945,3161200
2026-01-15,31.1945,31.6371,31.1945,31.6371,220300
2026-01-16,31.6371,31.7632,31.6371,31.7632,3362200
2026-01-17,31.7632,31.7632,29.7692,29.7692,50500
2026-01-18,29.7692,29.7692,28.9638,28.9638,4441700
2026-01-19,28.9638,28.9638,28.9623,28.9623,4796000
2026-01-20,28.9623,29.8201,28.9623,29.8201,2700800
2026-01-21,29.8201,29.8201,28.5292,28.5292,4604500
2026-01-22,28.5292,28.5292,28.0767,28.0767,3878900
2026-01-23,28.0767,28.1024,28.0767,28.1024,3019100
2026-01-24,28.1024,28.2975,28.1024,28.2975,1011900
2026-01-25,28.2975,28.2975,27.6464,27.6464,2777700
2026-01-26,27.6464,28.1991,27.6464,28.1991,2438100
2026-01-27,28.1991,28.4297,28.1991,28.4297,2672700
2026-01-28,28.4297,28.4297,26.7951,26.7951,909500
2026-01-29,26.7951,27.6163,26.7951,27.6163,4866400
2026-01-30,27.6163,27.6163,27.2708,27.2708,2813300
2026-01-31,27.2708,27.9659,27.2708,27.9659,1521700
2026-02-01,27.9659,27.9659,26.7345,26.7345,3044500
2026-02-02,26.7345,26.7345,26.5584,26.5584,2358300
2026-02-03,26.5584,26.5584,25.3105,25.3105,438600
2026-02-04,25.3105,25.3618,25.3105,25.3618,3426600
2026-02-05,25.3618,25.3618,25.3171,25.3171,2227200
2026-02-06,25.3171,26.8273,25.3171,26.8273,3984300
2026-02-07,26.8273,26.9411,26.8273,26.9411,3797800
2026-02-08,26.9411,26.9411,26.6516,26.6516,4125600
2026-02-09,26.6516,26.6516,26.2606,26.2606,2653700
2026-02-10,26.2606,26.5949,26.2606,26.5949,2224100
2026-02-11,26.5949,27.5436,26.5949,27.5436,4704400
2026-02-12,27.5436,27.5436,27.0357,27.0357,3360500
2026-02-13,27.0357,27.3598,27.0357,27.3598,2736200
2026-02-14,27.3598,27.3598,27.1058,27.1058,4826800
2026-02-15,27.1058,27.1058,25.6965,25.6965,2703300
2026-02-16,25.6965,27.2756,25.6965,27.2756,4479700
2026-02-17,27.2756,28.2934,27.2756,28.2934,3672200
2026-02-18,28.2934,29.5871,28.2934,29.5871,3965800
2026-02-19,29.5871,29.5871,29.2830,29.2830,893100
2026-02-20,29.2830,30.7828,29.2830,30.7828,1756100
2026-02-21,30.7828,30.7828,29.3325,29.3325,644300
2026-02-22,29.3325,29.9791,29.3325,29.9791,4894500
2026-02-23,29.9791,29.9791,29.8458,29.8458,4097000
2026-02-24,29.8458,29.8458,28.9066,28.9066,4779800
2026-02-25,28.9066,28.9066,28.5864,28.5864,1049900
2026-02-26,28.5864,28.5864,27.6331,27.6331,2952900
2026-02-27,27.6331,27.6331,25.6598,25.6598,3470600
2026-02-28,25.6598,25.7288,25.6598,25.7288,1213400
2026-03-01,25.7288,25.7288,25.4411,25.4411,3195300
2026-03-02,25.4411,25.4411,24.2611,24.2611,1185500
2026-03-03,24.2611,25.1527,24.2611,25.1527,4778700
2026-03-04,25.1527,25.1527,24.9595,24.9595,1208300
2026-03-05,24.9595,25.2860,24.9595,25.2860,197100
2026-03-06,25.2860,25.9087,25.2860,25.9087,4347200
2026-03-07,25.9087,25.9087,24.5978,24.5978,4061400
2026-03-08,24.5978,24.5978,24.4428,24.4428,101400
2026-03-09,24.4428,24.4506,24.4428,24.4506,3009000
2026-03-10,24.4506,24.9981,24.4506,24.9981,2193500
2026-03-11,24.9981,24.9981,24.9198,24.9198,4998100
2026-03-12,24.9198,25.1452,24.9198,25.1452,2488500
2026-03-13,25.1452,25.1939,25.1452,25.1939,954700
2026-03-14,25.1939,25.3527,25.1939,25.3527,1819300
2026-03-15,25.3527,25.3527,25.2118,25.2118,36500
2026-03-16,25.2118,25.3441,25.2118,25.3441,1246600
2026-03-17,25.3441,26.2321,25.3441,26.2321,3164500
2026-03-18,26.2321,26.4648,26.2321,26.4648,4698000
2026-03-19,26.4648,26.6919,26.4648,26.6919,3557800
2026-03-20,26.6919,26.6919,25.9797,25.9797,3773800
2026-03-21,25.9797,26.8319,25.9797,26.8319,552800
2026-03-22,26.8319,27.2456,26.8319,27.2456,2254100
2026-03-23,27.2456,27.4427,27.2456,27.4427,2862100
2026-03-24,27.4427,28.2747,27.4427,28.2747,1085200
2026-03-25,28.2747,28.4949,28.2747,28.4949,124400
2026-03-26,28.4949,28.4949,27.7805,27.7805,1756600
2026-03-27,27.7805,28.5947,27.7805,28.5947,53400
2026-03-28,28.5947,28.5947,28.2381,28.2381,975600
2026-03-29,28.2381,28.9234,28.2381,28.9234,4754100
2026-03-30,28.9234,28.9234,28.6373,28.6373,4370000
2026-03-31,28.6373,28.6373,27.0396,27.0396,340200
2026-04-01,27.0396,27.0396,26.0616,26.0616,4777100
2026-04-02,26.0616,26.0616,25.3889,25.3889,3418400
2026-04-03,25.3889,26.3768,25.3889,26.3768,2779600
2026-04-04,26.3768,26.3768,25.9210,25.9210,688300
2026-04-05,25.9210,26.4245,25.9210,26.4245,2814300
2026-04-06,26.4245,26.4245,25.7732,25.7732,4095700
2026-04-07,25.7732,27.1592,25.7732,27.1592,2199500
2026-04-08,27.1592,27.1592,26.7002,26.7002,360400
2026-04-09,26.7002,28.0488,26.7002,28.0488,1317200
2026-04-10,28.0488,29.6415,28.0488,29.6415,1849800
2026-04-11,29.6415,29.6415,27.5644,27.5644,3245200
2026-04-12,27.5644,27.8202,27.5644,27.8202,2873300
2026-04-13,27.8202,29.1690,27.8202,29.1690,1810500
2026-04-14,29.1690,29.1690,27.6764,27.6764,1822500
2026-04-15,27.6764,30.2470,27.6764,30.2470,4107500
2026-04-16,30.2470,30.4676,30.2470,30.4676,2240400
2026-04-17,30.4676,30.6622,30.4676,30.6622,2383400
2026-04-18,30.6622,30.6622,29.4301,29.4301,4247300
2026-04-19,29.4301,29.6553,29.4301,29.6553,701700
2026-04-20,29.6553,29.6553,29.4393,29.4393,3410800
2026-04-21,29.4393,29.5806,29.4393,29.5806,1091200
2026-04-22,29.5806,29.5806,28.9752,28.9752,4041600
2026-04-23,28.9752,28.9752,28.0389,28.0389,152700
2026-04-24,28.0389,32.5654,28.0389,32.5654,2604700
2026-04-25,32.5654,33.1016,32.5654,33.1016,4040600
2026-04-26,33.1016,33.3599,33.1016,33.3599,4093400
2026-04-27,33.3599,34.0048,33.3599,34.0048,2416400
2026-04-28,34.0048,34.2671,34.0048,34.2671,2142700
2026-04-29,34.2671,34.9474,34.2671,34.9474,2261200
2026-04-30,34.9474,34.9474,34.8476,34.8476,3363100
2026-05-01,34.8476,34.8476,33.9381,33.9381,643600
2026-05-02,33.9381,34.4993,33.9381,34.4993,2650800
2026-05-03,34.4993,35.2651,34.4993,35.2651,4737300
2026-05-04,35.2651,36.9748,35.2651,36.9748,2194700
2026-05-05,36.9748,36.9748,36.9178,36.9178,458600
