date,open,high,low,close,volume
2026-01-01,40.0000,40.0000,38.8455,38.8455,3490700
2026-01-02,38.8455,38.8455,37.3780,37.3780,1551100
2026-01-03,37.3780,37.3841,37.3780,37.3841,1409800
2026-01-04,37.3841,37.4578,37.3841,37.4578,950600
2026-01-05,37.4578,37.4578,37.2905,37.2905,1421000
2026-01-06,37.2905,38.2877,37.2905,38.2877,2858500
2026-01-07,38.2877,38.2877,36.4025,36.4025,2199500
2026-01-08,36.4025,36.4025,35.8149,35.8149,4845100
2026-01-09,35.8149,35.8149,35.7778,35.7778,3374300
2026-01-10,35.7778,35.7778,34.6021,34.6021,4105400
2026-01-11,34.6021,34.6021,33.7798,33.7798,4500300
2026-01-12,33.7798,34.9802,33.7798,34.9802,1069500
2026-01-13,34.9802,35.2577,34.9802,35.2577,24000
2026-01-14,35.2577,35.3852,35.2577,35.3852,3494500
2026-01-15,35.3852,35.3852,35.3832,35.3832,3129100
2026-01-16,35.3832,35.3832,35.1594,35.1594,2486800
2026-01-17,35.1594,35.1594,33.1728,33.1728,2906200
2026-01-18,33.1728,33.1728,33.0659,33.0659,4549800
2026-01-19,33.0659,34.4749,33.0659,34.4749,453800
2026-01-20,34.4749,36.0011,34.4749,36.0011,1440200
2026-01-21,36.0011,36.0011,33.6444,33.6444,2478500
2026-01-22,33.6444,33.6444,32.2884,32.2884,295300
2026-01-23,32.2884,32.2884,31.8083,31.8083,42000
2026-01-24,31.8083,31.9326,31.8083,31.9326,657700
2026-01-25,31.9326,31.9326,31.6874,31.6874,4566200
2026-01-26,31.6874,31.6874,31.3456,31.3456,4589600
2026-01-27,31.3456,32.2822,31.3456,32.2822,3630200
2026-01-28,32.2822,32.2822,31.8986,31.8986,2632700
2026-01-29,31.8986,32.2792,31.8986,32.2792,2568100
2026-01-30,32.2792,32.2792,30.6068,30.6068,1545200
2026-01-31,30.6068,30.7219,30.6068,30.7219,3576800
2026-02-01,30.7219,30.7219,30.1775,30.1775,1689600
2026-02-02,30.1775,30.1775,28.8996,28.8996,402700
2026-02-03,28.8996,28.8996,27.7589,27.7589,74100
2026-02-04,27.7589,28.7503,27.7589,28.7503,1696000
2026-02-05,28.7503,28.9091,28.7503,28.9091,3365100
2026-02-06,28.9091,30.6188,28.9091,30.6188,1525100
2026-02-07,30.6188,31.2640,30.6188,31.2640,2263400
2026-02-08,31.2640,31.2640,30.7870,30.7870,620200
2026-02-09,30.7870,30.7870,30.2287,30.2287,662800
2026-02-10,30.2287,30.2287,29.9616,29.9616,453600
2026-02-11,29.9616,31.3210,29.9616,31.3210,594500
2026-02-12,31.3210,31.6964,31.3210,31.6964,3654900
2026-02-13,31.6964,32.6512,31.6964,32.6512,1087600
2026-02-14,32.6512,32.6512,32.4206,32.4206,659600
2026-02-15,32.4206,32.4206,30.4550,30.4550,2284700
2026-02-16,30.4550,32.7793,30.4550,32.7793,162900
2026-02-17,32.7793,32.7893,32.7793,32.7893,985700
2026-02-18,32.7893,34.1131,32.7893,34.1131,133100
2026-02-19,34.1131,34.1131,33.6145,33.6145,2431200
2026-02-20,33.6145,34.9751,33.6145,34.9751,4599100
2026-02-21,34.9751,34.9751,33.9025,33.9025,1179300
2026-02-22,33.9025,34.3699,33.9025,34.3699,3606900
2026-02-23,34.3699,34.3699,34.3511,34.3511,1985700
2026-02-24,34.3511,34.3511,33.9732,33.9732,460900
2026-02-25,33.9732,34.2295,33.9732,34.2295,4495600
2026-02-26,34.2295,34.2295,34.0810,34.0810,742800
2026-02-27,34.0810,34.0810,31.3207,31.3207,2183700
2026-02-28,31.3207,31.5639,31.3207,31.5639,2551400
2026-03-01,31.5639,31.8960,31.5639,31.8960,4479700
2026-03-02,31.8960,31.8960,30.0807,30.0807,4504600
2026-03-03,30.0807,30.9743,30.0807,30.9743,3286600
2026-03-04,30.9743,30.9743,30.7789,30.7789,3607700
2026-03-05,30.7789,31.1742,30.7789,31.1742,369700
2026-03-06,31.1742,32.3036,31.1742,32.3036,3958700
2026-03-07,32.3036,32.3036,31.5973,31.5973,2769600
2026-03-08,31.5973,31.5973,30.8986,30.8986,2197500
