date,open,high,low,close,volume
2026-01-01,40.0000,40.0000,38.0014,38.0014,2072100
2026-01-02,38.0014,38.0014,36.1792,36.1792,3691400
2026-01-03,36.1792,36.1792,35.4334,35.4334,2860800
2026-01-04,35.4334,35.5748,35.4334,35.5748,3046600
2026-01-05,35.5748,35.6691,35.5748,35.6691,3829800
2026-01-06,35.6691,36.1372,35.6691,36.1372,538200
2026-01-07,36.1372,36.1372,33.8147,33.8147,431700
2026-01-08,33.8147,33.8147,32.1939,32.1939,1430400
2026-01-09,32.1939,32.4413,32.1939,32.4413,2552800
2026-01-10,32.4413,33.0604,32.4413,33.0604,4397000
2026-01-11,33.0604,33.0604,31.7321,31.7321,3981000
2026-01-12,31.7321,31.7321,31.2946,31.2946,2797300
2026-01-13,31.2946,31.7077,31.2946,31.7077,3773000
2026-01-14,31.7077,31.7077,31.2243,31.2243,3333700
2026-01-15,31.2243,31.9291,31.2243,31.9291,4022500
2026-01-16,31.9291,31.9291,31.3687,31.3687,242200
2026-01-17,31.3687,31.3687,28.6427,28.6427,2548900
2026-01-18,28.6427,28.8173,28.6427,28.8173,168000
2026-01-19,28.8173,29.5284,28.8173,29.5284,1451700
2026-01-20,29.5284,31.3582,29.5284,31.3582,1261800
2026-01-21,31.3582,31.3582,29.1099,29.1099,1494800
2026-01-22,29.1099,29.1099,28.6686,28.6686,713400
2026-01-23,28.6686,29.1591,28.6686,29.1591,4307200
2026-01-24,29.1591,29.1591,29.0759,29.0759,4534000
2026-01-25,29.0759,29.3503,29.0759,29.3503,3659700
2026-01-26,29.3503,29.8167,29.3503,29.8167,3038500
2026-01-27,29.8167,29.8851,29.8167,29.8851,1328300
2026-01-28,29.8851,29.8851,29.0915,29.0915,3796700
2026-01-29,29.0915,29.4307,29.0915,29.4307,1381100
2026-01-30,29.4307,29.4307,28.4910,28.4910,3360800
2026-01-31,28.4910,28.4910,28.1286,28.1286,1117700
2026-02-01,28.1286,28.1286,27.9749,27.9749,1105800
2026-02-02,27.9749,27.9749,27.5876,27.5876,4309400
2026-02-03,27.5876,27.5876,26.9637,26.9637,1111000
2026-02-04,26.9637,27.4099,26.9637,27.4099,781800
2026-02-05,27.4099,27.9441,27.4099,27.9441,635300
2026-02-06,27.9441,29.3025,27.9441,29.3025,3148300
2026-02-07,29.3025,29.3025,28.9332,28.9332,4650100
2026-02-08,28.9332,28.9332,28.6854,28.6854,4084000
2026-02-09,28.6854,28.6854,28.3490,28.3490,3699200
2026-02-10,28.3490,28.3490,28.2121,28.2121,4965500
2026-02-11,28.2121,29.3031,28.2121,29.3031,3522700
2026-02-12,29.3031,29.4475,29.3031,29.4475,498600
2026-02-13,29.4475,30.1080,29.4475,30.1080,2050300
2026-02-14,30.1080,30.1080,30.0287,30.0287,3785800
2026-02-15,30.0287,30.0287,28.5637,28.5637,3730000
2026-02-16,28.5637,30.4569,28.5637,30.4569,166000
2026-02-17,30.4569,30.7742,30.4569,30.7742,1493200
2026-02-18,30.7742,31.9798,30.7742,31.9798,2868900
2026-02-19,31.9798,31.9798,31.5095,31.5095,2742500
2026-02-20,31.5095,33.2304,31.5095,33.2304,1828800
2026-02-21,33.2304,33.2304,31.3559,31.3559,2120700
2026-02-22,31.3559,31.9895,31.3559,31.9895,4193200
2026-02-23,31.9895,33.0476,31.9895,33.0476,892200
2026-02-24,33.0476,33.0476,32.6561,32.6561,3083500
2026-02-25,32.6561,32.6561,31.8505,31.8505,2059100
2026-02-26,31.8505,31.8505,30.8238,30.8238,799300
2026-02-27,30.8238,30.8238,28.5757,28.5757,745100
2026-02-28,28.5757,29.2908,28.5757,29.2908,3466300
2026-03-01,29.2908,29.8439,29.2908,29.8439,2426200
2026-03-02,29.8439,29.8439,28.5103,28.5103,3063700
2026-03-03,28.5103,29.5750,28.5103,29.5750,3004200
2026-03-04,29.5750,29.5750,29.4073,29.4073,4309700
2026-03-05,29.4073,29.7590,29.4073,29.7590,163200
2026-03-06,29.7590,30.9616,29.7590,30.9616,1928300
2026-03-07,30.9616,30.9616,29.8741,29.8741,1864900
2026-03-08,29.8741,29.8741,29.0665,29.0665,133100
2026-03-09,29.0665,29.8240,29.0665,29.8240,233800
2026-03-10,29.8240,30.9083,29.8240,30.9083,3026200
2026-03-11,30.9083,30.9083,30.8986,30.8986,4505900
2026-03-12,30.8986,30.8986,30.6038,30.6038,2825100
2026-03-13,30.6038,30.8615,30.6038,30.8615,3590400
2026-03-14,30.8615,30.9542,30.8615,30.9542,1107800
2026-03-15,30.9542,31.1155,30.9542,31.1155,1400000
2026-03-16,31.1155,31.5397,31.1155,31.5397,2752800
2026-03-17,31.5397,31.9053,31.5397,31.9053,2647300
2026-03-18,31.9053,32.6612,31.9053,32.6612,2935900
2026-03-19,32.6612,33.4556,32.6612,33.4556,3403700
2026-03-20,33.4556,33.4556,32.7426,32.7426,3138900
2026-03-21,32.7426,35.5079,32.7426,35.5079,24700
2026-03-22,35.5079,36.1620,35.5079,36.1620,4739600
2026-03-23,36.1620,36.2733,36.1620,36.2733,1523800
2026-03-24,36.2733,39.1541,36.2733,39.1541,3294800
2026-03-25,39.1541,39.1541,38.5494,38.5494,55300
2026-03-26,38.5494,38.5494,37.9139,37.9139,3431200
2026-03-27,37.9139,40.0594,37.9139,40.0594,2845600
2026-03-28,40.0594,40.0594,38.2716,38.2716,650600
2026-03-29,38.2716,39.8370,38.2716,39.8370,1077100
2026-03-30,39.8370,39.8370,38.5027,38.5027,1654900
2026-03-31,38.5027,38.5027,36.2174,36.2174,2305500
2026-04-01,36.2174,36.2174,34.1880,34.1880,523700
2026-04-02,34.1880,34.1880,32.8210,32.8210,703900
2026-04-03,32.8210,32.8494,32.8210,32.8494,4376900
2026-04-04,32.8494,32.8494,32.6053,32.6053,4808800
2026-04-05,32.6053,32.6795,32.6053,32.6795,2346200
2026-04-06,32.6795,32.6795,31.0075,31.0075,3792100
2026-04-07,31.0075,32.0216,31.0075,32.0216,2198500
2026-04-08,32.0216,32.0216,30.8894,30.8894,3596800
2026-04-09,30.8894,32.3392,30.8894,32.3392,1866800
2026-04-10,32.3392,33.2231,32.3392,33.2231,3449300
2026-04-11,33.2231,33.2231,31.6270,31.6270,2320500
2026-04-12,31.6270,31.6270,26.9741,26.9741,4687100
2026-04-13,26.9741,28.0627,26.9741,28.0627,1013300
2026-04-14,28.0627,28.0627,26.4938,26.4938,3073900
2026-04-15,26.4938,28.3026,26.4938,28.3026,4685800
2026-04-16,28.3026,28.3457,28.3026,28.3457,3457800
2026-04-17,28.3457,28.8957,28.3457,28.8957,3154600
2026-04-18,28.8957,28.8957,28.0492,28.0492,2226800
2026-04-19,28.0492,28.1800,28.0492,28.1800,3837200
2026-04-20,28.1800,28.4385,28.1800,28.4385,479200
2026-04-21,28.4385,28.7537,28.4385,28.7537,3585800
2026-04-22,28.7537,28.8215,28.7537,28.8215,2127800
2026-04-23,28.8215,28.8215,27.8255,27.8255,4246800
2026-04-24,27.8255,27.8255,27.4859,27.4859,3451600
2026-04-25,27.4859,27.9800,27.4859,27.9800,4538600
2026-04-26,27.9800,28.8782,27.9800,28.8782,4476500
2026-04-27,28.8782,30.1616,28.8782,30.1616,1109600
2026-04-28,30.1616,30.3830,30.1616,30.3830,1931900
2026-04-29,30.3830,31.0331,30.3830,31.0331,449900
2026-04-30,31.0331,31.0331,29.5201,29.5201,474100
2026-05-01,29.5201,29.5201,29.4392,29.4392,467200
2026-05-02,29.4392,29.4392,29.4137,29.4137,232400
2026-05-03,29.4137,30.1871,29.4137,30.1871,2476800
2026-05-04,30.1871,31.5248,30.1871,31.5248,372900
2026-05-05,31.5248,33.0540,31.5248,33.0540,245100
2026-05-06,33.0540,33.1009,33.0540,33.1009,3418300
2026-05-07,33.1009,34.3146,33.1009,34.3146,3896000
2026-05-08,34.3146,34.3146,32.1234,32.1234,1006300
2026-05-09,32.1234,32.1234,31.7837,31.7837,2154200
2026-05-10,31.7837,31.7837,31.7412,31.7412,2046100
2026-05-11,31.7412,32.9707,31.7412,32.9707,3412400
2026-05-12,32.9707,32.9707,31.7320,31.7320,4226300
2026-05-13,31.7320,31.9450,31.7320,31.9450,3509300
2026-05-14,31.9450,31.9450,31.8937,31.8937,1743000
2026-05-15,31.8937,33.0185,31.8937,33.0185,1466400
2026-05-16,33.0185,34.8222,33.0185,34.8222,1214300
2026-05-17,34.8222,34.9936,34.8222,34.9936,2907000
2026-05-18,34.9936,34.9936,34.6556,34.6556,2247100
2026-05-19,34.6556,34.6556,33.7310,33.7310,4186900
2026-05-20,33.7310,33.7310,32.4236,32.4236,2260100
2026-05-21,32.4236,32.4236,31.8432,31.8432,2457900
2026-05-22,31.8432,31.9077,31.8432,31.9077,3525100
2026-05-23,31.9077,33.3832,31.9077,33.3832,3912000
2026-05-24,33.3832,33.3832,32.6583,32.6583,4585200
2026-05-25,32.6583,32.6583,31.7770,31.7770,2985500
2026-05-26,31.7770,31.7770,30.0154,30.0154,474900
2026-05-27,30.0154,30.0434,30.0154,30.0434,4223200
2026-05-28,30.0434,30.0434,29.1817,29.1817,2051800
2026-05-29,29.1817,29.2345,29.1817,29.2345,3448100
2026-05-30,29.2345,29.2345,28.1422,28.1422,2571300
2026-05-31,28.1422,28.1422,27.9234,27.9234,3002000
2026-06-01,27.9234,27.9234,27.7028,27.7028,4804500
2026-06-02,27.7028,28.2359,27.7028,28.2359,4470700
2026-06-03,28.2359,28.2359,28.1489,28.1489,3821600
2026-06-04,28.1489,28.1489,26.3916,26.3916,837600
2026-06-05,26.3916,26.3916,26.0635,26.0635,1407900
2026-06-06,26.0635,26.0635,25.0179,25.0179,2007600
2026-06-07,25.0179,25.0179,24.2993,24.2993,1253900
