date,open,high,low,close,volume
2026-01-01,40.0000,40.0259,40.0000,40.0259,971900
2026-01-02,40.0259,40.0259,38.6495,38.6495,1827000
2026-01-03,38.6495,38.6495,38.6174,38.6174,1264500
2026-01-04,38.6174,38.6174,37.2625,37.2625,1038100
2026-01-05,37.2625,37.4279,37.2625,37.4279,4189000
2026-01-06,37.4279,37.6632,37.4279,37.6632,62000
2026-01-07,37.6632,37.6632,35.6473,35.6473,48100
2026-01-08,35.6473,35.6473,33.7887,33.7887,3943200
2026-01-09,33.7887,33.7887,33.2863,33.2863,2787700
2026-01-10,33.2863,33.2863,32.9023,32.9023,840700
2026-01-11,32.9023,32.9742,32.9023,32.9742,1600800
2026-01-12,32.9742,33.9562,32.9742,33.9562,632700
2026-01-13,33.9562,34.9073,33.9562,34.9073,4064200
2026-01-14,34.9073,34.9073,34.5983,34.5983,1264100
2026-01-15,34.5983,34.5983,34.3824,34.3824,2249000
2026-01-16,34.3824,34.3824,33.9679,33.9679,2230100
2026-01-17,33.9679,33.9679,30.8683,30.8683,4762200
2026-01-18,30.8683,30.8683,30.3694,30.3694,2232700
2026-01-19,30.3694,30.9952,30.3694,30.9952,2249100
2026-01-20,30.9952,32.2321,30.9952,32.2321,4196800
2026-01-21,32.2321,32.2321,30.5399,30.5399,2357500
2026-01-22,30.5399,30.5399,29.8864,29.8864,3614600
2026-01-23,29.8864,29.8864,29.8799,29.8799,1501600
2026-01-24,29.8799,29.8799,28.3033,28.3033,3074300
2026-01-25,28.3033,28.3033,27.9381,27.9381,785200
2026-01-26,27.9381,28.4813,27.9381,28.4813,3927000
2026-01-27,28.4813,29.0616,28.4813,29.0616,1049500
2026-01-28,29.0616,29.0616,28.5573,28.5573,2271700
2026-01-29,28.5573,29.6516,28.5573,29.6516,3672300
2026-01-30,29.6516,29.6516,28.2078,28.2078,2559400
2026-01-31,28.2078,28.2078,28.1388,28.1388,3827300
2026-02-01,28.1388,28.1388,26.9287,26.9287,3746600
2026-02-02,26.9287,26.9287,25.8672,25.8672,3496200
2026-02-03,25.8672,25.8672,25.2890,25.2890,435500
2026-02-04,25.2890,25.4574,25.2890,25.4574,4746600
2026-02-05,25.4574,25.8473,25.4574,25.8473,3021200
2026-02-06,25.8473,27.2326,25.8473,27.2326,3551000
2026-02-07,27.2326,27.7235,27.2326,27.7235,4850200
2026-02-08,27.7235,28.0486,27.7235,28.0486,4333700
2026-02-09,28.0486,28.0486,27.9917,27.9917,3851300
2026-02-10,27.9917,28.0472,27.9917,28.0472,3422000
2026-02-11,28.0472,28.4804,28.0472,28.4804,4233500
2026-02-12,28.4804,28.4804,28.3765,28.3765,2163600
2026-02-13,28.3765,29.1408,28.3765,29.1408,1433700
2026-02-14,29.1408,29.1408,28.6011,28.6011,968800
2026-02-15,28.6011,28.6011,26.6623,26.6623,1248000
2026-02-16,26.6623,27.9750,26.6623,27.9750,1436400
2026-02-17,27.9750,27.9750,27.2978,27.2978,1607400
2026-02-18,27.2978,28.1709,27.2978,28.1709,4536100
2026-02-19,28.1709,28.2022,28.1709,28.2022,902700
2026-02-20,28.2022,29.4232,28.2022,29.4232,2499800
2026-02-21,29.4232,29.4232,27.0351,27.0351,1054400
2026-02-22,27.0351,28.3697,27.0351,28.3697,307700
2026-02-23,28.3697,28.7149,28.3697,28.7149,4829400
2026-02-24,28.7149,28.7149,28.6198,28.6198,3517900
2026-02-25,28.6198,28.6198,28.3488,28.3488,4469000
2026-02-26,28.3488,28.3488,28.1300,28.1300,301900
2026-02-27,28.1300,28.1300,25.7463,25.7463,483200
2026-02-28,25.7463,26.8303,25.7463,26.8303,261600
2026-03-01,26.8303,26.8303,26.2086,26.2086,3891100
2026-03-02,26.2086,26.2086,24.7221,24.7221,2428300
2026-03-03,24.7221,25.7966,24.7221,25.7966,1263400
2026-03-04,25.7966,26.5707,25.7966,26.5707,3513000
2026-03-05,26.5707,27.1427,26.5707,27.1427,3132500
2026-03-06,27.1427,27.9962,27.1427,27.9962,365800
2026-03-07,27.9962,27.9962,26.3201,26.3201,1441500
2026-03-08,26.3201,26.3201,25.3585,25.3585,3612400
2026-03-09,25.3585,26.4003,25.3585,26.4003,960800
2026-03-10,26.4003,27.4766,26.4003,27.4766,1925700
2026-03-11,27.4766,27.4766,27.3881,27.3881,440600
2026-03-12,27.3881,27.3881,26.8412,26.8412,432300
2026-03-13,26.8412,26.8412,26.7454,26.7454,1727200
2026-03-14,26.7454,26.7454,26.6223,26.6223,692800
2026-03-15,26.6223,26.6223,26.1837,26.1837,932500
2026-03-16,26.1837,26.8085,26.1837,26.8085,1302800
2026-03-17,26.8085,27.6443,26.8085,27.6443,2575900
2026-03-18,27.6443,27.9472,27.6443,27.9472,206700
2026-03-19,27.9472,28.4838,27.9472,28.4838,225000
2026-03-20,28.4838,28.4838,28.0684,28.0684,2855900
2026-03-21,28.0684,29.4023,28.0684,29.4023,321600
2026-03-22,29.4023,29.4023,28.5876,28.5876,3740500
2026-03-23,28.5876,29.2789,28.5876,29.2789,2460300
2026-03-24,29.2789,31.0006,29.2789,31.0006,464900
2026-03-25,31.0006,31.0428,31.0006,31.0428,4690500
2026-03-26,31.0428,31.0428,30.4734,30.4734,2446600
2026-03-27,30.4734,31.2146,30.4734,31.2146,4531600
2026-03-28,31.2146,31.2146,29.8032,29.8032,1294300
2026-03-29,29.8032,29.9498,29.8032,29.9498,2222500
2026-03-30,29.9498,29.9498,29.7469,29.7469,4060500
2026-03-31,29.7469,29.7469,27.8272,27.8272,4029800
2026-04-01,27.8272,27.8272,26.3851,26.3851,4800200
2026-04-02,26.3851,26.3851,25.6984,25.6984,1278200
2026-04-03,25.6984,25.6984,25.1669,25.1669,2047300
2026-04-04,25.1669,25.3865,25.1669,25.3865,3757600
2026-04-05,25.3865,25.8576,25.3865,25.8576,2762000
2026-04-06,25.8576,25.8576,25.0931,25.0931,3281900
2026-04-07,25.0931,25.3844,25.0931,25.3844,2911900
2026-04-08,25.3844,25.3844,23.9100,23.9100,4355800
2026-04-09,23.9100,25.0276,23.9100,25.0276,4924900
2026-04-10,25.0276,25.8013,25.0276,25.8013,805000
2026-04-11,25.8013,25.8013,24.4892,24.4892,4543600
2026-04-12,24.4892,24.4892,24.4542,24.4542,1084000
2026-04-13,24.4542,25.8650,24.4542,25.8650,2272700
2026-04-14,25.8650,25.8650,24.3253,24.3253,3098800
2026-04-15,24.3253,26.5739,24.3253,26.5739,899900
2026-04-16,26.5739,26.8530,26.5739,26.8530,951200
2026-04-17,26.8530,27.3799,26.8530,27.3799,2707700
2026-04-18,27.3799,27.3799,26.7469,26.7469,1691800
2026-04-19,26.7469,26.9764,26.7469,26.9764,474300
2026-04-20,26.9764,27.5627,26.9764,27.5627,3001400
2026-04-21,27.5627,27.5627,27.4429,27.4429,2763600
2026-04-22,27.4429,27.7570,27.4429,27.7570,2165900
2026-04-23,27.7570,27.7570,27.3284,27.3284,50100
2026-04-24,27.3284,27.3284,23.6131,23.6131,446800
2026-04-25,23.6131,23.7688,23.6131,23.7688,2505900
2026-04-26,23.7688,23.7688,23.4969,23.4969,959400
2026-04-27,23.4969,24.1722,23.4969,24.1722,4507200
2026-04-28,24.1722,24.1722,23.4466,23.4466,4270100
2026-04-29,23.4466,23.8835,23.4466,23.8835,4789900
2026-04-30,23.8835,23.8835,22.6742,22.6742,805700
2026-05-01,22.6742,22.6742,22.2336,22.2336,1355100
2026-05-02,22.2336,22.5468,22.2336,22.5468,3820900
2026-05-03,22.5468,23.1450,22.5468,23.1450,2538800
2026-05-04,23.1450,24.2925,23.1450,24.2925,3124700
2026-05-05,24.2925,24.7617,24.2925,24.7617,3150600
2026-05-06,24.7617,24.7617,23.7685,23.7685,1611300
2026-05-07,23.7685,24.6339,23.7685,24.6339,3670800
2026-05-08,24.6339,24.6339,23.4719,23.4719,4069600
2026-05-09,23.4719,23.4719,23.0354,23.0354,4103600
2026-05-10,23.0354,23.0354,22.6633,22.6633,3871900
2026-05-11,22.6633,23.3094,22.6633,23.3094,4723100
2026-05-12,23.3094,23.3094,22.2179,22.2179,1141800
2026-05-13,22.2179,23.1097,22.2179,23.1097,2798400
2026-05-14,23.1097,23.1097,22.5419,22.5419,575800
2026-05-15,22.5419,23.6202,22.5419,23.6202,2940100
2026-05-16,23.6202,23.8736,23.6202,23.8736,3048700
2026-05-17,23.8736,24.2397,23.8736,24.2397,1642000
2026-05-18,24.2397,24.2397,23.8083,23.8083,3648300
2026-05-19,23.8083,23.8083,23.3547,23.3547,1295700
2026-05-20,23.3547,23.3547,22.7624,22.7624,3335700
2026-05-21,22.7624,22.7624,22.6681,22.6681,1266500
2026-05-22,22.6681,23.5041,22.6681,23.5041,2449100
2026-05-23,23.5041,24.8435,23.5041,24.8435,664600
2026-05-24,24.8435,25.0742,24.8435,25.0742,147200
2026-05-25,25.0742,25.0742,24.3324,24.3324,1273600
2026-05-26,24.3324,24.3324,23.2043,23.2043,4611800
2026-05-27,23.2043,23.2043,22.7103,22.7103,1934900
2026-05-28,22.7103,22.7103,22.3948,22.3948,2631800
2026-05-29,22.3948,22.3948,22.1224,22.1224,1399900
2026-05-30,22.1224,22.1224,21.0327,21.0327,3302600
2026-05-31,21.0327,21.7903,21.0327,21.7903,2371400
2026-06-01,21.7903,21.7903,20.9248,20.9248,462700
2026-06-02,20.9248,21.9033,20.9248,21.9033,3220100
2026-06-03,21.9033,22.3463,21.9033,22.3463,1496000
2026-06-04,22.3463,22.3463,21.4836,21.4836,420700
2026-06-05,21.4836,22.2962,21.4836,22.2962,285000
2026-06-06,22.2962,22.2962,21.7203,21.7203,129500
2026-06-07,21.7203,21.7203,21.5233,21.5233,422400
2026-06-08,21.5233,21.6654,21.5233,21.6654,3740900
2026-06-09,21.6654,22.0575,21.6654,22.0575,175300
2026-06-10,22.0575,22.0575,21.8281,21.8281,3561300
2026-06-11,21.8281,22.1204,21.8281,22.1204,1060500
2026-06-12,22.1204,23.1844,22.1204,23.1844,3451700
2026-06-13,23.1844,23.4673,23.1844,23.4673,4329800
2026-06-14,23.4673,24.1961,23.4673,24.1961,2112600
2026-06-15,24.1961,24.6091,24.1961,24.6091,2313000
2026-06-16,24.6091,24.6091,23.8963,23.8963,2671600
2026-06-17,23.8963,23.8963,23.5427,23.5427,1689100
2026-06-18,23.5427,23.5427,23.4821,23.4821,4478000
2026-06-19,23.4821,23.4821,23.0238,23.0238,127500
2026-06-20,23.0238,23.1650,23.0238,23.1650,2615800
2026-06-21,23.1650,23.1650,22.7713,22.7713,1428400
2026-06-22,22.7713,23.4988,22.7713,23.4988,1013900
2026-06-23,23.4988,23.4988,23.2870,23.2870,309700
2026-06-24,23.2870,23.2870,22.9472,22.9472,868300
2026-06-25,22.9472,22.9472,22.3219,22.3219,141200
2026-06-26,22.3219,22.6846,22.3219,22.6846,3675700
2026-06-27,22.6846,22.6846,21.2475,21.2475,4045300
2026-06-28,21.2475,21.6309,21.2475,21.6309,4435900
2026-06-29,21.6309,23.2746,21.6309,23.2746,3308600
2026-06-30,23.2746,23.5444,23.2746,23.5444,4507700
2026-07-01,23.5444,23.8271,23.5444,23.8271,2231700
