date,open,high,low,close,volume
2026-01-01,40.0000,40.0000,39.3432,39.3432,492200
2026-01-02,39.3432,39.3432,37.4594,37.4594,1701800
2026-01-03,37.4594,37.9435,37.4594,37.9435,3380800
2026-01-04,37.9435,37.9435,37.7156,37.7156,1443200
2026-01-05,37.7156,38.3269,37.7156,38.3269,4196200
2026-01-06,38.3269,38.6938,38.3269,38.6938,2904500
2026-01-07,38.6938,38.6938,35.9510,35.9510,1891300
2026-01-08,35.9510,35.9510,34.1581,34.1581,2905800
2026-01-09,34.1581,34.1581,32.9396,32.9396,2054400
2026-01-10,32.9396,33.1977,32.9396,33.1977,4524300
2026-01-11,33.1977,33.1977,32.0691,32.0691,3949700
2026-01-12,32.0691,32.0876,32.0691,32.0876,1606500
2026-01-13,32.0876,33.1367,32.0876,33.1367,1748600
2026-01-14,33.1367,33.4993,33.1367,33.4993,3969200
2026-01-15,33.4993,33.4993,33.4110,33.4110,4814500
2026-01-16,33.4110,33.4110,33.1039,33.1039,2270100
2026-01-17,33.1039,33.1039,30.3927,30.3927,3351200
2026-01-18,30.3927,30.3927,29.6174,29.6174,461300
2026-01-19,29.6174,29.6174,29.6087,29.6087,2015900
2026-01-20,29.6087,31.4263,29.6087,31.4263,412700
2026-01-21,31.4263,31.4263,30.1312,30.1312,2563100
2026-01-22,30.1312,30.1312,29.1073,29.1073,1971300
2026-01-23,29.1073,29.1073,28.3821,28.3821,34300
2026-01-24,28.3821,28.3821,27.6500,27.6500,3434300
2026-01-25,27.6500,27.6500,27.5987,27.5987,3589700
2026-01-26,27.5987,28.5008,27.5987,28.5008,3861900
2026-01-27,28.5008,29.8585,28.5008,29.8585,1943400
2026-01-28,29.8585,29.8585,29.0199,29.0199,3687700
2026-01-29,29.0199,29.5037,29.0199,29.5037,4563500
2026-01-30,29.5037,29.5037,28.7403,28.7403,2290000
2026-01-31,28.7403,28.7758,28.7403,28.7758,3917500
2026-02-01,28.7758,28.7758,27.8946,27.8946,4031600
2026-02-02,27.8946,27.8946,27.1649,27.1649,491300
2026-02-03,27.1649,27.1649,25.4762,25.4762,3486000
2026-02-04,25.4762,25.8128,25.4762,25.8128,2543100
