date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.4070,99.4070,4336400
2026-01-02,99.4070,99.4070,97.4546,97.4546,998300
2026-01-05,97.4546,97.4546,97.3535,97.3535,1177100
2026-01-06,97.3535,97.3535,96.5774,96.5774,3208900
2026-01-07,96.5774,97.6882,96.5774,97.6882,2531800
2026-01-08,97.6882,98.1038,97.6882,98.1038,4003500
2026-01-09,98.1038,98.1038,97.5771,97.5771,4187200
2026-01-12,97.5771,98.2679,97.5771,98.2679,1694400
2026-01-13,98.2679,99.5185,98.2679,99.5185,4072300
2026-01-14,99.5185,99.5185,99.4907,99.4907,4332300
2026-01-15,99.4907,99.4907,97.9672,97.9672,4522400
2026-01-16,97.9672,98.8654,97.9672,98.8654,3680100
2026-01-19,98.8654,100.1042,98.8654,100.1042,4581900
2026-01-20,100.1042,100.1042,98.2872,98.2872,1361300
2026-01-21,98.2872,98.2872,98.2161,98.2161,4225600
2026-01-22,98.2161,98.2161,97.2527,97.2527,3473300
2026-01-23,97.2527,98.5354,97.2527,98.5354,4337800
2026-01-26,98.5354,98.5354,97.7902,97.7902,2193200
2026-01-27,97.7902,98.2556,97.7902,98.2556,2152400
2026-01-28,98.2556,98.8717,98.2556,98.8717,1724300
2026-01-29,98.8717,99.4427,98.8717,99.4427,3052000
2026-01-30,99.4427,100.7793,99.4427,100.7793,3307000
2026-02-02,100.7793,100.7793,98.9199,98.9199,2605500
2026-02-03,98.9199,99.1023,98.9199,99.1023,3372900
2026-02-04,99.1023,100.6437,99.1023,100.6437,860300
2026-02-05,100.6437,101.9805,100.6437,101.9805,1966700
2026-02-06,101.9805,101.9805,99.9873,99.9873,3794400
2026-02-09,99.9873,101.0072,99.9873,101.0072,3862500
2026-02-10,101.0072,101.8574,101.0072,101.8574,4475700
2026-02-11,101.8574,101.8574,100.6548,100.6548,1173800
2026-02-12,100.6548,100.6548,99.8832,99.8832,2224900
2026-02-13,99.8832,99.9472,99.8832,99.9472,3019100
2026-02-16,99.9472,99.9472,99.7536,99.7536,669900
2026-02-17,99.7536,99.7536,98.3495,98.3495,746700
2026-02-18,98.3495,98.3495,97.6975,97.6975,2007000
2026-02-19,97.6975,97.6975,97.4626,97.4626,2514200
2026-02-20,97.4626,99.7999,97.4626,99.7999,4832200
2026-02-23,99.7999,99.7999,98.3501,98.3501,2869400
2026-02-24,98.3501,98.3501,97.2060,97.2060,3218800
2026-02-25,97.2060,97.2060,94.5005,94.5005,424900
2026-02-26,94.5005,94.8575,94.5005,94.8575,4800100
2026-02-27,94.8575,95.3774,94.8575,95.3774,846200
2026-03-02,95.3774,95.3774,94.9763,94.9763,1036200
2026-03-03,94.9763,94.9763,94.7920,94.7920,999800
2026-03-04,94.7920,95.1953,94.7920,95.1953,56100
2026-03-05,95.1953,95.1953,93.3562,93.3562,2444800
2026-03-06,93.3562,93.3562,92.9207,92.9207,4147200
2026-03-09,92.9207,94.0040,92.9207,94.0040,544100
2026-03-10,94.0040,94.0040,93.6351,93.6351,1114700
2026-03-11,93.6351,93.8849,93.6351,93.8849,4823000
