date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.2376,99.2376,3202300
2026-01-02,99.2376,99.2376,99.0146,99.0146,2559300
2026-01-05,99.0146,99.0146,98.8777,98.8777,2119300
2026-01-06,98.8777,98.8777,98.0429,98.0429,4464100
2026-01-07,98.0429,98.5019,98.0429,98.5019,3140100
2026-01-08,98.5019,99.3789,98.5019,99.3789,1299300
2026-01-09,99.3789,99.3789,99.2671,99.2671,1282000
2026-01-12,99.2671,99.7979,99.2671,99.7979,3767200
2026-01-13,99.7979,100.1542,99.7979,100.1542,4502000
2026-01-14,100.1542,100.1542,98.4182,98.4182,1380500
2026-01-15,98.4182,98.4182,97.6258,97.6258,4368700
2026-01-16,97.6258,98.4994,97.6258,98.4994,548600
2026-01-19,98.4994,99.1562,98.4994,99.1562,4524100
2026-01-20,99.1562,99.5758,99.1562,99.5758,4577100
2026-01-21,99.5758,99.5758,99.2269,99.2269,3405300
2026-01-22,99.2269,99.2269,98.7829,98.7829,2776500
2026-01-23,98.7829,99.8415,98.7829,99.8415,2728500
2026-01-26,99.8415,100.3397,99.8415,100.3397,2230300
2026-01-27,100.3397,100.5285,100.3397,100.5285,2209700
2026-01-28,100.5285,101.5602,100.5285,101.5602,4988500
2026-01-29,101.5602,102.4018,101.5602,102.4018,3185200
2026-01-30,102.4018,103.5674,102.4018,103.5674,95700
2026-02-02,103.5674,103.5674,102.2333,102.2333,4553200
2026-02-03,102.2333,102.7614,102.2333,102.7614,2427100
2026-02-04,102.7614,102.9414,102.7614,102.9414,4613000
2026-02-05,102.9414,103.0086,102.9414,103.0086,4217700
2026-02-06,103.0086,103.0086,101.7960,101.7960,4545300
2026-02-09,101.7960,102.3511,101.7960,102.3511,3381700
2026-02-10,102.3511,103.0261,102.3511,103.0261,413200
2026-02-11,103.0261,103.0261,102.0535,102.0535,2577200
2026-02-12,102.0535,102.0535,101.1896,101.1896,2740800
2026-02-13,101.1896,101.1896,100.6474,100.6474,3714700
2026-02-16,100.6474,100.6474,100.5249,100.5249,981900
2026-02-17,100.5249,100.5249,99.2778,99.2778,2001900
2026-02-18,99.2778,99.2778,98.5702,98.5702,1480600
2026-02-19,98.5702,99.1116,98.5702,99.1116,4935600
2026-02-20,99.1116,100.0217,99.1116,100.0217,1850800
2026-02-23,100.0217,100.0217,99.0644,99.0644,4096300
2026-02-24,99.0644,99.0644,97.7024,97.7024,3861400
2026-02-25,97.7024,97.7024,94.7894,94.7894,1751600
2026-02-26,94.7894,95.6111,94.7894,95.6111,2742200
2026-02-27,95.6111,97.1768,95.6111,97.1768,1112500
2026-03-02,97.1768,97.2222,97.1768,97.2222,2094800
2026-03-03,97.2222,97.2358,97.2222,97.2358,2699600
2026-03-04,97.2358,97.9167,97.2358,97.9167,4161800
2026-03-05,97.9167,97.9167,96.1925,96.1925,2687400
2026-03-06,96.1925,96.6415,96.1925,96.6415,670100
2026-03-09,96.6415,98.0142,96.6415,98.0142,4257200
2026-03-10,98.0142,98.3134,98.0142,98.3134,3342200
2026-03-11,98.3134,99.0570,98.3134,99.0570,1914100
2026-03-12,99.0570,101.6359,99.0570,101.6359,471700
2026-03-13,101.6359,101.6359,100.9391,100.9391,1610400
2026-03-16,100.9391,101.6094,100.9391,101.6094,1023300
2026-03-17,101.6094,101.6094,100.4391,100.4391,4404700
2026-03-18,100.4391,100.6990,100.4391,100.6990,2109500
2026-03-19,100.6990,101.1488,100.6990,101.1488,3237600
2026-03-20,101.1488,101.1488,99.2250,99.2250,892100
2026-03-23,99.2250,100.6277,99.2250,100.6277,248300
2026-03-24,100.6277,100.6277,98.9756,98.9756,3021900
2026-03-25,98.9756,100.3311,98.9756,100.3311,3851600
2026-03-26,100.3311,100.9459,100.3311,100.9459,3959700
2026-03-27,100.9459,102.4618,100.9459,102.4618,3045500
2026-03-30,102.4618,102.4618,102.0945,102.0945,1749800
2026-03-31,102.0945,102.0945,101.1944,101.1944,4580700
2026-04-01,101.1944,102.0251,101.1944,102.0251,3967200
2026-04-02,102.0251,102.0251,101.5584,101.5584,3254600
2026-04-03,101.5584,101.5584,100.9865,100.9865,144500
2026-04-06,100.9865,100.9865,98.3350,98.3350,1406900
2026-04-07,98.3350,98.3350,98.1045,98.1045,974800
2026-04-08,98.1045,98.1045,97.3995,97.3995,4071000
2026-04-09,97.3995,97.5137,97.3995,97.5137,2932900
2026-04-10,97.5137,97.8704,97.5137,97.8704,534200
2026-04-13,97.8704,97.8704,97.5320,97.5320,4118600
2026-04-14,97.5320,98.6631,97.5320,98.6631,3042400
2026-04-15,98.6631,98.6631,97.1749,97.1749,1435500
2026-04-16,97.1749,97.4915,97.1749,97.4915,2036100
2026-04-17,97.4915,97.4915,93.3192,93.3192,3804500
2026-04-20,93.3192,93.6433,93.3192,93.6433,1454400
2026-04-21,93.6433,94.5219,93.6433,94.5219,1086400
2026-04-22,94.5219,94.5219,93.9129,93.9129,4416700
2026-04-23,93.9129,93.9129,93.2818,93.2818,1272000
2026-04-24,93.2818,93.7739,93.2818,93.7739,1622900
2026-04-27,93.7739,94.7048,93.7739,94.7048,4453800
2026-04-28,94.7048,95.3094,94.7048,95.3094,1033000
2026-04-29,95.3094,96.4659,95.3094,96.4659,1341000
2026-04-30,96.4659,96.4659,94.7729,94.7729,2739800
2026-05-01,94.7729,97.0117,94.7729,97.0117,4635200
2026-05-04,97.0117,97.0117,96.5860,96.5860,3202600
2026-05-05,96.5860,96.5860,96.1459,96.1459,4982500
2026-05-06,96.1459,98.4701,96.1459,98.4701,3278300
2026-05-07,98.4701,98.4701,98.4108,98.4108,442600
2026-05-08,98.4108,99.4461,98.4108,99.4461,2491200
2026-05-11,99.4461,99.4461,98.5499,98.5499,2527200
2026-05-12,98.5499,98.5499,97.0408,97.0408,1326600
2026-05-13,97.0408,97.0408,96.4811,96.4811,4952000
2026-05-14,96.4811,97.0830,96.4811,97.0830,2263100
2026-05-15,97.0830,97.9993,97.0830,97.9993,1942000
2026-05-18,97.9993,97.9993,95.8537,95.8537,2762900
2026-05-19,95.8537,95.8537,95.6242,95.6242,4728900
2026-05-20,95.6242,95.6242,95.0285,95.0285,4852900
2026-05-21,95.0285,95.0285,95.0179,95.0179,2505800
2026-05-22,95.0179,95.0179,94.5380,94.5380,4722500
2026-05-25,94.5380,96.5226,94.5380,96.5226,1348000
2026-05-26,96.5226,96.5226,96.3714,96.3714,2035800
2026-05-27,96.3714,98.7317,96.3714,98.7317,3476900
2026-05-28,98.7317,100.5544,98.7317,100.5544,3232500
2026-05-29,100.5544,100.5544,100.1522,100.1522,687000
2026-06-01,100.1522,100.1522,99.3320,99.3320,446500
2026-06-02,99.3320,99.3320,98.2427,98.2427,2650900
2026-06-03,98.2427,98.2427,96.5630,96.5630,2481200
2026-06-04,96.5630,97.7849,96.5630,97.7849,1083600
2026-06-05,97.7849,97.9513,97.7849,97.9513,2640000
2026-06-08,97.9513,98.9507,97.9513,98.9507,4405100
2026-06-09,98.9507,102.3055,98.9507,102.3055,1341000
2026-06-10,102.3055,102.3365,102.3055,102.3365,2840500
2026-06-11,102.3365,104.9618,102.3365,104.9618,3536000
2026-06-12,104.9618,105.6477,104.9618,105.6477,3535200
2026-06-15,105.6477,105.6477,104.4417,104.4417,4091900
2026-06-16,104.4417,104.4417,104.4207,104.4207,1022400
2026-06-17,104.4207,104.4207,103.3966,103.3966,2898900
2026-06-18,103.3966,104.9221,103.3966,104.9221,604000
2026-06-19,104.9221,105.2944,104.9221,105.2944,2838500
2026-06-22,105.2944,105.6719,105.2944,105.6719,1107800
2026-06-23,105.6719,106.6757,105.6719,106.6757,3378100
2026-06-24,106.6757,106.6757,105.3426,105.3426,4377400
2026-06-25,105.3426,105.3426,104.9246,104.9246,3155300
2026-06-26,104.9246,104.9246,104.6525,104.6525,2821900
2026-06-29,104.6525,105.0301,104.6525,105.0301,1521800
2026-06-30,105.0301,105.0654,105.0301,105.0654,234000
2026-07-01,105.0654,105.0654,104.1269,104.1269,2771200
2026-07-02,104.1269,104.9236,104.1269,104.9236,4691800
2026-07-03,104.9236,105.7593,104.9236,105.7593,2006600
2026-07-06,105.7593,105.7593,105.7210,105.7210,1678900
2026-07-07,105.7210,106.1554,105.7210,106.1554,3562400
2026-07-08,106.1554,107.5535,106.1554,107.5535,2372300
2026-07-09,107.5535,107.8571,107.5535,107.8571,865500
2026-07-10,107.8571,107.9270,107.8571,107.9270,1362600
2026-07-13,107.9270,107.9270,107.5597,107.5597,3312400
2026-07-14,107.5597,107.5597,107.2813,107.2813,354200
2026-07-15,107.2813,107.2813,107.1527,107.1527,2736300
2026-07-16,107.1527,107.6606,107.1527,107.6606,1859400
2026-07-17,107.6606,107.6606,107.2935,107.2935,3231100
2026-07-20,107.2935,107.2935,105.5925,105.5925,433200
2026-07-21,105.5925,106.1840,105.5925,106.1840,1753100
2026-07-22,106.1840,106.1840,105.2636,105.2636,3891500
2026-07-23,105.2636,105.2636,104.6942,104.6942,3374600
2026-07-24,104.6942,104.6942,103.6758,103.6758,998200
2026-07-27,103.6758,105.5551,103.6758,105.5551,4507900
2026-07-28,105.5551,107.4354,105.5551,107.4354,332900
2026-07-29,107.4354,107.7139,107.4354,107.7139,4899000
2026-07-30,107.7139,107.7701,107.7139,107.7701,4464600
2026-07-31,107.7701,108.4668,107.7701,108.4668,4661500
