date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,98.8503,98.8503,830300
2026-01-02,98.8503,98.9520,98.8503,98.9520,4957500
2026-01-05,98.9520,98.9520,98.3121,98.3121,1349700
2026-01-06,98.3121,98.3121,97.5204,97.5204,2691700
2026-01-07,97.5204,98.0912,97.5204,98.0912,525100
2026-01-08,98.0912,98.0912,97.8792,97.8792,4404200
2026-01-09,97.8792,97.8792,97.2846,97.2846,3357100
2026-01-12,97.2846,98.8971,97.2846,98.8971,1576400
2026-01-13,98.8971,100.2363,98.8971,100.2363,646800
2026-01-14,100.2363,100.2363,100.1405,100.1405,3842300
2026-01-15,100.1405,100.1405,99.8905,99.8905,273500
2026-01-16,99.8905,100.5972,99.8905,100.5972,2952500
2026-01-19,100.5972,100.7821,100.5972,100.7821,2399600
2026-01-20,100.7821,100.7821,99.4685,99.4685,1757900
2026-01-21,99.4685,99.4685,98.2422,98.2422,2838900
2026-01-22,98.2422,98.2422,97.5063,97.5063,2676100
2026-01-23,97.5063,98.6117,97.5063,98.6117,4080500
2026-01-26,98.6117,98.6117,96.6176,96.6176,3989200
2026-01-27,96.6176,96.9866,96.6176,96.9866,3094100
2026-01-28,96.9866,97.4215,96.9866,97.4215,618200
2026-01-29,97.4215,98.1418,97.4215,98.1418,4268800
2026-01-30,98.1418,98.1418,97.9518,97.9518,166200
2026-02-02,97.9518,97.9518,96.1057,96.1057,939100
2026-02-03,96.1057,96.1057,95.4018,95.4018,2655900
2026-02-04,95.4018,95.8788,95.4018,95.8788,429200
2026-02-05,95.8788,95.8788,95.7721,95.7721,3956800
2026-02-06,95.7721,95.7721,94.4485,94.4485,101400
2026-02-09,94.4485,95.1342,94.4485,95.1342,2826800
2026-02-10,95.1342,95.6270,95.1342,95.6270,2809900
2026-02-11,95.6270,95.6270,94.3757,94.3757,2854500
2026-02-12,94.3757,94.5978,94.3757,94.5978,3935200
2026-02-13,94.5978,94.5978,94.1424,94.1424,2845000
2026-02-16,94.1424,94.2715,94.1424,94.2715,1124300
2026-02-17,94.2715,94.2715,93.0604,93.0604,1943000
2026-02-18,93.0604,93.0604,91.8027,91.8027,1703600
2026-02-19,91.8027,91.9807,91.8027,91.9807,1853200
2026-02-20,91.9807,93.0228,91.9807,93.0228,4633800
2026-02-23,93.0228,93.0228,91.7779,91.7779,2854200
2026-02-24,91.7779,91.7779,90.5047,90.5047,2318300
2026-02-25,90.5047,90.5047,87.8465,87.8465,3781200
2026-02-26,87.8465,89.8569,87.8465,89.8569,4738000
2026-02-27,89.8569,89.8569,89.3793,89.3793,1863000
2026-03-02,89.3793,89.3793,88.6745,88.6745,4363000
2026-03-03,88.6745,89.1310,88.6745,89.1310,296300
2026-03-04,89.1310,89.1310,89.0206,89.0206,1514900
2026-03-05,89.0206,89.0206,88.5397,88.5397,2220000
2026-03-06,88.5397,88.5397,88.3355,88.3355,2930900
2026-03-09,88.3355,89.1414,88.3355,89.1414,3530600
2026-03-10,89.1414,89.1414,87.4454,87.4454,4493200
2026-03-11,87.4454,87.7097,87.4454,87.7097,4133900
2026-03-12,87.7097,89.2079,87.7097,89.2079,3049900
2026-03-13,89.2079,89.2079,88.1758,88.1758,3210000
2026-03-16,88.1758,89.2214,88.1758,89.2214,3522600
2026-03-17,89.2214,89.2214,88.6492,88.6492,4104500
2026-03-18,88.6492,89.9395,88.6492,89.9395,2146200
2026-03-19,89.9395,90.6337,89.9395,90.6337,4032700
2026-03-20,90.6337,90.6337,89.9304,89.9304,3213400
2026-03-23,89.9304,91.0466,89.9304,91.0466,2774600
2026-03-24,91.0466,91.0466,89.9835,89.9835,2281000
2026-03-25,89.9835,91.1061,89.9835,91.1061,3393900
2026-03-26,91.1061,91.6449,91.1061,91.6449,3611100
2026-03-27,91.6449,92.5500,91.6449,92.5500,1767400
2026-03-30,92.5500,92.9466,92.5500,92.9466,4573300
2026-03-31,92.9466,92.9466,91.1771,91.1771,1173800
2026-04-01,91.1771,91.9434,91.1771,91.9434,937900
2026-04-02,91.9434,92.2883,91.9434,92.2883,4095800
2026-04-03,92.2883,92.2883,91.5482,91.5482,2606200
2026-04-06,91.5482,91.5482,89.9667,89.9667,4195400
2026-04-07,89.9667,89.9667,88.4984,88.4984,3110300
2026-04-08,88.4984,89.0552,88.4984,89.0552,947000
2026-04-09,89.0552,89.3982,89.0552,89.3982,773700
2026-04-10,89.3982,90.0622,89.3982,90.0622,902400
2026-04-13,90.0622,90.0622,89.6501,89.6501,259700
2026-04-14,89.6501,91.5451,89.6501,91.5451,947700
2026-04-15,91.5451,91.5451,90.2088,90.2088,1673900
2026-04-16,90.2088,90.2965,90.2088,90.2965,86600
2026-04-17,90.2965,90.2965,89.3313,89.3313,949700
2026-04-20,89.3313,90.5037,89.3313,90.5037,94400
2026-04-21,90.5037,91.1622,90.5037,91.1622,607900
2026-04-22,91.1622,91.4828,91.1622,91.4828,4305200
2026-04-23,91.4828,91.4828,89.6870,89.6870,562200
2026-04-24,89.6870,91.0293,89.6870,91.0293,695900
2026-04-27,91.0293,96.2730,91.0293,96.2730,1348200
2026-04-28,96.2730,96.2730,95.8197,95.8197,2080300
2026-04-29,95.8197,96.8686,95.8197,96.8686,2884000
2026-04-30,96.8686,96.8686,95.7664,95.7664,234200
2026-05-01,95.7664,98.1318,95.7664,98.1318,3807600
2026-05-04,98.1318,98.1318,96.7133,96.7133,15700
2026-05-05,96.7133,96.7133,95.6641,95.6641,3302200
2026-05-06,95.6641,96.8087,95.6641,96.8087,2513900
2026-05-07,96.8087,97.2049,96.8087,97.2049,947700
2026-05-08,97.2049,97.7859,97.2049,97.7859,4517500
2026-05-11,97.7859,97.7859,97.1614,97.1614,2157600
2026-05-12,97.1614,97.1614,96.4624,96.4624,263800
2026-05-13,96.4624,96.4830,96.4624,96.4830,3684200
2026-05-14,96.4830,97.7119,96.4830,97.7119,2234100
2026-05-15,97.7119,98.3343,97.7119,98.3343,4157900
2026-05-18,98.3343,98.3343,96.0250,96.0250,3857700
2026-05-19,96.0250,96.4673,96.0250,96.4673,4202200
2026-05-20,96.4673,96.4673,96.0017,96.0017,3338600
2026-05-21,96.0017,96.0017,95.8677,95.8677,4013300
2026-05-22,95.8677,95.8677,94.6680,94.6680,3835900
2026-05-25,94.6680,96.4102,94.6680,96.4102,208000
2026-05-26,96.4102,96.8675,96.4102,96.8675,2386100
2026-05-27,96.8675,98.0566,96.8675,98.0566,4538800
2026-05-28,98.0566,100.3798,98.0566,100.3798,3471000
2026-05-29,100.3798,100.3798,99.1894,99.1894,3581200
2026-06-01,99.1894,99.7807,99.1894,99.7807,2459400
2026-06-02,99.7807,99.7807,99.1041,99.1041,1716400
2026-06-03,99.1041,99.1041,98.7046,98.7046,238100
2026-06-04,98.7046,99.6779,98.7046,99.6779,4538600
2026-06-05,99.6779,99.6779,98.8333,98.8333,3567700
2026-06-08,98.8333,99.2239,98.8333,99.2239,3324800
2026-06-09,99.2239,102.1290,99.2239,102.1290,3166400
2026-06-10,102.1290,102.9769,102.1290,102.9769,2886200
2026-06-11,102.9769,105.5905,102.9769,105.5905,1312900
2026-06-12,105.5905,106.1014,105.5905,106.1014,1699400
2026-06-15,106.1014,106.1014,104.7616,104.7616,4701900
2026-06-16,104.7616,104.7616,103.8021,103.8021,4016400
2026-06-17,103.8021,103.8021,102.5451,102.5451,1214000
2026-06-18,102.5451,104.1814,102.5451,104.1814,3910400
2026-06-19,104.1814,104.6165,104.1814,104.6165,2360800
2026-06-22,104.6165,104.6165,104.2865,104.2865,3910100
