date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,98.8291,98.8291,4315900
2026-01-02,98.8291,98.8291,98.3691,98.3691,2423100
2026-01-05,98.3691,98.3691,97.5796,97.5796,1328100
2026-01-06,97.5796,97.5796,95.9265,95.9265,814000
2026-01-07,95.9265,95.9265,95.6210,95.6210,4709800
2026-01-08,95.6210,96.0359,95.6210,96.0359,3165100
2026-01-09,96.0359,96.0359,95.3541,95.3541,1601200
2026-01-12,95.3541,96.5018,95.3541,96.5018,2574800
2026-01-13,96.5018,97.0983,96.5018,97.0983,3727800
2026-01-14,97.0983,97.2670,97.0983,97.2670,1182600
2026-01-15,97.2670,97.2670,96.6435,96.6435,299100
2026-01-16,96.6435,98.0129,96.6435,98.0129,673600
2026-01-19,98.0129,98.5222,98.0129,98.5222,2194800
2026-01-20,98.5222,98.5222,97.7854,97.7854,3269200
2026-01-21,97.7854,97.7854,97.4542,97.4542,1942300
2026-01-22,97.4542,97.4542,96.4739,96.4739,3471200
2026-01-23,96.4739,98.0667,96.4739,98.0667,119000
2026-01-26,98.0667,99.0536,98.0667,99.0536,913500
2026-01-27,99.0536,99.8204,99.0536,99.8204,46900
2026-01-28,99.8204,100.3446,99.8204,100.3446,1988100
2026-01-29,100.3446,101.5406,100.3446,101.5406,2595700
2026-01-30,101.5406,102.6996,101.5406,102.6996,3068500
2026-02-02,102.6996,102.6996,101.4708,101.4708,2019800
2026-02-03,101.4708,101.5106,101.4708,101.5106,394400
2026-02-04,101.5106,101.6228,101.5106,101.6228,3171200
2026-02-05,101.6228,101.6228,101.5097,101.5097,4358900
2026-02-06,101.5097,101.5097,100.3232,100.3232,4675500
2026-02-09,100.3232,101.6721,100.3232,101.6721,1143600
2026-02-10,101.6721,102.2099,101.6721,102.2099,28700
2026-02-11,102.2099,102.2099,100.0906,100.0906,1114800
2026-02-12,100.0906,100.3630,100.0906,100.3630,3664600
2026-02-13,100.3630,100.3630,100.3395,100.3395,2208300
2026-02-16,100.3395,100.3395,100.0616,100.0616,2006200
2026-02-17,100.0616,100.0616,97.9393,97.9393,3957800
2026-02-18,97.9393,98.4326,97.9393,98.4326,818600
2026-02-19,98.4326,98.4326,98.2350,98.2350,2478300
2026-02-20,98.2350,99.1750,98.2350,99.1750,1573500
2026-02-23,99.1750,99.1750,98.2135,98.2135,2671500
2026-02-24,98.2135,98.2135,96.8578,96.8578,888700
2026-02-25,96.8578,96.8578,94.3372,94.3372,588400
2026-02-26,94.3372,95.2608,94.3372,95.2608,4334100
2026-02-27,95.2608,96.5167,95.2608,96.5167,4584300
2026-03-02,96.5167,96.5383,96.5167,96.5383,4403400
2026-03-03,96.5383,96.5383,95.7437,95.7437,4551000
2026-03-04,95.7437,95.8989,95.7437,95.8989,4160600
2026-03-05,95.8989,95.8989,95.4708,95.4708,3111500
2026-03-06,95.4708,95.4708,95.3084,95.3084,1336500
2026-03-09,95.3084,96.1913,95.3084,96.1913,3172100
2026-03-10,96.1913,96.1913,96.0025,96.0025,626800
2026-03-11,96.0025,96.7407,96.0025,96.7407,2364100
2026-03-12,96.7407,98.0747,96.7407,98.0747,4106000
2026-03-13,98.0747,98.0747,96.4068,96.4068,3092000
2026-03-16,96.4068,97.1346,96.4068,97.1346,1641200
2026-03-17,97.1346,97.1346,95.7981,95.7981,2678400
2026-03-18,95.7981,97.1499,95.7981,97.1499,1845000
2026-03-19,97.1499,97.7287,97.1499,97.7287,4925200
2026-03-20,97.7287,97.7287,97.1983,97.1983,3798200
2026-03-23,97.1983,98.3859,97.1983,98.3859,2340800
2026-03-24,98.3859,98.3859,96.4391,96.4391,286500
2026-03-25,96.4391,98.0409,96.4391,98.0409,428200
2026-03-26,98.0409,98.0409,97.7059,97.7059,2509700
2026-03-27,97.7059,99.1382,97.7059,99.1382,1296000
2026-03-30,99.1382,99.2505,99.1382,99.2505,1568300
2026-03-31,99.2505,99.2505,98.3091,98.3091,366700
2026-04-01,98.3091,100.2649,98.3091,100.2649,3916900
