date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,98.3021,98.3021,2649800
2026-01-02,98.3021,98.3021,97.6507,97.6507,2130900
2026-01-05,97.6507,97.6507,97.2428,97.2428,2146400
2026-01-06,97.2428,97.7138,97.2428,97.7138,2297800
2026-01-07,97.7138,98.0301,97.7138,98.0301,4347200
2026-01-08,98.0301,98.4603,98.0301,98.4603,4664300
2026-01-09,98.4603,98.4603,97.9725,97.9725,1254000
2026-01-12,97.9725,98.6433,97.9725,98.6433,3930000
2026-01-13,98.6433,98.8139,98.6433,98.8139,2123800
2026-01-14,98.8139,98.8139,98.4703,98.4703,1269700
2026-01-15,98.4703,98.4703,97.7833,97.7833,3242500
2026-01-16,97.7833,98.5754,97.7833,98.5754,365200
2026-01-19,98.5754,99.1827,98.5754,99.1827,2527500
2026-01-20,99.1827,99.1827,98.2488,98.2488,3174000
2026-01-21,98.2488,98.2488,97.8016,97.8016,3581500
2026-01-22,97.8016,97.8016,96.7253,96.7253,945500
2026-01-23,96.7253,97.6989,96.7253,97.6989,3915700
2026-01-26,97.6989,97.6989,96.9512,96.9512,4324300
2026-01-27,96.9512,97.4613,96.9512,97.4613,4109600
2026-01-28,97.4613,98.7832,97.4613,98.7832,2051900
2026-01-29,98.7832,99.0209,98.7832,99.0209,2979000
2026-01-30,99.0209,99.6174,99.0209,99.6174,4616600
2026-02-02,99.6174,99.6174,98.2244,98.2244,479200
2026-02-03,98.2244,98.8100,98.2244,98.8100,1498600
2026-02-04,98.8100,98.9364,98.8100,98.9364,3599000
2026-02-05,98.9364,99.4274,98.9364,99.4274,4231300
2026-02-06,99.4274,99.4274,98.8369,98.8369,1180300
2026-02-09,98.8369,99.7144,98.8369,99.7144,3228900
2026-02-10,99.7144,99.7144,98.8540,98.8540,2092500
2026-02-11,98.8540,98.8540,97.2516,97.2516,200400
2026-02-12,97.2516,97.2516,95.6816,95.6816,1671700
2026-02-13,95.6816,95.6816,95.3909,95.3909,2998000
2026-02-16,95.3909,96.9920,95.3909,96.9920,4459000
2026-02-17,96.9920,96.9920,94.7961,94.7961,4750300
2026-02-18,94.7961,94.7961,94.6324,94.6324,4733800
2026-02-19,94.6324,94.6324,94.3100,94.3100,1130800
2026-02-20,94.3100,95.5039,94.3100,95.5039,15100
