date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,98.6149,98.6149,1932900
2026-01-02,98.6149,98.6399,98.6149,98.6399,3212500
2026-01-05,98.6399,98.6399,98.1174,98.1174,2913500
2026-01-06,98.1174,98.1174,97.7368,97.7368,2790300
2026-01-07,97.7368,98.5460,97.7368,98.5460,3810900
2026-01-08,98.5460,98.5460,98.0685,98.0685,3475100
2026-01-09,98.0685,99.0390,98.0685,99.0390,238400
2026-01-12,99.0390,99.1417,99.0390,99.1417,4716500
2026-01-13,99.1417,99.6542,99.1417,99.6542,2691400
2026-01-14,99.6542,99.6542,99.3923,99.3923,1986200
2026-01-15,99.3923,99.3923,97.8149,97.8149,424300
2026-01-16,97.8149,99.1307,97.8149,99.1307,3525300
2026-01-19,99.1307,101.0033,99.1307,101.0033,2778400
2026-01-20,101.0033,101.0033,99.7306,99.7306,4026100
2026-01-21,99.7306,99.7306,99.3985,99.3985,1760400
2026-01-22,99.3985,99.5730,99.3985,99.5730,371400
2026-01-23,99.5730,100.3939,99.5730,100.3939,241500
2026-01-26,100.3939,100.3939,99.3655,99.3655,2579700
2026-01-27,99.3655,99.8042,99.3655,99.8042,3503300
2026-01-28,99.8042,100.1594,99.8042,100.1594,4754800
2026-01-29,100.1594,101.5271,100.1594,101.5271,2800900
2026-01-30,101.5271,102.7711,101.5271,102.7711,836100
2026-02-02,102.7711,102.7711,101.9381,101.9381,20900
2026-02-03,101.9381,101.9381,101.1980,101.1980,655600
2026-02-04,101.1980,101.1980,101.0473,101.0473,4344700
2026-02-05,101.0473,101.9660,101.0473,101.9660,3857900
2026-02-06,101.9660,101.9660,100.9893,100.9893,4692100
2026-02-09,100.9893,101.2155,100.9893,101.2155,133100
2026-02-10,101.2155,101.5216,101.2155,101.5216,549100
2026-02-11,101.5216,101.5216,99.6676,99.6676,3978400
2026-02-12,99.6676,99.6676,99.0867,99.0867,1566500
2026-02-13,99.0867,99.0867,98.5786,98.5786,4379800
2026-02-16,98.5786,99.2763,98.5786,99.2763,295500
2026-02-17,99.2763,99.2763,98.5391,98.5391,4718800
2026-02-18,98.5391,98.5391,96.9725,96.9725,3287400
2026-02-19,96.9725,97.1865,96.9725,97.1865,1696400
2026-02-20,97.1865,97.1865,97.1689,97.1689,248700
2026-02-23,97.1689,97.1689,95.7560,95.7560,110800
2026-02-24,95.7560,95.7560,95.7349,95.7349,329400
2026-02-25,95.7349,95.7349,93.6044,93.6044,4437900
2026-02-26,93.6044,94.2644,93.6044,94.2644,4138000
2026-02-27,94.2644,94.3289,94.2644,94.3289,4862500
2026-03-02,94.3289,94.3289,93.9884,93.9884,242900
2026-03-03,93.9884,94.0613,93.9884,94.0613,41900
2026-03-04,94.0613,94.0613,93.6391,93.6391,1179700
2026-03-05,93.6391,93.6391,92.1770,92.1770,1938900
2026-03-06,92.1770,92.1770,91.7059,91.7059,2246300
2026-03-09,91.7059,93.8164,91.7059,93.8164,4166400
2026-03-10,93.8164,93.8164,93.1393,93.1393,4543700
2026-03-11,93.1393,93.8121,93.1393,93.8121,2958000
2026-03-12,93.8121,95.1777,93.8121,95.1777,19500
2026-03-13,95.1777,95.1777,92.9010,92.9010,537200
2026-03-16,92.9010,94.8615,92.9010,94.8615,3210200
2026-03-17,94.8615,94.8615,94.5837,94.5837,161800
2026-03-18,94.5837,95.5353,94.5837,95.5353,950900
2026-03-19,95.5353,95.6908,95.5353,95.6908,3732700
2026-03-20,95.6908,95.6908,95.3496,95.3496,1064200
2026-03-23,95.3496,97.4284,95.3496,97.4284,421000
2026-03-24,97.4284,97.4284,95.3278,95.3278,745800
2026-03-25,95.3278,96.5243,95.3278,96.5243,3305300
2026-03-26,96.5243,96.7745,96.5243,96.7745,682600
2026-03-27,96.7745,97.6232,96.7745,97.6232,3975700
2026-03-30,97.6232,97.6232,97.4772,97.4772,4153600
2026-03-31,97.4772,97.4772,96.0835,96.0835,2590300
2026-04-01,96.0835,97.4057,96.0835,97.4057,1208500
2026-04-02,97.4057,97.4057,97.2992,97.2992,3565400
2026-04-03,97.2992,97.2992,96.1455,96.1455,1058800
2026-04-06,96.1455,96.1455,94.3851,94.3851,4488500
2026-04-07,94.3851,94.3851,93.7384,93.7384,2768100
2026-04-08,93.7384,93.7384,93.5616,93.5616,2136700
2026-04-09,93.5616,93.5616,93.3200,93.3200,2169400
2026-04-10,93.3200,94.4434,93.3200,94.4434,3181100
2026-04-13,94.4434,94.6138,94.4434,94.6138,2953600
2026-04-14,94.6138,95.3869,94.6138,95.3869,1153800
2026-04-15,95.3869,95.3869,94.4312,94.4312,290000
2026-04-16,94.4312,95.6317,94.4312,95.6317,890100
2026-04-17,95.6317,95.6317,94.8671,94.8671,4877100
2026-04-20,94.8671,95.6171,94.8671,95.6171,1360400
2026-04-21,95.6171,97.6497,95.6171,97.6497,1169500
2026-04-22,97.6497,98.0962,97.6497,98.0962,1219900
2026-04-23,98.0962,98.0962,97.5008,97.5008,264300
2026-04-24,97.5008,97.5008,97.0703,97.0703,315700
2026-04-27,97.0703,97.0703,97.0618,97.0618,3577500
2026-04-28,97.0618,97.8832,97.0618,97.8832,2489700
2026-04-29,97.8832,122.2554,97.8832,122.2554,1928200
2026-04-30,122.2554,122.2554,120.8933,120.8933,1123500
2026-05-01,120.8933,122.4793,120.8933,122.4793,1637300
2026-05-04,122.4793,122.4793,121.8325,121.8325,154300
2026-05-05,121.8325,121.8325,120.8714,120.8714,710800
2026-05-06,120.8714,122.7437,120.8714,122.7437,4609100
2026-05-07,122.7437,123.7299,122.7437,123.7299,3307700
2026-05-08,123.7299,124.4079,123.7299,124.4079,4654200
2026-05-11,124.4079,124.4079,124.3975,124.3975,3094900
2026-05-12,124.3975,124.3975,124.3370,124.3370,2000100
2026-05-13,124.3370,124.3370,122.8135,122.8135,3404800
2026-05-14,122.8135,123.6998,122.8135,123.6998,2919900
2026-05-15,123.6998,125.2514,123.6998,125.2514,1506400
2026-05-18,125.2514,125.2514,124.4866,124.4866,4926000
2026-05-19,124.4866,124.4866,123.5892,123.5892,3130800
2026-05-20,123.5892,123.5892,122.0852,122.0852,417800
2026-05-21,122.0852,122.2854,122.0852,122.2854,1195800
2026-05-22,122.2854,122.2854,120.7553,120.7553,2237800
2026-05-25,120.7553,121.5287,120.7553,121.5287,4600900
2026-05-26,121.5287,122.8051,121.5287,122.8051,3825500
2026-05-27,122.8051,125.1648,122.8051,125.1648,1829000
2026-05-28,125.1648,126.4607,125.1648,126.4607,3752700
2026-05-29,126.4607,126.4607,125.5777,125.5777,905400
2026-06-01,125.5777,125.5777,125.3506,125.3506,3351800
2026-06-02,125.3506,125.8000,125.3506,125.8000,3684000
2026-06-03,125.8000,125.8000,123.5760,123.5760,3025700
2026-06-04,123.5760,124.8036,123.5760,124.8036,961200
2026-06-05,124.8036,124.8036,124.6491,124.6491,409000
2026-06-08,124.6491,125.6644,124.6491,125.6644,1730200
2026-06-09,125.6644,130.7034,125.6644,130.7034,3057200
2026-06-10,130.7034,130.7034,130.2847,130.2847,3294700
2026-06-11,130.2847,133.6443,130.2847,133.6443,3656000
2026-06-12,133.6443,133.6443,132.6766,132.6766,3498500
2026-06-15,132.6766,132.6766,131.9328,131.9328,71400
2026-06-16,131.9328,131.9328,131.5957,131.5957,273000
2026-06-17,131.5957,131.5957,131.3740,131.3740,2106900
2026-06-18,131.3740,132.3774,131.3740,132.3774,1647200
2026-06-19,132.3774,132.3774,132.2536,132.2536,1325400
2026-06-22,132.2536,132.2536,131.7076,131.7076,3048800
2026-06-23,131.7076,132.8579,131.7076,132.8579,1412000
2026-06-24,132.8579,132.8579,130.3935,130.3935,3884800
2026-06-25,130.3935,130.3935,126.9324,126.9324,523800
2026-06-26,126.9324,128.2313,126.9324,128.2313,584000
2026-06-29,128.2313,129.6062,128.2313,129.6062,1203800
2026-06-30,129.6062,129.6062,128.6225,128.6225,3645000
2026-07-01,128.6225,128.6225,128.1873,128.1873,2243500
2026-07-02,128.1873,130.9271,128.1873,130.9271,2565500
2026-07-03,130.9271,132.2832,130.9271,132.2832,4545600
2026-07-06,132.2832,132.4503,132.2832,132.4503,3968100
2026-07-07,132.4503,132.5162,132.4503,132.5162,3712400
2026-07-08,132.5162,133.2105,132.5162,133.2105,1346100
2026-07-09,133.2105,133.3282,133.2105,133.3282,2510300
2026-07-10,133.3282,133.7511,133.3282,133.7511,3182900
2026-07-13,133.7511,133.7511,133.6313,133.6313,3034700
2026-07-14,133.6313,133.6313,133.2186,133.2186,3321600
2026-07-15,133.2186,133.2186,132.8869,132.8869,560800
2026-07-16,132.8869,133.1011,132.8869,133.1011,2535000
