date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.2974,99.2974,2715100
2026-01-02,99.2974,99.2974,97.9137,97.9137,1112700
2026-01-05,97.9137,97.9137,97.7825,97.7825,4175300
2026-01-06,97.7825,97.7825,96.0513,96.0513,1780800
2026-01-07,96.0513,96.0513,95.7991,95.7991,3967400
2026-01-08,95.7991,95.7991,94.5534,94.5534,458700
2026-01-09,94.5534,94.5534,93.9600,93.9600,3959800
2026-01-12,93.9600,94.5575,93.9600,94.5575,828900
2026-01-13,94.5575,95.2613,94.5575,95.2613,1849700
2026-01-14,95.2613,95.2613,94.9189,94.9189,3494800
2026-01-15,94.9189,94.9189,93.8074,93.8074,881400
2026-01-16,93.8074,94.8231,93.8074,94.8231,4096200
2026-01-19,94.8231,95.3040,94.8231,95.3040,222900
2026-01-20,95.3040,95.3040,93.5504,93.5504,1600300
2026-01-21,93.5504,93.5504,93.1431,93.1431,546800
2026-01-22,93.1431,93.1431,92.0840,92.0840,215700
2026-01-23,92.0840,92.0840,92.0104,92.0104,876700
2026-01-26,92.0104,92.0104,91.0692,91.0692,649500
2026-01-27,91.0692,92.2968,91.0692,92.2968,4296700
2026-01-28,92.2968,92.2968,91.8935,91.8935,3782500
2026-01-29,91.8935,92.1510,91.8935,92.1510,371800
2026-01-30,92.1510,92.4679,92.1510,92.4679,2293500
2026-02-02,92.4679,92.4679,91.0034,91.0034,643800
2026-02-03,91.0034,91.0034,90.6488,90.6488,981300
2026-02-04,90.6488,91.1389,90.6488,91.1389,1526800
2026-02-05,91.1389,91.1389,91.0411,91.0411,2100500
2026-02-06,91.0411,91.0411,90.3311,90.3311,4504400
2026-02-09,90.3311,91.7540,90.3311,91.7540,4538400
2026-02-10,91.7540,91.7540,91.1522,91.1522,4602000
2026-02-11,91.1522,91.1522,89.4010,89.4010,4199800
2026-02-12,89.4010,89.4010,88.8744,88.8744,2076900
2026-02-13,88.8744,89.0081,88.8744,89.0081,946000
2026-02-16,89.0081,89.8965,89.0081,89.8965,1032200
2026-02-17,89.8965,89.8965,88.8548,88.8548,3028800
2026-02-18,88.8548,88.8548,88.0124,88.0124,2084000
2026-02-19,88.0124,88.0124,87.1295,87.1295,4226900
2026-02-20,87.1295,87.9018,87.1295,87.9018,1844100
2026-02-23,87.9018,87.9018,86.8940,86.8940,4252200
2026-02-24,86.8940,86.8940,86.6838,86.6838,1892300
2026-02-25,86.6838,86.6838,84.5888,84.5888,740000
2026-02-26,84.5888,84.6030,84.5888,84.6030,2234700
2026-02-27,84.6030,85.9241,84.6030,85.9241,2236500
2026-03-02,85.9241,85.9241,85.4007,85.4007,4071500
2026-03-03,85.4007,85.4007,84.8157,84.8157,4897100
2026-03-04,84.8157,85.2453,84.8157,85.2453,523100
2026-03-05,85.2453,85.2453,83.7730,83.7730,1264200
2026-03-06,83.7730,84.6435,83.7730,84.6435,42700
2026-03-09,84.6435,85.6388,84.6435,85.6388,2214600
2026-03-10,85.6388,85.6388,84.4782,84.4782,1838200
2026-03-11,84.4782,85.3941,84.4782,85.3941,1923700
2026-03-12,85.3941,86.1709,85.3941,86.1709,2207700
2026-03-13,86.1709,86.1709,85.8244,85.8244,4369700
2026-03-16,85.8244,86.1187,85.8244,86.1187,716000
