date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.9222,99.9222,3401200
2026-01-02,99.9222,99.9222,99.7719,99.7719,1053400
2026-01-05,99.7719,99.7719,98.7131,98.7131,3081000
2026-01-06,98.7131,98.7131,98.4953,98.4953,1864100
2026-01-07,98.4953,98.4953,98.2983,98.2983,725900
2026-01-08,98.2983,98.2983,97.9653,97.9653,2781000
2026-01-09,97.9653,97.9653,96.0984,96.0984,4430100
2026-01-12,96.0984,96.8742,96.0984,96.8742,3736600
2026-01-13,96.8742,99.3535,96.8742,99.3535,4960600
2026-01-14,99.3535,99.3535,98.0434,98.0434,3117200
2026-01-15,98.0434,98.0434,97.9550,97.9550,2691400
2026-01-16,97.9550,99.4783,97.9550,99.4783,548500
2026-01-19,99.4783,100.7248,99.4783,100.7248,3606600
2026-01-20,100.7248,100.7248,99.8383,99.8383,2265000
2026-01-21,99.8383,99.8383,99.8255,99.8255,4366000
2026-01-22,99.8255,99.8255,99.0861,99.0861,108400
2026-01-23,99.0861,99.0861,98.5873,98.5873,1124800
2026-01-26,98.5873,98.5873,98.4354,98.4354,4107500
2026-01-27,98.4354,98.4354,98.3481,98.3481,1336700
2026-01-28,98.3481,98.8419,98.3481,98.8419,4701500
2026-01-29,98.8419,100.0817,98.8419,100.0817,1844800
2026-01-30,100.0817,101.8489,100.0817,101.8489,4081500
2026-02-02,101.8489,101.8489,100.7414,100.7414,1142000
2026-02-03,100.7414,100.7414,100.7356,100.7356,322700
2026-02-04,100.7356,100.7356,100.3226,100.3226,2688700
2026-02-05,100.3226,102.3241,100.3226,102.3241,4476000
2026-02-06,102.3241,102.3241,101.6850,101.6850,1900400
2026-02-09,101.6850,102.9097,101.6850,102.9097,1832700
2026-02-10,102.9097,102.9097,102.5663,102.5663,2788700
2026-02-11,102.5663,102.5663,101.2638,101.2638,324300
2026-02-12,101.2638,101.2638,100.4184,100.4184,538100
2026-02-13,100.4184,100.4184,100.1547,100.1547,2220400
2026-02-16,100.1547,100.3052,100.1547,100.3052,1893500
2026-02-17,100.3052,100.3052,99.0143,99.0143,3852800
2026-02-18,99.0143,99.0143,98.1291,98.1291,4523000
2026-02-19,98.1291,98.1291,97.5672,97.5672,3475300
2026-02-20,97.5672,97.6301,97.5672,97.6301,2430900
2026-02-23,97.6301,97.6301,94.9204,94.9204,422800
2026-02-24,94.9204,94.9204,93.0672,93.0672,4791000
2026-02-25,93.0672,93.0672,90.4461,90.4461,2898800
2026-02-26,90.4461,90.5998,90.4461,90.5998,2777100
2026-02-27,90.5998,91.3291,90.5998,91.3291,1234100
2026-03-02,91.3291,91.4981,91.3291,91.4981,2602200
2026-03-03,91.4981,91.4981,90.3702,90.3702,3868700
2026-03-04,90.3702,90.9470,90.3702,90.9470,4577800
2026-03-05,90.9470,90.9470,90.3050,90.3050,1521400
2026-03-06,90.3050,90.4130,90.3050,90.4130,3843900
2026-03-09,90.4130,92.1260,90.4130,92.1260,3830900
2026-03-10,92.1260,92.1260,91.5175,91.5175,970000
2026-03-11,91.5175,91.5175,91.1705,91.1705,3886400
2026-03-12,91.1705,92.2345,91.1705,92.2345,2971400
2026-03-13,92.2345,92.2345,90.7168,90.7168,2592900
2026-03-16,90.7168,91.5202,90.7168,91.5202,2260100
2026-03-17,91.5202,91.5202,90.7273,90.7273,3257200
2026-03-18,90.7273,91.3513,90.7273,91.3513,1344200
2026-03-19,91.3513,92.1617,91.3513,92.1617,3639500
2026-03-20,92.1617,92.1617,91.1184,91.1184,2745400
2026-03-23,91.1184,92.9626,91.1184,92.9626,646200
2026-03-24,92.9626,92.9626,91.5021,91.5021,663700
2026-03-25,91.5021,92.4669,91.5021,92.4669,4776500
2026-03-26,92.4669,92.4669,91.8686,91.8686,3162500
2026-03-27,91.8686,91.8686,91.7955,91.7955,3393500
2026-03-30,91.7955,92.4759,91.7955,92.4759,1498700
2026-03-31,92.4759,92.4759,91.5931,91.5931,1971300
2026-04-01,91.5931,93.1547,91.5931,93.1547,2379600
2026-04-02,93.1547,93.1547,93.1092,93.1092,1669700
