date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,98.7040,98.7040,4686300
2026-01-02,98.7040,98.7040,98.6886,98.6886,1116800
2026-01-05,98.6886,98.8816,98.6886,98.8816,3380100
2026-01-06,98.8816,99.2779,98.8816,99.2779,4955000
2026-01-07,99.2779,99.6351,99.2779,99.6351,674800
2026-01-08,99.6351,99.7913,99.6351,99.7913,1284200
2026-01-09,99.7913,100.1344,99.7913,100.1344,2321100
2026-01-12,100.1344,100.3026,100.1344,100.3026,1407300
2026-01-13,100.3026,100.6131,100.3026,100.6131,4472500
2026-01-14,100.6131,100.6131,100.5027,100.5027,169100
2026-01-15,100.5027,101.0135,100.5027,101.0135,68500
2026-01-16,101.0135,101.2158,101.0135,101.2158,644900
2026-01-19,101.2158,101.4165,101.2158,101.4165,1109000
2026-01-20,101.4165,101.4165,100.6829,100.6829,3668200
2026-01-21,100.6829,101.2587,100.6829,101.2587,4680200
2026-01-22,101.2587,101.2587,100.6529,100.6529,690400
2026-01-23,100.6529,101.1289,100.6529,101.1289,1433200
2026-01-26,101.1289,101.1289,100.5197,100.5197,212500
2026-01-27,100.5197,100.5197,99.9490,99.9490,4956600
2026-01-28,99.9490,100.5405,99.9490,100.5405,4704200
2026-01-29,100.5405,101.4318,100.5405,101.4318,1328900
2026-01-30,101.4318,102.0034,101.4318,102.0034,4023100
2026-02-02,102.0034,102.0034,100.8086,100.8086,3476000
2026-02-03,100.8086,100.9082,100.8086,100.9082,3881900
2026-02-04,100.9082,101.3022,100.9082,101.3022,2353600
2026-02-05,101.3022,101.5304,101.3022,101.5304,2125600
2026-02-06,101.5304,101.5304,100.7635,100.7635,295600
2026-02-09,100.7635,101.1476,100.7635,101.1476,2671200
2026-02-10,101.1476,101.1476,101.1347,101.1347,4448500
2026-02-11,101.1347,101.1347,100.9978,100.9978,4583600
2026-02-12,100.9978,100.9978,99.2379,99.2379,803100
2026-02-13,99.2379,99.2379,98.7159,98.7159,3240500
2026-02-16,98.7159,98.7159,98.5095,98.5095,2023100
2026-02-17,98.5095,98.5095,97.3097,97.3097,4635300
2026-02-18,97.3097,97.3097,96.7541,96.7541,1520500
2026-02-19,96.7541,96.7541,96.6663,96.6663,4934500
2026-02-20,96.6663,97.7556,96.6663,97.7556,3425400
2026-02-23,97.7556,97.7556,96.1451,96.1451,3594900
2026-02-24,96.1451,96.1451,95.2178,95.2178,1347900
2026-02-25,95.2178,95.2178,92.9371,92.9371,4936800
2026-02-26,92.9371,94.0974,92.9371,94.0974,3787800
2026-02-27,94.0974,95.3462,94.0974,95.3462,849400
2026-03-02,95.3462,96.5909,95.3462,96.5909,1632900
2026-03-03,96.5909,97.1967,96.5909,97.1967,3961900
2026-03-04,97.1967,98.3637,97.1967,98.3637,4064700
2026-03-05,98.3637,98.3637,96.7461,96.7461,4974400
2026-03-06,96.7461,97.7373,96.7461,97.7373,4002300
2026-03-09,97.7373,100.6534,97.7373,100.6534,1764600
2026-03-10,100.6534,100.6534,100.0176,100.0176,846700
2026-03-11,100.0176,100.4917,100.0176,100.4917,758900
2026-03-12,100.4917,102.4709,100.4917,102.4709,2213400
2026-03-13,102.4709,102.4709,100.7552,100.7552,2509000
2026-03-16,100.7552,102.1291,100.7552,102.1291,916900
2026-03-17,102.1291,102.1291,101.2726,101.2726,2178200
2026-03-18,101.2726,101.2726,100.8717,100.8717,4043100
2026-03-19,100.8717,101.3929,100.8717,101.3929,3862900
2026-03-20,101.3929,101.3929,100.0661,100.0661,2531300
2026-03-23,100.0661,101.0239,100.0661,101.0239,713300
2026-03-24,101.0239,101.0239,99.2855,99.2855,1687600
