date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,98.8148,98.8148,2153800
2026-01-02,98.8148,98.8148,97.6602,97.6602,1607200
2026-01-05,97.6602,97.6602,96.6439,96.6439,61800
2026-01-06,96.6439,96.6439,96.2617,96.2617,4976100
2026-01-07,96.2617,96.8701,96.2617,96.8701,3523500
2026-01-08,96.8701,96.8701,95.6863,95.6863,2977000
2026-01-09,95.6863,95.9821,95.6863,95.9821,2868400
2026-01-12,95.9821,97.0191,95.9821,97.0191,1174400
2026-01-13,97.0191,97.2526,97.0191,97.2526,1556500
2026-01-14,97.2526,97.4177,97.2526,97.4177,3935200
2026-01-15,97.4177,97.4177,96.5015,96.5015,2694700
2026-01-16,96.5015,97.8767,96.5015,97.8767,3173300
2026-01-19,97.8767,98.0753,97.8767,98.0753,2351400
2026-01-20,98.0753,98.0753,95.7774,95.7774,4114200
2026-01-21,95.7774,95.7774,95.0739,95.0739,1457500
2026-01-22,95.0739,95.0739,94.7077,94.7077,156800
2026-01-23,94.7077,95.0583,94.7077,95.0583,1775400
2026-01-26,95.0583,95.1842,95.0583,95.1842,606300
2026-01-27,95.1842,96.9266,95.1842,96.9266,3035300
2026-01-28,96.9266,97.4333,96.9266,97.4333,3704400
2026-01-29,97.4333,98.4578,97.4333,98.4578,2020100
2026-01-30,98.4578,99.7812,98.4578,99.7812,4326500
2026-02-02,99.7812,99.7812,98.7015,98.7015,3411300
2026-02-03,98.7015,99.5170,98.7015,99.5170,3838200
2026-02-04,99.5170,99.7223,99.5170,99.7223,2437200
2026-02-05,99.7223,100.4394,99.7223,100.4394,910500
2026-02-06,100.4394,100.4394,99.4763,99.4763,2464700
2026-02-09,99.4763,99.8125,99.4763,99.8125,804500
2026-02-10,99.8125,99.8125,99.2710,99.2710,3243800
2026-02-11,99.2710,99.2710,98.3176,98.3176,4417900
2026-02-12,98.3176,98.3176,97.7451,97.7451,2892900
2026-02-13,97.7451,97.7451,96.1238,96.1238,2354800
2026-02-16,96.1238,96.8536,96.1238,96.8536,4770300
2026-02-17,96.8536,96.8536,96.2776,96.2776,2620500
2026-02-18,96.2776,96.2776,95.6213,95.6213,1095000
2026-02-19,95.6213,95.6213,95.5985,95.5985,2222200
2026-02-20,95.5985,96.0211,95.5985,96.0211,330700
2026-02-23,96.0211,96.0211,95.4880,95.4880,185700
2026-02-24,95.4880,95.4880,94.4614,94.4614,2933100
2026-02-25,94.4614,94.4614,91.0982,91.0982,249000
2026-02-26,91.0982,92.3994,91.0982,92.3994,2041900
2026-02-27,92.3994,93.6926,92.3994,93.6926,2689900
2026-03-02,93.6926,93.6926,93.5225,93.5225,109000
2026-03-03,93.5225,93.5924,93.5225,93.5924,3554000
2026-03-04,93.5924,93.5924,93.0724,93.0724,2093600
2026-03-05,93.0724,93.0724,91.9081,91.9081,1863100
2026-03-06,91.9081,91.9081,91.6071,91.6071,3678600
2026-03-09,91.6071,93.0536,91.6071,93.0536,1727900
2026-03-10,93.0536,93.0536,92.5804,92.5804,3407200
2026-03-11,92.5804,92.5804,92.3006,92.3006,2248600
2026-03-12,92.3006,93.5595,92.3006,93.5595,183000
2026-03-13,93.5595,93.5595,91.8726,91.8726,883300
2026-03-16,91.8726,94.0828,91.8726,94.0828,750400
2026-03-17,94.0828,94.0828,93.1644,93.1644,1525900
2026-03-18,93.1644,94.4136,93.1644,94.4136,4928000
2026-03-19,94.4136,94.4136,94.3171,94.3171,3242500
2026-03-20,94.3171,94.3171,93.2501,93.2501,3060200
2026-03-23,93.2501,94.7505,93.2501,94.7505,3349400
2026-03-24,94.7505,94.7505,94.0372,94.0372,2578300
2026-03-25,94.0372,94.9463,94.0372,94.9463,2727800
2026-03-26,94.9463,95.3238,94.9463,95.3238,2047800
2026-03-27,95.3238,96.4582,95.3238,96.4582,792100
2026-03-30,96.4582,96.4582,95.8705,95.8705,2145400
2026-03-31,95.8705,95.8705,95.6731,95.6731,2703300
2026-04-01,95.6731,96.2190,95.6731,96.2190,714800
2026-04-02,96.2190,96.2190,95.5110,95.5110,3968900
2026-04-03,95.5110,95.7918,95.5110,95.7918,570500
2026-04-06,95.7918,95.7918,93.1006,93.1006,2351300
2026-04-07,93.1006,93.1006,91.9087,91.9087,1455100
2026-04-08,91.9087,92.0803,91.9087,92.0803,452700
2026-04-09,92.0803,92.6820,92.0803,92.6820,773100
2026-04-10,92.6820,92.7653,92.6820,92.7653,4950300
2026-04-13,92.7653,92.8260,92.7653,92.8260,1765500
2026-04-14,92.8260,93.0453,92.8260,93.0453,1463800
2026-04-15,93.0453,93.5619,93.0453,93.5619,4472100
2026-04-16,93.5619,94.2788,93.5619,94.2788,809000
2026-04-17,94.2788,94.2788,93.3243,93.3243,3016200
2026-04-20,93.3243,95.4096,93.3243,95.4096,3712500
2026-04-21,95.4096,96.6092,95.4096,96.6092,4275600
2026-04-22,96.6092,97.1374,96.6092,97.1374,1338300
2026-04-23,97.1374,97.1374,95.5133,95.5133,1280100
2026-04-24,95.5133,95.6093,95.5133,95.6093,2084200
2026-04-27,95.6093,96.0641,95.6093,96.0641,4467500
2026-04-28,96.0641,96.9126,96.0641,96.9126,1871000
2026-04-29,96.9126,98.8248,96.9126,98.8248,2423500
2026-04-30,98.8248,98.8248,97.7606,97.7606,556600
2026-05-01,97.7606,98.5150,97.7606,98.5150,2337300
2026-05-04,98.5150,98.5150,97.5190,97.5190,4813200
2026-05-05,97.5190,97.7360,97.5190,97.7360,242000
2026-05-06,97.7360,98.8070,97.7360,98.8070,1766700
2026-05-07,98.8070,100.0404,98.8070,100.0404,528700
2026-05-08,100.0404,100.6354,100.0404,100.6354,3226600
2026-05-11,100.6354,100.6354,100.5299,100.5299,1300400
2026-05-12,100.5299,100.5299,99.6908,99.6908,4696100
2026-05-13,99.6908,99.6908,99.3811,99.3811,490800
2026-05-14,99.3811,99.3811,99.3154,99.3154,32300
2026-05-15,99.3154,100.1918,99.3154,100.1918,3735700
2026-05-18,100.1918,100.1918,98.1782,98.1782,3077000
2026-05-19,98.1782,98.6331,98.1782,98.6331,256600
2026-05-20,98.6331,98.6331,98.2932,98.2932,1672600
2026-05-21,98.2932,98.3493,98.2932,98.3493,736200
2026-05-22,98.3493,98.3493,97.8209,97.8209,4971400
2026-05-25,97.8209,98.3965,97.8209,98.3965,2077500
2026-05-26,98.3965,98.3965,97.4595,97.4595,1238400
2026-05-27,97.4595,99.8319,97.4595,99.8319,484300
2026-05-28,99.8319,102.4373,99.8319,102.4373,2533300
2026-05-29,102.4373,103.5849,102.4373,103.5849,1956200
2026-06-01,103.5849,103.5849,103.1618,103.1618,1081500
2026-06-02,103.1618,103.3748,103.1618,103.3748,2845700
2026-06-03,103.3748,103.3748,101.7280,101.7280,2311900
2026-06-04,101.7280,103.4212,101.7280,103.4212,706700
2026-06-05,103.4212,104.8592,103.4212,104.8592,1303100
2026-06-08,104.8592,104.8592,104.1917,104.1917,4831600
2026-06-09,104.1917,108.6221,104.1917,108.6221,2862800
2026-06-10,108.6221,108.6221,108.5709,108.5709,3043700
2026-06-11,108.5709,110.6787,108.5709,110.6787,1305300
2026-06-12,110.6787,111.0418,110.6787,111.0418,3174500
2026-06-15,111.0418,111.0418,110.1360,110.1360,3686600
2026-06-16,110.1360,110.1360,108.9786,108.9786,1035500
2026-06-17,108.9786,108.9786,108.5835,108.5835,2669600
2026-06-18,108.5835,109.0340,108.5835,109.0340,2508500
2026-06-19,109.0340,110.5607,109.0340,110.5607,4039100
2026-06-22,110.5607,110.5607,110.3199,110.3199,4591200
2026-06-23,110.3199,110.4214,110.3199,110.4214,2920000
2026-06-24,110.4214,110.4214,108.9635,108.9635,2231600
2026-06-25,108.9635,108.9635,107.7875,107.7875,2444100
2026-06-26,107.7875,108.0610,107.7875,108.0610,714200
2026-06-29,108.0610,108.3475,108.0610,108.3475,2969300
2026-06-30,108.3475,108.3475,107.6097,107.6097,1017300
2026-07-01,107.6097,107.6097,106.3139,106.3139,2367500
2026-07-02,106.3139,107.5519,106.3139,107.5519,4837200
2026-07-03,107.5519,107.5519,106.2342,106.2342,4057500
2026-07-06,106.2342,107.0677,106.2342,107.0677,498400
2026-07-07,107.0677,107.0864,107.0677,107.0864,2050300
2026-07-08,107.0864,107.0864,106.8241,106.8241,3809400
2026-07-09,106.8241,106.8241,106.7217,106.7217,3852900
2026-07-10,106.7217,107.0850,106.7217,107.0850,2967100
2026-07-13,107.0850,107.0850,105.3397,105.3397,4876300
2026-07-14,105.3397,105.9278,105.3397,105.9278,920700
2026-07-15,105.9278,106.4067,105.9278,106.4067,2176800
2026-07-16,106.4067,107.1495,106.4067,107.1495,1360000
2026-07-17,107.1495,108.1567,107.1495,108.1567,1901300
2026-07-20,108.1567,108.1567,107.4230,107.4230,974300
2026-07-21,107.4230,108.0602,107.4230,108.0602,496600
2026-07-22,108.0602,108.0602,106.0695,106.0695,434400
2026-07-23,106.0695,106.2428,106.0695,106.2428,1807400
2026-07-24,106.2428,106.2428,106.2220,106.2220,1693700
2026-07-27,106.2220,108.1081,106.2220,108.1081,3297300
2026-07-28,108.1081,109.5550,108.1081,109.5550,2632200
2026-07-29,109.5550,109.7689,109.5550,109.7689,4208300
2026-07-30,109.7689,110.5984,109.7689,110.5984,4209800
2026-07-31,110.5984,111.6994,110.5984,111.6994,1479200
2026-08-03,111.6994,111.6994,109.8662,109.8662,4037300
2026-08-04,109.8662,111.2572,109.8662,111.2572,1160100
2026-08-05,111.2572,111.2572,109.8977,109.8977,4632400
2026-08-06,109.8977,109.8977,109.6788,109.6788,4648600
2026-08-07,109.6788,109.6788,109.6414,109.6414,4578600
2026-08-10,109.6414,109.7674,109.6414,109.7674,1629800
2026-08-11,109.7674,109.7674,109.3663,109.3663,1257600
2026-08-12,109.3663,109.3663,107.0761,107.0761,4082100
2026-08-13,107.0761,107.0761,106.8137,106.8137,4547300
2026-08-14,106.8137,107.5224,106.8137,107.5224,571200
2026-08-17,107.5224,107.5224,105.7775,105.7775,1707100
2026-08-18,105.7775,105.7775,104.9149,104.9149,1845400
2026-08-19,104.9149,104.9149,104.7836,104.7836,1067300
