date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.3023,99.3023,2540600
2026-01-02,99.3023,99.3023,98.9429,98.9429,528900
2026-01-05,98.9429,98.9429,98.9384,98.9384,604200
2026-01-06,98.9384,99.0855,98.9384,99.0855,2215700
2026-01-07,99.0855,99.0922,99.0855,99.0922,4204800
2026-01-08,99.0922,99.0922,98.3125,98.3125,1609900
2026-01-09,98.3125,98.3125,98.0599,98.0599,2034700
2026-01-12,98.0599,98.7043,98.0599,98.7043,4797600
2026-01-13,98.7043,99.0845,98.7043,99.0845,3161700
2026-01-14,99.0845,99.3266,99.0845,99.3266,1557500
2026-01-15,99.3266,99.3266,98.4721,98.4721,3454900
2026-01-16,98.4721,100.8245,98.4721,100.8245,1041700
2026-01-19,100.8245,101.3719,100.8245,101.3719,4103200
2026-01-20,101.3719,101.3719,100.0113,100.0113,3617600
2026-01-21,100.0113,100.0113,99.1085,99.1085,3720000
2026-01-22,99.1085,99.1085,98.2996,98.2996,281200
2026-01-23,98.2996,99.2133,98.2996,99.2133,3175700
2026-01-26,99.2133,99.2133,98.8875,98.8875,4281100
2026-01-27,98.8875,100.5986,98.8875,100.5986,2354400
2026-01-28,100.5986,100.5986,100.1451,100.1451,4653700
2026-01-29,100.1451,101.2343,100.1451,101.2343,4862200
2026-01-30,101.2343,102.2023,101.2343,102.2023,3453900
2026-02-02,102.2023,102.2023,101.2280,101.2280,1889200
2026-02-03,101.2280,101.2280,101.1751,101.1751,3815500
2026-02-04,101.1751,101.1751,100.8568,100.8568,3453300
2026-02-05,100.8568,101.3037,100.8568,101.3037,2953800
2026-02-06,101.3037,101.3037,100.1537,100.1537,1942500
2026-02-09,100.1537,101.0115,100.1537,101.0115,4649800
2026-02-10,101.0115,101.6104,101.0115,101.6104,94800
2026-02-11,101.6104,101.6104,101.0343,101.0343,1992900
2026-02-12,101.0343,101.2839,101.0343,101.2839,2041200
2026-02-13,101.2839,101.4835,101.2839,101.4835,1151100
2026-02-16,101.4835,102.6286,101.4835,102.6286,2324500
2026-02-17,102.6286,102.6286,100.5701,100.5701,709900
2026-02-18,100.5701,100.5701,99.4807,99.4807,458500
2026-02-19,99.4807,99.5903,99.4807,99.5903,3955600
2026-02-20,99.5903,100.3535,99.5903,100.3535,1529400
2026-02-23,100.3535,100.3535,98.2901,98.2901,2835400
2026-02-24,98.2901,98.2901,98.1062,98.1062,3753500
2026-02-25,98.1062,98.1062,96.1883,96.1883,4113100
2026-02-26,96.1883,96.8830,96.1883,96.8830,4532600
2026-02-27,96.8830,98.0001,96.8830,98.0001,2092400
2026-03-02,98.0001,98.3215,98.0001,98.3215,4584100
2026-03-03,98.3215,98.6933,98.3215,98.6933,2604000
2026-03-04,98.6933,98.6933,97.9927,97.9927,1977500
2026-03-05,97.9927,97.9927,96.2905,96.2905,2555900
2026-03-06,96.2905,96.2905,95.4739,95.4739,197300
2026-03-09,95.4739,96.5077,95.4739,96.5077,513000
2026-03-10,96.5077,96.5077,94.7738,94.7738,4608400
2026-03-11,94.7738,94.7738,94.3994,94.3994,535800
2026-03-12,94.3994,95.9699,94.3994,95.9699,3495100
2026-03-13,95.9699,95.9699,93.5038,93.5038,3382400
2026-03-16,93.5038,95.1423,93.5038,95.1423,3600300
2026-03-17,95.1423,95.1423,94.9633,94.9633,232700
2026-03-18,94.9633,95.8354,94.9633,95.8354,3398300
2026-03-19,95.8354,95.8354,95.4440,95.4440,2392400
2026-03-20,95.4440,95.4440,93.5504,93.5504,4107000
2026-03-23,93.5504,94.1027,93.5504,94.1027,4112900
2026-03-24,94.1027,94.1027,93.0642,93.0642,2038300
