date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,97.9015,97.9015,1500400
2026-01-02,97.9015,97.9015,96.9669,96.9669,629500
2026-01-05,96.9669,96.9669,95.3513,95.3513,3124200
2026-01-06,95.3513,95.3513,95.0017,95.0017,2949400
2026-01-07,95.0017,95.4647,95.0017,95.4647,106600
2026-01-08,95.4647,95.6196,95.4647,95.6196,3495500
2026-01-09,95.6196,95.6196,95.2045,95.2045,2139300
2026-01-12,95.2045,96.2585,95.2045,96.2585,4804000
2026-01-13,96.2585,97.1213,96.2585,97.1213,2163700
2026-01-14,97.1213,97.1213,97.0782,97.0782,4587800
2026-01-15,97.0782,97.0782,96.6215,96.6215,4160600
2026-01-16,96.6215,97.3880,96.6215,97.3880,1455100
2026-01-19,97.3880,97.6951,97.3880,97.6951,2409600
2026-01-20,97.6951,97.6951,95.5947,95.5947,4908600
2026-01-21,95.5947,95.5947,95.0973,95.0973,2943100
2026-01-22,95.0973,95.0973,94.3650,94.3650,1933900
2026-01-23,94.3650,95.1950,94.3650,95.1950,957200
2026-01-26,95.1950,95.8735,95.1950,95.8735,2610400
2026-01-27,95.8735,96.5501,95.8735,96.5501,1754500
2026-01-28,96.5501,96.8008,96.5501,96.8008,854900
2026-01-29,96.8008,98.1744,96.8008,98.1744,2023000
2026-01-30,98.1744,100.2271,98.1744,100.2271,227500
2026-02-02,100.2271,100.2271,98.5199,98.5199,1440400
2026-02-03,98.5199,98.5199,98.2595,98.2595,2584600
2026-02-04,98.2595,98.2595,97.3986,97.3986,616600
2026-02-05,97.3986,97.3986,97.3708,97.3708,1143700
2026-02-06,97.3708,97.3708,95.9908,95.9908,4451400
2026-02-09,95.9908,97.7594,95.9908,97.7594,1970500
2026-02-10,97.7594,97.8454,97.7594,97.8454,1485600
2026-02-11,97.8454,97.8454,96.4067,96.4067,4924800
2026-02-12,96.4067,96.4067,95.0216,95.0216,3925800
2026-02-13,95.0216,95.2663,95.0216,95.2663,1102800
2026-02-16,95.2663,95.4903,95.2663,95.4903,3646000
2026-02-17,95.4903,95.4903,93.6553,93.6553,10200
2026-02-18,93.6553,94.0170,93.6553,94.0170,1035300
2026-02-19,94.0170,94.0170,93.4486,93.4486,3235000
2026-02-20,93.4486,94.3277,93.4486,94.3277,4845700
2026-02-23,94.3277,94.3277,92.3258,92.3258,2014500
2026-02-24,92.3258,92.3258,91.5147,91.5147,4105300
2026-02-25,91.5147,91.5147,89.6935,89.6935,4670900
2026-02-26,89.6935,89.9847,89.6935,89.9847,4789600
2026-02-27,89.9847,90.9199,89.9847,90.9199,4142100
2026-03-02,90.9199,90.9199,90.8578,90.8578,4618600
2026-03-03,90.8578,90.8578,90.6710,90.6710,4785400
2026-03-04,90.6710,91.4530,90.6710,91.4530,4262700
2026-03-05,91.4530,91.4530,89.7066,89.7066,4534400
2026-03-06,89.7066,89.9690,89.7066,89.9690,3509400
2026-03-09,89.9690,90.9344,89.9690,90.9344,3828500
2026-03-10,90.9344,90.9344,89.7154,89.7154,2472100
2026-03-11,89.7154,90.6755,89.7154,90.6755,503200
2026-03-12,90.6755,92.8323,90.6755,92.8323,1572100
2026-03-13,92.8323,92.8323,91.4078,91.4078,2749200
