date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.4693,99.4693,2018700
2026-01-02,99.4693,99.4693,98.3454,98.3454,4367500
2026-01-05,98.3454,98.3454,97.7405,97.7405,380800
2026-01-06,97.7405,97.7405,96.5471,96.5471,1162100
2026-01-07,96.5471,97.4581,96.5471,97.4581,4709900
2026-01-08,97.4581,97.4581,97.0237,97.0237,703200
2026-01-09,97.0237,97.0237,96.2358,96.2358,1980400
2026-01-12,96.2358,96.4812,96.2358,96.4812,1467900
2026-01-13,96.4812,97.3939,96.4812,97.3939,3379000
2026-01-14,97.3939,98.4213,97.3939,98.4213,1932200
2026-01-15,98.4213,98.4213,97.5065,97.5065,765400
2026-01-16,97.5065,98.5276,97.5065,98.5276,2635400
2026-01-19,98.5276,98.8341,98.5276,98.8341,2056100
2026-01-20,98.8341,98.8341,98.5192,98.5192,3261900
2026-01-21,98.5192,98.5192,97.9360,97.9360,3994300
2026-01-22,97.9360,97.9360,96.5172,96.5172,2690800
2026-01-23,96.5172,97.1400,96.5172,97.1400,51200
2026-01-26,97.1400,97.1400,96.4346,96.4346,832900
2026-01-27,96.4346,97.4512,96.4346,97.4512,3038600
2026-01-28,97.4512,97.9816,97.4512,97.9816,4517700
2026-01-29,97.9816,98.9517,97.9816,98.9517,808200
2026-01-30,98.9517,99.3438,98.9517,99.3438,1393800
2026-02-02,99.3438,99.3438,98.5900,98.5900,706000
2026-02-03,98.5900,99.3563,98.5900,99.3563,4279600
2026-02-04,99.3563,99.3563,98.5080,98.5080,1939200
2026-02-05,98.5080,99.7413,98.5080,99.7413,2391600
2026-02-06,99.7413,99.7413,97.8128,97.8128,4049700
2026-02-09,97.8128,99.7334,97.8128,99.7334,2714100
2026-02-10,99.7334,99.7432,99.7334,99.7432,3502600
2026-02-11,99.7432,99.7432,96.9516,96.9516,4935200
2026-02-12,96.9516,96.9516,96.0629,96.0629,2681300
2026-02-13,96.0629,96.6597,96.0629,96.6597,3828500
2026-02-16,96.6597,97.7041,96.6597,97.7041,1033000
2026-02-17,97.7041,97.7041,95.3509,95.3509,4707200
2026-02-18,95.3509,95.3509,94.7091,94.7091,703200
2026-02-19,94.7091,94.7814,94.7091,94.7814,1166200
2026-02-20,94.7814,95.9102,94.7814,95.9102,3758100
2026-02-23,95.9102,95.9102,94.8199,94.8199,1236500
2026-02-24,94.8199,94.8199,93.9917,93.9917,3424900
2026-02-25,93.9917,93.9917,91.8671,91.8671,613400
2026-02-26,91.8671,92.6709,91.8671,92.6709,848200
2026-02-27,92.6709,92.6709,92.4126,92.4126,2298500
2026-03-02,92.4126,92.4126,91.9271,91.9271,3069600
2026-03-03,91.9271,91.9271,91.5328,91.5328,1756500
2026-03-04,91.5328,92.0282,91.5328,92.0282,1760200
2026-03-05,92.0282,92.0282,90.6001,90.6001,2439500
2026-03-06,90.6001,91.0025,90.6001,91.0025,188500
2026-03-09,91.0025,92.9058,91.0025,92.9058,2214600
2026-03-10,92.9058,92.9058,92.3372,92.3372,2114500
2026-03-11,92.3372,93.2670,92.3372,93.2670,712100
2026-03-12,93.2670,94.9352,93.2670,94.9352,1935700
2026-03-13,94.9352,94.9352,92.9058,92.9058,1965200
2026-03-16,92.9058,93.3088,92.9058,93.3088,1768600
2026-03-17,93.3088,93.3088,91.9258,91.9258,1340400
2026-03-18,91.9258,93.4397,91.9258,93.4397,4544600
2026-03-19,93.4397,93.7560,93.4397,93.7560,894700
2026-03-20,93.7560,93.7560,93.2066,93.2066,1019500
2026-03-23,93.2066,94.7236,93.2066,94.7236,2260400
2026-03-24,94.7236,94.7236,92.7600,92.7600,4190300
2026-03-25,92.7600,93.9540,92.7600,93.9540,193800
2026-03-26,93.9540,94.5727,93.9540,94.5727,4771400
2026-03-27,94.5727,95.5127,94.5727,95.5127,1591200
2026-03-30,95.5127,95.5127,95.3755,95.3755,4972700
2026-03-31,95.3755,95.3755,94.9141,94.9141,1186800
2026-04-01,94.9141,95.8414,94.9141,95.8414,4939100
2026-04-02,95.8414,95.8414,95.3295,95.3295,2153300
2026-04-03,95.3295,95.3356,95.3295,95.3356,622600
2026-04-06,95.3356,95.3356,93.7719,93.7719,3939800
2026-04-07,93.7719,93.7719,91.8904,91.8904,4784900
2026-04-08,91.8904,91.8904,91.0784,91.0784,4992400
2026-04-09,91.0784,91.0784,90.4274,90.4274,1432600
2026-04-10,90.4274,90.6588,90.4274,90.6588,4467000
