date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.2024,99.2024,4489400
2026-01-02,99.2024,99.2024,98.3610,98.3610,328800
2026-01-05,98.3610,98.3610,98.2192,98.2192,2279800
2026-01-06,98.2192,98.2192,98.1812,98.1812,1332800
2026-01-07,98.1812,98.1812,97.3463,97.3463,4760700
2026-01-08,97.3463,97.5619,97.3463,97.5619,1916100
2026-01-09,97.5619,97.7302,97.5619,97.7302,4461100
2026-01-12,97.7302,98.3742,97.7302,98.3742,1201700
2026-01-13,98.3742,99.4073,98.3742,99.4073,3828200
2026-01-14,99.4073,100.1928,99.4073,100.1928,3402400
2026-01-15,100.1928,100.1928,98.4705,98.4705,4008300
2026-01-16,98.4705,98.8972,98.4705,98.8972,3431300
2026-01-19,98.8972,98.8972,98.1760,98.1760,3422400
2026-01-20,98.1760,98.1760,97.0678,97.0678,4647900
2026-01-21,97.0678,97.0678,96.0655,96.0655,2768400
2026-01-22,96.0655,96.3490,96.0655,96.3490,108900
2026-01-23,96.3490,96.3490,94.6511,94.6511,2101400
2026-01-26,94.6511,94.6511,94.3898,94.3898,2420000
2026-01-27,94.3898,95.0371,94.3898,95.0371,1949300
2026-01-28,95.0371,95.4621,95.0371,95.4621,3034400
2026-01-29,95.4621,95.5656,95.4621,95.5656,921500
2026-01-30,95.5656,95.9770,95.5656,95.9770,3658200
2026-02-02,95.9770,95.9770,94.9719,94.9719,1482400
2026-02-03,94.9719,95.0433,94.9719,95.0433,2531300
2026-02-04,95.0433,95.4606,95.0433,95.4606,1904500
2026-02-05,95.4606,96.2156,95.4606,96.2156,3060200
2026-02-06,96.2156,96.2156,94.7009,94.7009,111400
2026-02-09,94.7009,94.7009,94.5748,94.5748,3433300
2026-02-10,94.5748,94.9312,94.5748,94.9312,3644400
2026-02-11,94.9312,94.9312,93.3028,93.3028,934100
2026-02-12,93.3028,93.3028,93.0968,93.0968,374400
2026-02-13,93.0968,93.3353,93.0968,93.3353,4435000
2026-02-16,93.3353,93.3353,93.2337,93.2337,1358700
2026-02-17,93.2337,93.2337,90.5626,90.5626,2797600
2026-02-18,90.5626,90.5626,89.6454,89.6454,528400
2026-02-19,89.6454,89.6454,88.4438,88.4438,3694300
2026-02-20,88.4438,90.0663,88.4438,90.0663,447500
2026-02-23,90.0663,90.0663,88.8954,88.8954,3157900
2026-02-24,88.8954,88.8954,88.5601,88.5601,676200
2026-02-25,88.5601,88.5601,85.8885,85.8885,2618600
2026-02-26,85.8885,86.8981,85.8885,86.8981,4130600
2026-02-27,86.8981,88.2074,86.8981,88.2074,2266900
2026-03-02,88.2074,88.3092,88.2074,88.3092,1549100
2026-03-03,88.3092,88.3092,87.5748,87.5748,4625100
2026-03-04,87.5748,87.5748,87.3811,87.3811,3074800
2026-03-05,87.3811,87.7375,87.3811,87.7375,2439100
2026-03-06,87.7375,88.1408,87.7375,88.1408,2661300
2026-03-09,88.1408,89.1111,88.1408,89.1111,1285900
2026-03-10,89.1111,89.1111,87.8065,87.8065,4619300
2026-03-11,87.8065,87.8065,87.6862,87.6862,239000
2026-03-12,87.6862,90.2728,87.6862,90.2728,4393200
2026-03-13,90.2728,90.2728,88.5857,88.5857,1269300
2026-03-16,88.5857,89.9312,88.5857,89.9312,1303900
2026-03-17,89.9312,89.9312,88.6561,88.6561,4516600
2026-03-18,88.6561,89.1094,88.6561,89.1094,2466800
2026-03-19,89.1094,89.1094,88.5561,88.5561,2972600
2026-03-20,88.5561,88.5561,87.2406,87.2406,4416300
2026-03-23,87.2406,87.9204,87.2406,87.9204,3186700
2026-03-24,87.9204,87.9204,87.3680,87.3680,1521600
2026-03-25,87.3680,87.7383,87.3680,87.7383,238600
2026-03-26,87.7383,88.3892,87.7383,88.3892,3422600
2026-03-27,88.3892,90.0462,88.3892,90.0462,2146700
2026-03-30,90.0462,90.0462,89.1062,89.1062,2414100
2026-03-31,89.1062,89.1062,88.2907,88.2907,2669000
2026-04-01,88.2907,89.0209,88.2907,89.0209,3164900
2026-04-02,89.0209,89.0209,88.6157,88.6157,1803100
2026-04-03,88.6157,88.6157,88.3330,88.3330,3166200
2026-04-06,88.3330,88.3330,86.7123,86.7123,3227800
2026-04-07,86.7123,86.7123,85.1174,85.1174,3578900
2026-04-08,85.1174,85.1174,84.8020,84.8020,4554500
2026-04-09,84.8020,84.8020,84.1545,84.1545,3672100
2026-04-10,84.1545,84.8548,84.1545,84.8548,4993200
2026-04-13,84.8548,85.6909,84.8548,85.6909,4695800
2026-04-14,85.6909,87.0015,85.6909,87.0015,2269100
2026-04-15,87.0015,87.0015,86.2354,86.2354,3572500
2026-04-16,86.2354,86.5990,86.2354,86.5990,4905900
2026-04-17,86.5990,86.5990,85.6018,85.6018,1166800
2026-04-20,85.6018,85.6018,79.0144,79.0144,2519300
2026-04-21,79.0144,79.3115,79.0144,79.3115,4471000
2026-04-22,79.3115,79.4923,79.3115,79.4923,1699700
2026-04-23,79.4923,79.4923,78.9820,78.9820,123500
2026-04-24,78.9820,79.4461,78.9820,79.4461,2220900
2026-04-27,79.4461,79.7988,79.4461,79.7988,1018600
2026-04-28,79.7988,79.7988,79.7503,79.7503,3370000
2026-04-29,79.7503,80.4550,79.7503,80.4550,2510700
