date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.4528,99.4528,1675900
2026-01-02,99.4528,99.4528,99.1289,99.1289,4925700
2026-01-05,99.1289,99.3996,99.1289,99.3996,726100
2026-01-06,99.3996,99.4011,99.3996,99.4011,4989800
2026-01-07,99.4011,100.6830,99.4011,100.6830,4762100
2026-01-08,100.6830,100.8620,100.6830,100.8620,1830400
2026-01-09,100.8620,100.8620,100.3562,100.3562,2535900
2026-01-12,100.3562,100.4639,100.3562,100.4639,1697800
2026-01-13,100.4639,100.4639,100.3604,100.3604,3030900
2026-01-14,100.3604,100.3604,99.4620,99.4620,4229800
2026-01-15,99.4620,99.4620,98.2668,98.2668,4697200
2026-01-16,98.2668,98.2668,98.2480,98.2480,2385500
2026-01-19,98.2480,98.7392,98.2480,98.7392,1889200
2026-01-20,98.7392,98.7392,97.4960,97.4960,1447300
2026-01-21,97.4960,97.4960,97.0359,97.0359,899300
2026-01-22,97.0359,97.0359,96.3062,96.3062,494300
2026-01-23,96.3062,96.7435,96.3062,96.7435,2246500
2026-01-26,96.7435,96.7435,96.5832,96.5832,2670200
2026-01-27,96.5832,97.2522,96.5832,97.2522,3627000
2026-01-28,97.2522,97.6979,97.2522,97.6979,3873300
2026-01-29,97.6979,98.7777,97.6979,98.7777,1954600
2026-01-30,98.7777,99.2440,98.7777,99.2440,3080700
2026-02-02,99.2440,99.2440,97.7685,97.7685,147900
2026-02-03,97.7685,97.7685,97.5770,97.5770,4086300
2026-02-04,97.5770,98.0877,97.5770,98.0877,3182500
2026-02-05,98.0877,99.3896,98.0877,99.3896,2466200
2026-02-06,99.3896,99.3896,98.8025,98.8025,3394100
2026-02-09,98.8025,100.2204,98.8025,100.2204,1117000
2026-02-10,100.2204,100.2204,99.7423,99.7423,3000800
2026-02-11,99.7423,99.7423,99.4366,99.4366,401000
2026-02-12,99.4366,99.4366,98.5510,98.5510,3916700
2026-02-13,98.5510,99.8460,98.5510,99.8460,4168100
2026-02-16,99.8460,99.8460,99.7630,99.7630,2333100
2026-02-17,99.7630,99.7630,98.1570,98.1570,3127100
2026-02-18,98.1570,98.1570,96.7786,96.7786,4021200
2026-02-19,96.7786,97.4649,96.7786,97.4649,3595300
2026-02-20,97.4649,98.2659,97.4649,98.2659,2361300
2026-02-23,98.2659,98.2659,95.8530,95.8530,659300
2026-02-24,95.8530,95.8530,95.2743,95.2743,527200
2026-02-25,95.2743,95.2743,93.0696,93.0696,4687400
2026-02-26,93.0696,93.3930,93.0696,93.3930,994300
2026-02-27,93.3930,93.4828,93.3930,93.4828,2034700
2026-03-02,93.4828,93.4828,92.9056,92.9056,3839200
2026-03-03,92.9056,92.9167,92.9056,92.9167,1970200
2026-03-04,92.9167,92.9167,92.6455,92.6455,1852000
2026-03-05,92.6455,92.6455,91.6264,91.6264,2425400
2026-03-06,91.6264,91.6264,90.9828,90.9828,421200
2026-03-09,90.9828,92.6938,90.9828,92.6938,4359000
2026-03-10,92.6938,93.1730,92.6938,93.1730,1818500
2026-03-11,93.1730,93.7194,93.1730,93.7194,4134900
